date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Barking and Dagenham,23546,6
2021-04-18,Barking and Dagenham,23540,18
2021-04-17,Barking and Dagenham,23522,5
2021-04-16,Barking and Dagenham,23517,7
2021-04-15,Barking and Dagenham,23510,7
2021-04-14,Barking and Dagenham,23503,6
2021-04-13,Barking and Dagenham,23497,5
2021-04-12,Barking and Dagenham,23492,8
2021-04-11,Barking and Dagenham,23484,8
2021-04-10,Barking and Dagenham,23476,8
2021-04-09,Barking and Dagenham,23468,12
2021-04-08,Barking and Dagenham,23456,9
2021-04-07,Barking and Dagenham,23447,9
2021-04-06,Barking and Dagenham,23438,12
2021-04-05,Barking and Dagenham,23426,11
2021-04-04,Barking and Dagenham,23415,8
2021-04-03,Barking and Dagenham,23407,4
2021-04-02,Barking and Dagenham,23403,14
2021-04-01,Barking and Dagenham,23389,14
2021-03-31,Barking and Dagenham,23375,7
2021-03-30,Barking and Dagenham,23368,8
2021-03-29,Barking and Dagenham,23360,8
2021-03-28,Barking and Dagenham,23352,23
2021-03-27,Barking and Dagenham,23329,9
2021-03-26,Barking and Dagenham,23320,12
2021-03-25,Barking and Dagenham,23308,15
2021-03-24,Barking and Dagenham,23293,24
2021-03-23,Barking and Dagenham,23269,25
2021-03-22,Barking and Dagenham,23244,22
2021-03-21,Barking and Dagenham,23222,23
2021-03-20,Barking and Dagenham,23199,9
2021-03-19,Barking and Dagenham,23190,25
2021-03-18,Barking and Dagenham,23165,12
2021-03-17,Barking and Dagenham,23153,22
2021-03-16,Barking and Dagenham,23131,10
2021-03-15,Barking and Dagenham,23121,15
2021-03-14,Barking and Dagenham,23106,6
2021-03-13,Barking and Dagenham,23100,4
2021-03-12,Barking and Dagenham,23096,10
2021-03-11,Barking and Dagenham,23086,11
2021-03-10,Barking and Dagenham,23075,14
2021-03-09,Barking and Dagenham,23061,15
2021-03-08,Barking and Dagenham,23046,15
2021-03-07,Barking and Dagenham,23031,18
2021-03-06,Barking and Dagenham,23013,10
2021-03-05,Barking and Dagenham,23003,11
2021-03-04,Barking and Dagenham,22992,19
2021-03-03,Barking and Dagenham,22973,18
2021-03-02,Barking and Dagenham,22955,17
2021-03-01,Barking and Dagenham,22938,21
2021-02-28,Barking and Dagenham,22917,21
2021-02-27,Barking and Dagenham,22896,13
2021-02-26,Barking and Dagenham,22883,20
2021-02-25,Barking and Dagenham,22863,21
2021-02-24,Barking and Dagenham,22842,24
2021-02-23,Barking and Dagenham,22818,18
2021-02-22,Barking and Dagenham,22800,40
2021-02-21,Barking and Dagenham,22760,20
2021-02-20,Barking and Dagenham,22740,25
2021-02-19,Barking and Dagenham,22715,35
2021-02-18,Barking and Dagenham,22680,41
2021-02-17,Barking and Dagenham,22639,38
2021-02-16,Barking and Dagenham,22601,37
2021-02-15,Barking and Dagenham,22564,43
2021-02-14,Barking and Dagenham,22521,25
2021-02-13,Barking and Dagenham,22496,33
2021-02-12,Barking and Dagenham,22463,50
2021-02-11,Barking and Dagenham,22413,59
2021-02-10,Barking and Dagenham,22354,51
2021-02-09,Barking and Dagenham,22303,60
2021-02-08,Barking and Dagenham,22243,51
2021-02-07,Barking and Dagenham,22192,43
2021-02-06,Barking and Dagenham,22149,50
2021-02-05,Barking and Dagenham,22099,51
2021-02-04,Barking and Dagenham,22048,77
2021-02-03,Barking and Dagenham,21971,89
2021-02-02,Barking and Dagenham,21882,92
2021-02-01,Barking and Dagenham,21790,92
2021-01-31,Barking and Dagenham,21698,55
2021-01-30,Barking and Dagenham,21643,64
2021-01-29,Barking and Dagenham,21579,88
2021-01-28,Barking and Dagenham,21491,118
2021-01-27,Barking and Dagenham,21373,139
2021-01-26,Barking and Dagenham,21234,141
2021-01-25,Barking and Dagenham,21093,130
2021-01-24,Barking and Dagenham,20963,90
2021-01-23,Barking and Dagenham,20873,129
2021-01-22,Barking and Dagenham,20744,174
2021-01-21,Barking and Dagenham,20570,173
2021-01-20,Barking and Dagenham,20397,212
2021-01-19,Barking and Dagenham,20185,228
2021-01-18,Barking and Dagenham,19957,259
2021-01-17,Barking and Dagenham,19698,138
2021-01-16,Barking and Dagenham,19560,209
2021-01-15,Barking and Dagenham,19351,258
2021-01-14,Barking and Dagenham,19093,272
2021-01-13,Barking and Dagenham,18821,288
2021-01-12,Barking and Dagenham,18533,338
2021-01-11,Barking and Dagenham,18195,390
2021-01-10,Barking and Dagenham,17805,233
2021-01-09,Barking and Dagenham,17572,304
2021-01-08,Barking and Dagenham,17268,409
2021-01-07,Barking and Dagenham,16859,418
2021-01-06,Barking and Dagenham,16441,481
2021-01-05,Barking and Dagenham,15960,564
2021-01-04,Barking and Dagenham,15396,629
2021-01-03,Barking and Dagenham,14767,432
2021-01-02,Barking and Dagenham,14335,558
2021-01-01,Barking and Dagenham,13777,216
2020-12-31,Barking and Dagenham,13561,488
2020-12-30,Barking and Dagenham,13073,595
2020-12-29,Barking and Dagenham,12478,740
2020-12-28,Barking and Dagenham,11738,404
2020-12-27,Barking and Dagenham,11334,474
2020-12-26,Barking and Dagenham,10860,410
2020-12-25,Barking and Dagenham,10450,144
2020-12-24,Barking and Dagenham,10306,284
2020-12-23,Barking and Dagenham,10022,328
2020-12-22,Barking and Dagenham,9694,401
2020-12-21,Barking and Dagenham,9293,395
2020-12-20,Barking and Dagenham,8898,285
2020-12-19,Barking and Dagenham,8613,241
2020-12-18,Barking and Dagenham,8372,420
2020-12-17,Barking and Dagenham,7952,360
2020-12-16,Barking and Dagenham,7592,336
2020-12-15,Barking and Dagenham,7256,323
2020-12-14,Barking and Dagenham,6933,319
2020-12-13,Barking and Dagenham,6614,200
2020-12-12,Barking and Dagenham,6414,168
2020-12-11,Barking and Dagenham,6246,236
2020-12-10,Barking and Dagenham,6010,210
2020-12-09,Barking and Dagenham,5800,166
2020-12-08,Barking and Dagenham,5634,136
2020-12-07,Barking and Dagenham,5498,124
2020-12-06,Barking and Dagenham,5374,123
2020-12-05,Barking and Dagenham,5251,97
2020-12-04,Barking and Dagenham,5154,86
2020-12-03,Barking and Dagenham,5068,91
2020-12-02,Barking and Dagenham,4977,125
2020-12-01,Barking and Dagenham,4852,90
2020-11-30,Barking and Dagenham,4762,111
2020-11-29,Barking and Dagenham,4651,79
2020-11-28,Barking and Dagenham,4572,64
2020-11-27,Barking and Dagenham,4508,96
2020-11-26,Barking and Dagenham,4412,75
2020-11-25,Barking and Dagenham,4337,91
2020-11-24,Barking and Dagenham,4246,78
2020-11-23,Barking and Dagenham,4168,89
2020-11-22,Barking and Dagenham,4079,54
2020-11-21,Barking and Dagenham,4025,70
2020-11-20,Barking and Dagenham,3955,71
2020-11-19,Barking and Dagenham,3884,87
2020-11-18,Barking and Dagenham,3797,79
2020-11-17,Barking and Dagenham,3718,90
2020-11-16,Barking and Dagenham,3628,104
2020-11-15,Barking and Dagenham,3524,60
2020-11-14,Barking and Dagenham,3464,56
2020-11-13,Barking and Dagenham,3408,77
2020-11-12,Barking and Dagenham,3331,72
2020-11-11,Barking and Dagenham,3259,111
2020-11-10,Barking and Dagenham,3148,91
2020-11-09,Barking and Dagenham,3057,94
2020-11-08,Barking and Dagenham,2963,23
2020-11-07,Barking and Dagenham,2940,55
2020-11-06,Barking and Dagenham,2885,79
2020-11-05,Barking and Dagenham,2806,87
2020-11-04,Barking and Dagenham,2719,78
2020-11-03,Barking and Dagenham,2641,72
2020-11-02,Barking and Dagenham,2569,87
2020-11-01,Barking and Dagenham,2482,32
2020-10-31,Barking and Dagenham,2450,31
2020-10-30,Barking and Dagenham,2419,48
2020-10-29,Barking and Dagenham,2371,62
2020-10-28,Barking and Dagenham,2309,72
2020-10-27,Barking and Dagenham,2237,46
2020-10-26,Barking and Dagenham,2191,66
2020-10-25,Barking and Dagenham,2125,34
2020-10-24,Barking and Dagenham,2091,44
2020-10-23,Barking and Dagenham,2047,49
2020-10-22,Barking and Dagenham,1998,37
2020-10-21,Barking and Dagenham,1961,50
2020-10-20,Barking and Dagenham,1911,60
2020-10-19,Barking and Dagenham,1851,50
2020-10-18,Barking and Dagenham,1801,39
2020-10-17,Barking and Dagenham,1762,24
2020-10-16,Barking and Dagenham,1738,37
2020-10-15,Barking and Dagenham,1701,31
2020-10-14,Barking and Dagenham,1670,45
2020-10-13,Barking and Dagenham,1625,20
2020-10-12,Barking and Dagenham,1605,39
2020-10-11,Barking and Dagenham,1566,17
2020-10-10,Barking and Dagenham,1549,19
2020-10-09,Barking and Dagenham,1530,50
2020-10-08,Barking and Dagenham,1480,35
2020-10-07,Barking and Dagenham,1445,31
2020-10-06,Barking and Dagenham,1414,25
2020-10-05,Barking and Dagenham,1389,22
2020-10-04,Barking and Dagenham,1367,24
2020-10-03,Barking and Dagenham,1343,17
2020-10-02,Barking and Dagenham,1326,13
2020-10-01,Barking and Dagenham,1313,17
2020-09-30,Barking and Dagenham,1296,26
2020-09-29,Barking and Dagenham,1270,14
2020-09-28,Barking and Dagenham,1256,20
2020-09-27,Barking and Dagenham,1236,7
2020-09-26,Barking and Dagenham,1229,20
2020-09-25,Barking and Dagenham,1209,23
2020-09-24,Barking and Dagenham,1186,15
2020-09-23,Barking and Dagenham,1171,30
2020-09-22,Barking and Dagenham,1141,24
2020-09-21,Barking and Dagenham,1117,11
2020-09-20,Barking and Dagenham,1106,22
2020-09-19,Barking and Dagenham,1084,12
2020-09-18,Barking and Dagenham,1072,14
2020-09-17,Barking and Dagenham,1058,24
2020-09-16,Barking and Dagenham,1034,9
2020-09-15,Barking and Dagenham,1025,5
2020-09-14,Barking and Dagenham,1020,8
2020-09-13,Barking and Dagenham,1012,7
2020-09-12,Barking and Dagenham,1005,9
2020-09-11,Barking and Dagenham,996,12
2020-09-10,Barking and Dagenham,984,18
2020-09-09,Barking and Dagenham,966,12
2020-09-08,Barking and Dagenham,954,9
2020-09-07,Barking and Dagenham,945,11
2020-09-06,Barking and Dagenham,934,6
2020-09-05,Barking and Dagenham,928,8
2020-09-04,Barking and Dagenham,920,7
2020-09-03,Barking and Dagenham,913,12
2020-09-02,Barking and Dagenham,901,10
2020-09-01,Barking and Dagenham,891,10
2020-08-31,Barking and Dagenham,881,11
2020-08-30,Barking and Dagenham,870,4
2020-08-29,Barking and Dagenham,866,2
2020-08-28,Barking and Dagenham,864,5
2020-08-27,Barking and Dagenham,859,4
2020-08-26,Barking and Dagenham,855,1
2020-08-25,Barking and Dagenham,854,1
2020-08-24,Barking and Dagenham,853,11
2020-08-23,Barking and Dagenham,842,3
2020-08-22,Barking and Dagenham,839,3
2020-08-21,Barking and Dagenham,836,4
2020-08-20,Barking and Dagenham,832,5
2020-08-19,Barking and Dagenham,827,2
2020-08-18,Barking and Dagenham,825,5
2020-08-17,Barking and Dagenham,820,6
2020-08-16,Barking and Dagenham,814,4
2020-08-15,Barking and Dagenham,810,2
2020-08-14,Barking and Dagenham,808,2
2020-08-13,Barking and Dagenham,806,10
2020-08-12,Barking and Dagenham,796,7
2020-08-11,Barking and Dagenham,789,4
2020-08-10,Barking and Dagenham,785,4
2020-08-09,Barking and Dagenham,781,1
2020-08-08,Barking and Dagenham,780,3
2020-08-07,Barking and Dagenham,777,1
2020-08-06,Barking and Dagenham,776,1
2020-08-05,Barking and Dagenham,775,6
2020-08-04,Barking and Dagenham,769,2
2020-08-03,Barking and Dagenham,767,1
2020-08-02,Barking and Dagenham,766,2
2020-08-01,Barking and Dagenham,764,2
2020-07-31,Barking and Dagenham,762,1
2020-07-30,Barking and Dagenham,761,4
2020-07-29,Barking and Dagenham,757,9
2020-07-28,Barking and Dagenham,748,6
2020-07-27,Barking and Dagenham,742,3
2020-07-26,Barking and Dagenham,739,7
2020-07-25,Barking and Dagenham,732,1
2020-07-24,Barking and Dagenham,731,0
2020-07-23,Barking and Dagenham,731,2
2020-07-22,Barking and Dagenham,729,3
2020-07-21,Barking and Dagenham,726,2
2020-07-20,Barking and Dagenham,724,2
2020-07-19,Barking and Dagenham,722,0
2020-07-18,Barking and Dagenham,722,1
2020-07-17,Barking and Dagenham,721,1
2020-07-16,Barking and Dagenham,720,1
2020-07-15,Barking and Dagenham,719,4
2020-07-14,Barking and Dagenham,715,2
2020-07-13,Barking and Dagenham,713,1
2020-07-12,Barking and Dagenham,712,1
2020-07-11,Barking and Dagenham,711,0
2020-07-10,Barking and Dagenham,711,1
2020-07-09,Barking and Dagenham,710,0
2020-07-08,Barking and Dagenham,710,3
2020-07-07,Barking and Dagenham,707,1
2020-07-06,Barking and Dagenham,706,0
2020-07-05,Barking and Dagenham,706,0
2020-07-04,Barking and Dagenham,706,0
2020-07-03,Barking and Dagenham,706,0
2020-07-02,Barking and Dagenham,706,0
2020-07-01,Barking and Dagenham,706,2
2020-06-30,Barking and Dagenham,704,2
2020-06-29,Barking and Dagenham,702,2
