date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Barnet,30393,11
2021-04-18,Barnet,30382,17
2021-04-17,Barnet,30365,5
2021-04-16,Barnet,30360,10
2021-04-15,Barnet,30350,15
2021-04-14,Barnet,30335,19
2021-04-13,Barnet,30316,21
2021-04-12,Barnet,30295,23
2021-04-11,Barnet,30272,15
2021-04-10,Barnet,30257,18
2021-04-09,Barnet,30239,19
2021-04-08,Barnet,30220,16
2021-04-07,Barnet,30204,21
2021-04-06,Barnet,30183,13
2021-04-05,Barnet,30170,16
2021-04-04,Barnet,30154,7
2021-04-03,Barnet,30147,13
2021-04-02,Barnet,30134,17
2021-04-01,Barnet,30117,15
2021-03-31,Barnet,30102,11
2021-03-30,Barnet,30091,15
2021-03-29,Barnet,30076,27
2021-03-28,Barnet,30049,18
2021-03-27,Barnet,30031,14
2021-03-26,Barnet,30017,19
2021-03-25,Barnet,29998,14
2021-03-24,Barnet,29984,25
2021-03-23,Barnet,29959,7
2021-03-22,Barnet,29952,22
2021-03-21,Barnet,29930,19
2021-03-20,Barnet,29911,12
2021-03-19,Barnet,29899,6
2021-03-18,Barnet,29893,13
2021-03-17,Barnet,29880,14
2021-03-16,Barnet,29866,14
2021-03-15,Barnet,29852,16
2021-03-14,Barnet,29836,13
2021-03-13,Barnet,29823,8
2021-03-12,Barnet,29815,20
2021-03-11,Barnet,29795,18
2021-03-10,Barnet,29777,16
2021-03-09,Barnet,29761,24
2021-03-08,Barnet,29737,28
2021-03-07,Barnet,29709,19
2021-03-06,Barnet,29690,10
2021-03-05,Barnet,29680,19
2021-03-04,Barnet,29661,26
2021-03-03,Barnet,29635,31
2021-03-02,Barnet,29604,30
2021-03-01,Barnet,29574,20
2021-02-28,Barnet,29554,21
2021-02-27,Barnet,29533,22
2021-02-26,Barnet,29511,31
2021-02-25,Barnet,29480,27
2021-02-24,Barnet,29453,51
2021-02-23,Barnet,29402,42
2021-02-22,Barnet,29360,56
2021-02-21,Barnet,29304,29
2021-02-20,Barnet,29275,35
2021-02-19,Barnet,29240,52
2021-02-18,Barnet,29188,31
2021-02-17,Barnet,29157,72
2021-02-16,Barnet,29085,53
2021-02-15,Barnet,29032,46
2021-02-14,Barnet,28986,47
2021-02-13,Barnet,28939,36
2021-02-12,Barnet,28903,48
2021-02-11,Barnet,28855,55
2021-02-10,Barnet,28800,76
2021-02-09,Barnet,28724,67
2021-02-08,Barnet,28657,72
2021-02-07,Barnet,28585,68
2021-02-06,Barnet,28517,66
2021-02-05,Barnet,28451,68
2021-02-04,Barnet,28383,99
2021-02-03,Barnet,28284,142
2021-02-02,Barnet,28142,134
2021-02-01,Barnet,28008,133
2021-01-31,Barnet,27875,116
2021-01-30,Barnet,27759,117
2021-01-29,Barnet,27642,160
2021-01-28,Barnet,27482,163
2021-01-27,Barnet,27319,175
2021-01-26,Barnet,27144,167
2021-01-25,Barnet,26977,223
2021-01-24,Barnet,26754,143
2021-01-23,Barnet,26611,178
2021-01-22,Barnet,26433,260
2021-01-21,Barnet,26173,279
2021-01-20,Barnet,25894,303
2021-01-19,Barnet,25591,331
2021-01-18,Barnet,25260,409
2021-01-17,Barnet,24851,238
2021-01-16,Barnet,24613,259
2021-01-15,Barnet,24354,341
2021-01-14,Barnet,24013,328
2021-01-13,Barnet,23685,443
2021-01-12,Barnet,23242,407
2021-01-11,Barnet,22835,495
2021-01-10,Barnet,22340,319
2021-01-09,Barnet,22021,366
2021-01-08,Barnet,21655,437
2021-01-07,Barnet,21218,533
2021-01-06,Barnet,20685,556
2021-01-05,Barnet,20129,637
2021-01-04,Barnet,19492,663
2021-01-03,Barnet,18829,599
2021-01-02,Barnet,18230,558
2021-01-01,Barnet,17672,262
2020-12-31,Barnet,17410,504
2020-12-30,Barnet,16906,714
2020-12-29,Barnet,16192,866
2020-12-28,Barnet,15326,509
2020-12-27,Barnet,14817,631
2020-12-26,Barnet,14186,539
2020-12-25,Barnet,13647,227
2020-12-24,Barnet,13420,406
2020-12-23,Barnet,13014,527
2020-12-22,Barnet,12487,566
2020-12-21,Barnet,11921,566
2020-12-20,Barnet,11355,378
2020-12-19,Barnet,10977,285
2020-12-18,Barnet,10692,402
2020-12-17,Barnet,10290,359
2020-12-16,Barnet,9931,373
2020-12-15,Barnet,9558,365
2020-12-14,Barnet,9193,297
2020-12-13,Barnet,8896,190
