date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Bexley,22336,6
2021-04-18,Bexley,22330,4
2021-04-17,Bexley,22326,3
2021-04-16,Bexley,22323,6
2021-04-15,Bexley,22317,8
2021-04-14,Bexley,22309,6
2021-04-13,Bexley,22303,6
2021-04-12,Bexley,22297,5
2021-04-11,Bexley,22292,5
2021-04-10,Bexley,22287,9
2021-04-09,Bexley,22278,5
2021-04-08,Bexley,22273,4
2021-04-07,Bexley,22269,8
2021-04-06,Bexley,22261,8
2021-04-05,Bexley,22253,3
2021-04-04,Bexley,22250,4
2021-04-03,Bexley,22246,11
2021-04-02,Bexley,22235,8
2021-04-01,Bexley,22227,14
2021-03-31,Bexley,22213,19
2021-03-30,Bexley,22194,17
2021-03-29,Bexley,22177,13
2021-03-28,Bexley,22164,27
2021-03-27,Bexley,22137,12
2021-03-26,Bexley,22125,14
2021-03-25,Bexley,22111,36
2021-03-24,Bexley,22075,34
2021-03-23,Bexley,22041,8
2021-03-22,Bexley,22033,27
2021-03-21,Bexley,22006,16
2021-03-20,Bexley,21990,13
2021-03-19,Bexley,21977,11
2021-03-18,Bexley,21966,14
2021-03-17,Bexley,21952,8
2021-03-16,Bexley,21944,8
2021-03-15,Bexley,21936,9
2021-03-14,Bexley,21927,6
2021-03-13,Bexley,21921,8
2021-03-12,Bexley,21913,10
2021-03-11,Bexley,21903,8
2021-03-10,Bexley,21895,8
2021-03-09,Bexley,21887,15
2021-03-08,Bexley,21872,16
2021-03-07,Bexley,21856,12
2021-03-06,Bexley,21844,5
2021-03-05,Bexley,21839,10
2021-03-04,Bexley,21829,8
2021-03-03,Bexley,21821,10
2021-03-02,Bexley,21811,11
2021-03-01,Bexley,21800,15
2021-02-28,Bexley,21785,11
2021-02-27,Bexley,21774,5
2021-02-26,Bexley,21769,12
2021-02-25,Bexley,21757,17
2021-02-24,Bexley,21740,15
2021-02-23,Bexley,21725,21
2021-02-22,Bexley,21704,33
2021-02-21,Bexley,21671,14
2021-02-20,Bexley,21657,24
2021-02-19,Bexley,21633,17
2021-02-18,Bexley,21616,41
2021-02-17,Bexley,21575,26
2021-02-16,Bexley,21549,33
2021-02-15,Bexley,21516,33
2021-02-14,Bexley,21483,38
2021-02-13,Bexley,21445,21
2021-02-12,Bexley,21424,27
2021-02-11,Bexley,21397,51
2021-02-10,Bexley,21346,38
2021-02-09,Bexley,21308,29
2021-02-08,Bexley,21279,39
2021-02-07,Bexley,21240,31
2021-02-06,Bexley,21209,41
2021-02-05,Bexley,21168,52
2021-02-04,Bexley,21116,61
2021-02-03,Bexley,21055,71
2021-02-02,Bexley,20984,81
2021-02-01,Bexley,20903,60
2021-01-31,Bexley,20843,45
2021-01-30,Bexley,20798,63
2021-01-29,Bexley,20735,69
2021-01-28,Bexley,20666,87
2021-01-27,Bexley,20579,130
2021-01-26,Bexley,20449,78
2021-01-25,Bexley,20371,116
2021-01-24,Bexley,20255,107
2021-01-23,Bexley,20148,104
2021-01-22,Bexley,20044,134
2021-01-21,Bexley,19910,155
2021-01-20,Bexley,19755,149
2021-01-19,Bexley,19606,186
2021-01-18,Bexley,19420,228
2021-01-17,Bexley,19192,142
2021-01-16,Bexley,19050,172
2021-01-15,Bexley,18878,236
2021-01-14,Bexley,18642,218
2021-01-13,Bexley,18424,216
2021-01-12,Bexley,18208,236
2021-01-11,Bexley,17972,290
2021-01-10,Bexley,17682,235
2021-01-09,Bexley,17447,230
2021-01-08,Bexley,17217,315
2021-01-07,Bexley,16902,350
2021-01-06,Bexley,16552,392
2021-01-05,Bexley,16160,504
2021-01-04,Bexley,15656,568
2021-01-03,Bexley,15088,464
2021-01-02,Bexley,14624,457
2021-01-01,Bexley,14167,194
2020-12-31,Bexley,13973,386
2020-12-30,Bexley,13587,544
2020-12-29,Bexley,13043,667
2020-12-28,Bexley,12376,317
2020-12-27,Bexley,12059,460
2020-12-26,Bexley,11599,439
2020-12-25,Bexley,11160,135
2020-12-24,Bexley,11025,288
2020-12-23,Bexley,10737,445
2020-12-22,Bexley,10292,496
2020-12-21,Bexley,9796,526
2020-12-20,Bexley,9270,339
2020-12-19,Bexley,8931,319
2020-12-18,Bexley,8612,397
2020-12-17,Bexley,8215,370
2020-12-16,Bexley,7845,404
2020-12-15,Bexley,7441,324
2020-12-14,Bexley,7117,289
2020-12-13,Bexley,6828,210
2020-12-12,Bexley,6618,160
2020-12-11,Bexley,6458,237
2020-12-10,Bexley,6221,209
2020-12-09,Bexley,6012,169
2020-12-08,Bexley,5843,128
2020-12-07,Bexley,5715,123
2020-12-06,Bexley,5592,84
2020-12-05,Bexley,5508,62
2020-12-04,Bexley,5446,119
2020-12-03,Bexley,5327,90
2020-12-02,Bexley,5237,122
2020-12-01,Bexley,5115,106
2020-11-30,Bexley,5009,103
2020-11-29,Bexley,4906,46
2020-11-28,Bexley,4860,64
2020-11-27,Bexley,4796,85
2020-11-26,Bexley,4711,101
2020-11-25,Bexley,4610,68
2020-11-24,Bexley,4542,76
2020-11-23,Bexley,4466,103
2020-11-22,Bexley,4363,45
2020-11-21,Bexley,4318,44
2020-11-20,Bexley,4274,80
2020-11-19,Bexley,4194,81
2020-11-18,Bexley,4113,99
2020-11-17,Bexley,4014,95
2020-11-16,Bexley,3919,108
2020-11-15,Bexley,3811,65
2020-11-14,Bexley,3746,82
2020-11-13,Bexley,3664,100
2020-11-12,Bexley,3564,116
2020-11-11,Bexley,3448,130
2020-11-10,Bexley,3318,108
2020-11-09,Bexley,3210,106
2020-11-08,Bexley,3104,65
2020-11-07,Bexley,3039,50
2020-11-06,Bexley,2989,104
2020-11-05,Bexley,2885,87
2020-11-04,Bexley,2798,83
2020-11-03,Bexley,2715,70
2020-11-02,Bexley,2645,111
2020-11-01,Bexley,2534,36
2020-10-31,Bexley,2498,37
2020-10-30,Bexley,2461,58
2020-10-29,Bexley,2403,65
2020-10-28,Bexley,2338,58
2020-10-27,Bexley,2280,59
2020-10-26,Bexley,2221,62
2020-10-25,Bexley,2159,28
2020-10-24,Bexley,2131,39
2020-10-23,Bexley,2092,32
2020-10-22,Bexley,2060,57
2020-10-21,Bexley,2003,59
2020-10-20,Bexley,1944,48
2020-10-19,Bexley,1896,48
2020-10-18,Bexley,1848,40
2020-10-17,Bexley,1808,23
2020-10-16,Bexley,1785,15
2020-10-15,Bexley,1770,34
2020-10-14,Bexley,1736,27
2020-10-13,Bexley,1709,28
2020-10-12,Bexley,1681,30
2020-10-11,Bexley,1651,8
2020-10-10,Bexley,1643,27
2020-10-09,Bexley,1616,26
2020-10-08,Bexley,1590,25
2020-10-07,Bexley,1565,23
2020-10-06,Bexley,1542,12
2020-10-05,Bexley,1530,26
2020-10-04,Bexley,1504,16
2020-10-03,Bexley,1488,15
2020-10-02,Bexley,1473,19
2020-10-01,Bexley,1454,38
2020-09-30,Bexley,1416,12
2020-09-29,Bexley,1404,18
2020-09-28,Bexley,1386,17
2020-09-27,Bexley,1369,7
2020-09-26,Bexley,1362,7
2020-09-25,Bexley,1355,3
2020-09-24,Bexley,1352,10
2020-09-23,Bexley,1342,12
2020-09-22,Bexley,1330,13
2020-09-21,Bexley,1317,16
2020-09-20,Bexley,1301,17
2020-09-19,Bexley,1284,10
2020-09-18,Bexley,1274,11
2020-09-17,Bexley,1263,7
2020-09-16,Bexley,1256,2
2020-09-15,Bexley,1254,5
2020-09-14,Bexley,1249,7
2020-09-13,Bexley,1242,0
2020-09-12,Bexley,1242,1
2020-09-11,Bexley,1241,8
2020-09-10,Bexley,1233,4
2020-09-09,Bexley,1229,5
2020-09-08,Bexley,1224,4
2020-09-07,Bexley,1220,11
2020-09-06,Bexley,1209,1
2020-09-05,Bexley,1208,1
2020-09-04,Bexley,1207,8
2020-09-03,Bexley,1199,1
