date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Brent,28466,10
2021-04-18,Brent,28456,19
2021-04-17,Brent,28437,15
2021-04-16,Brent,28422,14
2021-04-15,Brent,28408,12
2021-04-14,Brent,28396,14
2021-04-13,Brent,28382,10
2021-04-12,Brent,28372,16
2021-04-11,Brent,28356,10
2021-04-10,Brent,28346,13
2021-04-09,Brent,28333,15
2021-04-08,Brent,28318,20
2021-04-07,Brent,28298,11
2021-04-06,Brent,28287,20
2021-04-05,Brent,28267,11
2021-04-04,Brent,28256,2
2021-04-03,Brent,28254,10
2021-04-02,Brent,28244,4
2021-04-01,Brent,28240,18
2021-03-31,Brent,28222,14
2021-03-30,Brent,28208,9
2021-03-29,Brent,28199,23
2021-03-28,Brent,28176,7
2021-03-27,Brent,28169,12
2021-03-26,Brent,28157,19
2021-03-25,Brent,28138,21
2021-03-24,Brent,28117,31
2021-03-23,Brent,28086,15
2021-03-22,Brent,28071,25
2021-03-21,Brent,28046,21
2021-03-20,Brent,28025,26
2021-03-19,Brent,27999,32
2021-03-18,Brent,27967,25
2021-03-17,Brent,27942,23
2021-03-16,Brent,27919,24
2021-03-15,Brent,27895,29
2021-03-14,Brent,27866,22
2021-03-13,Brent,27844,18
2021-03-12,Brent,27826,16
2021-03-11,Brent,27810,26
2021-03-10,Brent,27784,26
2021-03-09,Brent,27758,25
2021-03-08,Brent,27733,28
2021-03-07,Brent,27705,19
2021-03-06,Brent,27686,13
2021-03-05,Brent,27673,17
2021-03-04,Brent,27656,18
2021-03-03,Brent,27638,33
2021-03-02,Brent,27605,28
2021-03-01,Brent,27577,27
2021-02-28,Brent,27550,23
2021-02-27,Brent,27527,25
2021-02-26,Brent,27502,35
2021-02-25,Brent,27467,32
2021-02-24,Brent,27435,33
2021-02-23,Brent,27402,59
2021-02-22,Brent,27343,46
2021-02-21,Brent,27297,41
2021-02-20,Brent,27256,40
2021-02-19,Brent,27216,54
2021-02-18,Brent,27162,49
2021-02-17,Brent,27113,40
2021-02-16,Brent,27073,59
2021-02-15,Brent,27014,70
2021-02-14,Brent,26944,47
2021-02-13,Brent,26897,43
2021-02-12,Brent,26854,56
2021-02-11,Brent,26798,64
2021-02-10,Brent,26734,68
2021-02-09,Brent,26666,95
2021-02-08,Brent,26571,102
2021-02-07,Brent,26469,75
2021-02-06,Brent,26394,67
2021-02-05,Brent,26327,119
2021-02-04,Brent,26208,113
2021-02-03,Brent,26095,128
2021-02-02,Brent,25967,161
2021-02-01,Brent,25806,150
2021-01-31,Brent,25656,131
2021-01-30,Brent,25525,147
2021-01-29,Brent,25378,166
2021-01-28,Brent,25212,207
2021-01-27,Brent,25005,204
2021-01-26,Brent,24801,205
2021-01-25,Brent,24596,259
2021-01-24,Brent,24337,135
2021-01-23,Brent,24202,252
2021-01-22,Brent,23950,302
2021-01-21,Brent,23648,315
2021-01-20,Brent,23333,329
2021-01-19,Brent,23004,348
2021-01-18,Brent,22656,370
2021-01-17,Brent,22286,271
2021-01-16,Brent,22015,294
2021-01-15,Brent,21721,417
2021-01-14,Brent,21304,447
2021-01-13,Brent,20857,491
2021-01-12,Brent,20366,469
2021-01-11,Brent,19897,523
2021-01-10,Brent,19374,404
2021-01-09,Brent,18970,432
2021-01-08,Brent,18538,414
2021-01-07,Brent,18124,523
2021-01-06,Brent,17601,566
2021-01-05,Brent,17035,580
2021-01-04,Brent,16455,655
2021-01-03,Brent,15800,501
2021-01-02,Brent,15299,506
2021-01-01,Brent,14793,243
2020-12-31,Brent,14550,528
2020-12-30,Brent,14022,547
2020-12-29,Brent,13475,726
2020-12-28,Brent,12749,349
2020-12-27,Brent,12400,438
2020-12-26,Brent,11962,455
2020-12-25,Brent,11507,145
2020-12-24,Brent,11362,301
2020-12-23,Brent,11061,438
2020-12-22,Brent,10623,393
2020-12-21,Brent,10230,386
2020-12-20,Brent,9844,258
2020-12-19,Brent,9586,206
2020-12-18,Brent,9380,313
2020-12-17,Brent,9067,297
2020-12-16,Brent,8770,291
2020-12-15,Brent,8479,255
2020-12-14,Brent,8224,216
2020-12-13,Brent,8008,139
2020-12-12,Brent,7869,142
2020-12-11,Brent,7727,157
2020-12-10,Brent,7570,130
2020-12-09,Brent,7440,124
2020-12-08,Brent,7316,107
2020-12-07,Brent,7209,132
2020-12-06,Brent,7077,78
2020-12-05,Brent,6999,69
2020-12-04,Brent,6930,75
2020-12-03,Brent,6855,83
2020-12-02,Brent,6772,75
2020-12-01,Brent,6697,73
2020-11-30,Brent,6624,69
2020-11-29,Brent,6555,63
2020-11-28,Brent,6492,58
2020-11-27,Brent,6434,74
2020-11-26,Brent,6360,75
2020-11-25,Brent,6285,96
2020-11-24,Brent,6189,97
2020-11-23,Brent,6092,70
2020-11-22,Brent,6022,63
2020-11-21,Brent,5959,66
2020-11-20,Brent,5893,87
2020-11-19,Brent,5806,94
2020-11-18,Brent,5712,104
2020-11-17,Brent,5608,109
2020-11-16,Brent,5499,141
2020-11-15,Brent,5358,57
2020-11-14,Brent,5301,77
2020-11-13,Brent,5224,101
2020-11-12,Brent,5123,120
2020-11-11,Brent,5003,106
2020-11-10,Brent,4897,119
2020-11-09,Brent,4778,134
2020-11-08,Brent,4644,60
2020-11-07,Brent,4584,68
2020-11-06,Brent,4516,87
2020-11-05,Brent,4429,119
2020-11-04,Brent,4310,84
2020-11-03,Brent,4226,105
2020-11-02,Brent,4121,91
2020-11-01,Brent,4030,33
2020-10-31,Brent,3997,59
2020-10-30,Brent,3938,55
2020-10-29,Brent,3883,60
2020-10-28,Brent,3823,66
2020-10-27,Brent,3757,77
2020-10-26,Brent,3680,72
2020-10-25,Brent,3608,30
2020-10-24,Brent,3578,34
2020-10-23,Brent,3544,58
2020-10-22,Brent,3486,58
2020-10-21,Brent,3428,71
2020-10-20,Brent,3357,62
2020-10-19,Brent,3295,66
2020-10-18,Brent,3229,38
2020-10-17,Brent,3191,46
2020-10-16,Brent,3145,51
2020-10-15,Brent,3094,52
2020-10-14,Brent,3042,54
2020-10-13,Brent,2988,56
2020-10-12,Brent,2932,34
2020-10-11,Brent,2898,26
2020-10-10,Brent,2872,43
2020-10-09,Brent,2829,46
2020-10-08,Brent,2783,63
2020-10-07,Brent,2720,56
2020-10-06,Brent,2664,26
2020-10-05,Brent,2638,56
2020-10-04,Brent,2582,32
2020-10-03,Brent,2550,22
2020-10-02,Brent,2528,45
2020-10-01,Brent,2483,53
2020-09-30,Brent,2430,35
2020-09-29,Brent,2395,30
2020-09-28,Brent,2365,33
2020-09-27,Brent,2332,22
2020-09-26,Brent,2310,21
2020-09-25,Brent,2289,23
2020-09-24,Brent,2266,32
2020-09-23,Brent,2234,32
2020-09-22,Brent,2202,23
2020-09-21,Brent,2179,17
2020-09-20,Brent,2162,19
2020-09-19,Brent,2143,12
2020-09-18,Brent,2131,14
2020-09-17,Brent,2117,12
2020-09-16,Brent,2105,9
2020-09-15,Brent,2096,12
2020-09-14,Brent,2084,8
2020-09-13,Brent,2076,2
2020-09-12,Brent,2074,9
2020-09-11,Brent,2065,6
2020-09-10,Brent,2059,20
2020-09-09,Brent,2039,21
2020-09-08,Brent,2018,12
2020-09-07,Brent,2006,14
2020-09-06,Brent,1992,5
2020-09-05,Brent,1987,8
2020-09-04,Brent,1979,6
2020-09-03,Brent,1973,11
2020-09-02,Brent,1962,10
2020-09-01,Brent,1952,12
2020-08-31,Brent,1940,3
2020-08-30,Brent,1937,4
2020-08-29,Brent,1933,10
2020-08-28,Brent,1923,10
2020-08-27,Brent,1913,11
2020-08-26,Brent,1902,7
2020-08-25,Brent,1895,4
2020-08-24,Brent,1891,2
2020-08-23,Brent,1889,4
2020-08-22,Brent,1885,3
2020-08-21,Brent,1882,5
2020-08-20,Brent,1877,7
2020-08-19,Brent,1870,3
2020-08-18,Brent,1867,3
2020-08-17,Brent,1864,7
2020-08-16,Brent,1857,2
2020-08-15,Brent,1855,2
2020-08-14,Brent,1853,3
2020-08-13,Brent,1850,3
2020-08-12,Brent,1847,10
2020-08-11,Brent,1837,7
2020-08-10,Brent,1830,7
2020-08-09,Brent,1823,1
2020-08-08,Brent,1822,3
2020-08-07,Brent,1819,5
2020-08-06,Brent,1814,5
2020-08-05,Brent,1809,4
2020-08-04,Brent,1805,1
2020-08-03,Brent,1804,0
2020-08-02,Brent,1804,1
2020-08-01,Brent,1803,1
2020-07-31,Brent,1802,3
2020-07-30,Brent,1799,4
2020-07-29,Brent,1795,3
2020-07-28,Brent,1792,3
2020-07-27,Brent,1789,8
2020-07-26,Brent,1781,3
2020-07-25,Brent,1778,2
2020-07-24,Brent,1776,6
2020-07-23,Brent,1770,3
2020-07-22,Brent,1767,9
2020-07-21,Brent,1758,6
2020-07-20,Brent,1752,3
2020-07-19,Brent,1749,0
2020-07-18,Brent,1749,0
2020-07-17,Brent,1749,2
2020-07-16,Brent,1747,2
2020-07-15,Brent,1745,2
2020-07-14,Brent,1743,2
2020-07-13,Brent,1741,1
2020-07-12,Brent,1740,2
2020-07-11,Brent,1738,0
2020-07-10,Brent,1738,0
2020-07-09,Brent,1738,1
2020-07-08,Brent,1737,2
2020-07-07,Brent,1735,4
2020-07-06,Brent,1731,4
2020-07-05,Brent,1727,3
2020-07-04,Brent,1724,2
2020-07-03,Brent,1722,0
2020-07-02,Brent,1722,1
2020-07-01,Brent,1721,2
2020-06-30,Brent,1719,2
2020-06-29,Brent,1717,1
2020-06-28,Brent,1716,2
2020-06-27,Brent,1714,0
2020-06-26,Brent,1714,4
2020-06-25,Brent,1710,5
2020-06-24,Brent,1705,2
2020-06-23,Brent,1703,2
2020-06-22,Brent,1701,2
2020-06-21,Brent,1699,4
2020-06-20,Brent,1695,2
2020-06-19,Brent,1693,1
2020-06-18,Brent,1692,1
2020-06-17,Brent,1691,1
2020-06-16,Brent,1690,4
2020-06-15,Brent,1686,3
2020-06-14,Brent,1683,0
2020-06-13,Brent,1683,3
2020-06-12,Brent,1680,3
2020-06-11,Brent,1677,4
2020-06-10,Brent,1673,4
2020-06-09,Brent,1669,4
2020-06-08,Brent,1665,1
2020-06-07,Brent,1664,2
2020-06-06,Brent,1662,3
2020-06-05,Brent,1659,5
2020-06-04,Brent,1654,2
2020-06-03,Brent,1652,3
2020-06-02,Brent,1649,1
2020-06-01,Brent,1648,0
2020-05-31,Brent,1648,6
2020-05-30,Brent,1642,7
2020-05-29,Brent,1635,1
2020-05-28,Brent,1634,2
2020-05-27,Brent,1632,3
2020-05-26,Brent,1629,1
2020-05-25,Brent,1628,1
2020-05-24,Brent,1627,4
2020-05-23,Brent,1623,3
2020-05-22,Brent,1620,4
2020-05-21,Brent,1616,3
2020-05-20,Brent,1613,9
2020-05-19,Brent,1604,11
2020-05-18,Brent,1593,4
2020-05-17,Brent,1589,3
2020-05-16,Brent,1586,1
2020-05-15,Brent,1585,3
2020-05-14,Brent,1582,7
2020-05-13,Brent,1575,4
2020-05-12,Brent,1571,7
2020-05-11,Brent,1564,8
2020-05-10,Brent,1556,3
2020-05-09,Brent,1553,8
2020-05-08,Brent,1545,19
2020-05-07,Brent,1526,8
2020-05-06,Brent,1518,8
2020-05-05,Brent,1510,6
2020-05-04,Brent,1504,8
2020-05-03,Brent,1496,5
2020-05-02,Brent,1491,9
2020-05-01,Brent,1482,18
2020-04-30,Brent,1464,19
2020-04-29,Brent,1445,18
2020-04-28,Brent,1427,19
2020-04-27,Brent,1408,20
2020-04-26,Brent,1388,13
2020-04-25,Brent,1375,14
2020-04-24,Brent,1361,16
2020-04-23,Brent,1345,16
2020-04-22,Brent,1329,17
