date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Bromley,24298,5
2021-04-18,Bromley,24293,5
2021-04-17,Bromley,24288,1
2021-04-16,Bromley,24287,1
2021-04-15,Bromley,24286,3
2021-04-14,Bromley,24283,3
2021-04-13,Bromley,24280,6
2021-04-12,Bromley,24274,4
2021-04-11,Bromley,24270,3
2021-04-10,Bromley,24267,4
2021-04-09,Bromley,24263,2
2021-04-08,Bromley,24261,4
2021-04-07,Bromley,24257,6
2021-04-06,Bromley,24251,9
2021-04-05,Bromley,24242,3
2021-04-04,Bromley,24239,6
2021-04-03,Bromley,24233,3
2021-04-02,Bromley,24230,5
2021-04-01,Bromley,24225,9
2021-03-31,Bromley,24216,7
2021-03-30,Bromley,24209,7
2021-03-29,Bromley,24202,9
2021-03-28,Bromley,24193,14
2021-03-27,Bromley,24179,3
2021-03-26,Bromley,24176,6
2021-03-25,Bromley,24170,12
2021-03-24,Bromley,24158,15
2021-03-23,Bromley,24143,9
2021-03-22,Bromley,24134,13
2021-03-21,Bromley,24121,10
2021-03-20,Bromley,24111,8
2021-03-19,Bromley,24103,17
2021-03-18,Bromley,24086,7
2021-03-17,Bromley,24079,10
2021-03-16,Bromley,24069,17
2021-03-15,Bromley,24052,6
2021-03-14,Bromley,24046,10
2021-03-13,Bromley,24036,14
2021-03-12,Bromley,24022,19
2021-03-11,Bromley,24003,15
2021-03-10,Bromley,23988,20
2021-03-09,Bromley,23968,15
2021-03-08,Bromley,23953,16
2021-03-07,Bromley,23937,6
2021-03-06,Bromley,23931,15
2021-03-05,Bromley,23916,9
2021-03-04,Bromley,23907,14
2021-03-03,Bromley,23893,9
2021-03-02,Bromley,23884,18
2021-03-01,Bromley,23866,13
2021-02-28,Bromley,23853,5
2021-02-27,Bromley,23848,17
2021-02-26,Bromley,23831,12
2021-02-25,Bromley,23819,11
2021-02-24,Bromley,23808,21
2021-02-23,Bromley,23787,20
2021-02-22,Bromley,23767,38
2021-02-21,Bromley,23729,22
2021-02-20,Bromley,23707,19
2021-02-19,Bromley,23688,26
2021-02-18,Bromley,23662,29
2021-02-17,Bromley,23633,35
2021-02-16,Bromley,23598,22
2021-02-15,Bromley,23576,27
2021-02-14,Bromley,23549,23
2021-02-13,Bromley,23526,20
2021-02-12,Bromley,23506,36
2021-02-11,Bromley,23470,42
2021-02-10,Bromley,23428,50
2021-02-09,Bromley,23378,41
2021-02-08,Bromley,23337,64
2021-02-07,Bromley,23273,33
2021-02-06,Bromley,23240,40
2021-02-05,Bromley,23200,69
2021-02-04,Bromley,23131,78
2021-02-03,Bromley,23053,72
2021-02-02,Bromley,22981,83
2021-02-01,Bromley,22898,94
2021-01-31,Bromley,22804,59
2021-01-30,Bromley,22745,67
2021-01-29,Bromley,22678,104
2021-01-28,Bromley,22574,109
2021-01-27,Bromley,22465,120
2021-01-26,Bromley,22345,126
2021-01-25,Bromley,22219,180
2021-01-24,Bromley,22039,103
2021-01-23,Bromley,21936,132
2021-01-22,Bromley,21804,154
2021-01-21,Bromley,21650,195
2021-01-20,Bromley,21455,172
2021-01-19,Bromley,21283,203
2021-01-18,Bromley,21080,295
2021-01-17,Bromley,20785,164
2021-01-16,Bromley,20621,187
2021-01-15,Bromley,20434,224
2021-01-14,Bromley,20210,243
2021-01-13,Bromley,19967,286
2021-01-12,Bromley,19681,256
2021-01-11,Bromley,19425,342
2021-01-10,Bromley,19083,224
2021-01-09,Bromley,18859,271
2021-01-08,Bromley,18588,290
2021-01-07,Bromley,18298,354
2021-01-06,Bromley,17944,428
2021-01-05,Bromley,17516,485
2021-01-04,Bromley,17031,584
2021-01-03,Bromley,16447,449
2021-01-02,Bromley,15998,487
2021-01-01,Bromley,15511,276
2020-12-31,Bromley,15235,468
2020-12-30,Bromley,14767,654
2020-12-29,Bromley,14113,893
2020-12-28,Bromley,13220,443
2020-12-27,Bromley,12777,581
2020-12-26,Bromley,12196,448
2020-12-25,Bromley,11748,161
2020-12-24,Bromley,11587,348
2020-12-23,Bromley,11239,475
2020-12-22,Bromley,10764,586
2020-12-21,Bromley,10178,548
2020-12-20,Bromley,9630,386
2020-12-19,Bromley,9244,302
2020-12-18,Bromley,8942,431
2020-12-17,Bromley,8511,378
2020-12-16,Bromley,8133,390
2020-12-15,Bromley,7743,354
2020-12-14,Bromley,7389,283
2020-12-13,Bromley,7106,202
2020-12-12,Bromley,6904,179
2020-12-11,Bromley,6725,197
2020-12-10,Bromley,6528,191
2020-12-09,Bromley,6337,210
2020-12-08,Bromley,6127,153
2020-12-07,Bromley,5974,116
2020-12-06,Bromley,5858,112
2020-12-05,Bromley,5746,88
2020-12-04,Bromley,5658,111
2020-12-03,Bromley,5547,86
2020-12-02,Bromley,5461,94
2020-12-01,Bromley,5367,87
2020-11-30,Bromley,5280,126
2020-11-29,Bromley,5154,52
2020-11-28,Bromley,5102,58
2020-11-27,Bromley,5044,92
2020-11-26,Bromley,4952,71
2020-11-25,Bromley,4881,74
2020-11-24,Bromley,4807,82
2020-11-23,Bromley,4725,81
2020-11-22,Bromley,4644,34
2020-11-21,Bromley,4610,39
2020-11-20,Bromley,4571,51
2020-11-19,Bromley,4520,48
2020-11-18,Bromley,4472,84
2020-11-17,Bromley,4388,75
2020-11-16,Bromley,4313,92
2020-11-15,Bromley,4221,61
2020-11-14,Bromley,4160,79
2020-11-13,Bromley,4081,87
2020-11-12,Bromley,3994,82
2020-11-11,Bromley,3912,82
2020-11-10,Bromley,3830,75
2020-11-09,Bromley,3755,72
2020-11-08,Bromley,3683,55
2020-11-07,Bromley,3628,48
2020-11-06,Bromley,3580,55
2020-11-05,Bromley,3525,59
2020-11-04,Bromley,3466,57
2020-11-03,Bromley,3409,57
2020-11-02,Bromley,3352,75
2020-11-01,Bromley,3277,28
2020-10-31,Bromley,3249,26
