date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Camden,14042,3
2021-04-18,Camden,14039,2
2021-04-17,Camden,14037,3
2021-04-16,Camden,14034,7
2021-04-15,Camden,14027,6
2021-04-14,Camden,14021,3
2021-04-13,Camden,14018,7
2021-04-12,Camden,14011,6
2021-04-11,Camden,14005,8
2021-04-10,Camden,13997,5
2021-04-09,Camden,13992,11
2021-04-08,Camden,13981,8
2021-04-07,Camden,13973,6
2021-04-06,Camden,13967,6
2021-04-05,Camden,13961,2
2021-04-04,Camden,13959,1
2021-04-03,Camden,13958,6
2021-04-02,Camden,13952,12
2021-04-01,Camden,13940,5
2021-03-31,Camden,13935,6
2021-03-30,Camden,13929,5
2021-03-29,Camden,13924,5
2021-03-28,Camden,13919,7
2021-03-27,Camden,13912,7
2021-03-26,Camden,13905,5
2021-03-25,Camden,13900,9
2021-03-24,Camden,13891,10
2021-03-23,Camden,13881,11
2021-03-22,Camden,13870,12
2021-03-21,Camden,13858,8
2021-03-20,Camden,13850,6
2021-03-19,Camden,13844,8
2021-03-18,Camden,13836,6
2021-03-17,Camden,13830,8
2021-03-16,Camden,13822,12
2021-03-15,Camden,13810,10
2021-03-14,Camden,13800,5
2021-03-13,Camden,13795,5
2021-03-12,Camden,13790,10
2021-03-11,Camden,13780,9
2021-03-10,Camden,13771,16
2021-03-09,Camden,13755,13
2021-03-08,Camden,13742,6
2021-03-07,Camden,13736,7
2021-03-06,Camden,13729,10
2021-03-05,Camden,13719,18
2021-03-04,Camden,13701,12
2021-03-03,Camden,13689,15
2021-03-02,Camden,13674,12
2021-03-01,Camden,13662,13
2021-02-28,Camden,13649,6
2021-02-27,Camden,13643,10
2021-02-26,Camden,13633,14
2021-02-25,Camden,13619,7
2021-02-24,Camden,13612,15
2021-02-23,Camden,13597,20
2021-02-22,Camden,13577,16
2021-02-21,Camden,13561,13
2021-02-20,Camden,13548,21
2021-02-19,Camden,13527,23
2021-02-18,Camden,13504,24
2021-02-17,Camden,13480,16
2021-02-16,Camden,13464,24
2021-02-15,Camden,13440,31
2021-02-14,Camden,13409,11
2021-02-13,Camden,13398,14
2021-02-12,Camden,13384,23
2021-02-11,Camden,13361,38
2021-02-10,Camden,13323,17
2021-02-09,Camden,13306,22
2021-02-08,Camden,13284,37
2021-02-07,Camden,13247,24
2021-02-06,Camden,13223,21
2021-02-05,Camden,13202,39
2021-02-04,Camden,13163,33
2021-02-03,Camden,13130,35
2021-02-02,Camden,13095,61
2021-02-01,Camden,13034,49
2021-01-31,Camden,12985,38
2021-01-30,Camden,12947,43
2021-01-29,Camden,12904,56
2021-01-28,Camden,12848,54
2021-01-27,Camden,12794,78
2021-01-26,Camden,12716,70
2021-01-25,Camden,12646,86
2021-01-24,Camden,12560,64
2021-01-23,Camden,12496,79
2021-01-22,Camden,12417,121
2021-01-21,Camden,12296,110
2021-01-20,Camden,12186,135
2021-01-19,Camden,12051,113
2021-01-18,Camden,11938,172
2021-01-17,Camden,11766,90
2021-01-16,Camden,11676,102
2021-01-15,Camden,11574,158
2021-01-14,Camden,11416,180
2021-01-13,Camden,11236,137
2021-01-12,Camden,11099,215
2021-01-11,Camden,10884,206
2021-01-10,Camden,10678,158
2021-01-09,Camden,10520,180
2021-01-08,Camden,10340,198
2021-01-07,Camden,10142,223
2021-01-06,Camden,9919,302
2021-01-05,Camden,9617,284
2021-01-04,Camden,9333,328
2021-01-03,Camden,9005,269
2021-01-02,Camden,8736,267
2021-01-01,Camden,8469,117
2020-12-31,Camden,8352,227
2020-12-30,Camden,8125,360
2020-12-29,Camden,7765,378
2020-12-28,Camden,7387,226
2020-12-27,Camden,7161,254
2020-12-26,Camden,6907,246
2020-12-25,Camden,6661,69
2020-12-24,Camden,6592,195
2020-12-23,Camden,6397,271
2020-12-22,Camden,6126,274
2020-12-21,Camden,5852,249
2020-12-20,Camden,5603,129
2020-12-19,Camden,5474,135
2020-12-18,Camden,5339,199
2020-12-17,Camden,5140,223
2020-12-16,Camden,4917,201
2020-12-15,Camden,4716,134
2020-12-14,Camden,4582,157
2020-12-13,Camden,4425,91
2020-12-12,Camden,4334,95
2020-12-11,Camden,4239,92
2020-12-10,Camden,4147,79
2020-12-09,Camden,4068,74
2020-12-08,Camden,3994,62
2020-12-07,Camden,3932,69
2020-12-06,Camden,3863,33
2020-12-05,Camden,3830,34
2020-12-04,Camden,3796,41
2020-12-03,Camden,3755,46
2020-12-02,Camden,3709,41
2020-12-01,Camden,3668,40
2020-11-30,Camden,3628,36
2020-11-29,Camden,3592,25
2020-11-28,Camden,3567,29
2020-11-27,Camden,3538,28
2020-11-26,Camden,3510,42
2020-11-25,Camden,3468,52
2020-11-24,Camden,3416,39
2020-11-23,Camden,3377,49
2020-11-22,Camden,3328,30
2020-11-21,Camden,3298,15
2020-11-20,Camden,3283,28
2020-11-19,Camden,3255,31
2020-11-18,Camden,3224,36
2020-11-17,Camden,3188,38
2020-11-16,Camden,3150,61
2020-11-15,Camden,3089,27
2020-11-14,Camden,3062,35
2020-11-13,Camden,3027,47
2020-11-12,Camden,2980,57
2020-11-11,Camden,2923,74
2020-11-10,Camden,2849,42
2020-11-09,Camden,2807,89
2020-11-08,Camden,2718,30
2020-11-07,Camden,2688,25
2020-11-06,Camden,2663,53
2020-11-05,Camden,2610,29
2020-11-04,Camden,2581,43
2020-11-03,Camden,2538,47
2020-11-02,Camden,2491,59
2020-11-01,Camden,2432,28
2020-10-31,Camden,2404,25
2020-10-30,Camden,2379,46
2020-10-29,Camden,2333,41
2020-10-28,Camden,2292,44
2020-10-27,Camden,2248,50
2020-10-26,Camden,2198,70
2020-10-25,Camden,2128,17
2020-10-24,Camden,2111,35
2020-10-23,Camden,2076,47
2020-10-22,Camden,2029,51
2020-10-21,Camden,1978,52
2020-10-20,Camden,1926,57
2020-10-19,Camden,1869,69
2020-10-18,Camden,1800,30
2020-10-17,Camden,1770,30
2020-10-16,Camden,1740,46
2020-10-15,Camden,1694,55
2020-10-14,Camden,1639,54
2020-10-13,Camden,1585,62
2020-10-12,Camden,1523,43
2020-10-11,Camden,1480,19
2020-10-10,Camden,1461,28
2020-10-09,Camden,1433,53
2020-10-08,Camden,1380,41
2020-10-07,Camden,1339,55
2020-10-06,Camden,1284,42
2020-10-05,Camden,1242,53
2020-10-04,Camden,1189,20
2020-10-03,Camden,1169,19
2020-10-02,Camden,1150,29
2020-10-01,Camden,1121,19
2020-09-30,Camden,1102,23
2020-09-29,Camden,1079,7
2020-09-28,Camden,1072,15
2020-09-27,Camden,1057,7
2020-09-26,Camden,1050,11
2020-09-25,Camden,1039,10
2020-09-24,Camden,1029,10
2020-09-23,Camden,1019,15
2020-09-22,Camden,1004,11
2020-09-21,Camden,993,4
2020-09-20,Camden,989,14
2020-09-19,Camden,975,4
2020-09-18,Camden,971,11
2020-09-17,Camden,960,5
2020-09-16,Camden,955,5
2020-09-15,Camden,950,10
2020-09-14,Camden,940,9
2020-09-13,Camden,931,3
2020-09-12,Camden,928,9
2020-09-11,Camden,919,11
2020-09-10,Camden,908,11
2020-09-09,Camden,897,7
2020-09-08,Camden,890,10
2020-09-07,Camden,880,13
2020-09-06,Camden,867,1
2020-09-05,Camden,866,1
2020-09-04,Camden,865,7
2020-09-03,Camden,858,5
2020-09-02,Camden,853,9
2020-09-01,Camden,844,4
2020-08-31,Camden,840,4
2020-08-30,Camden,836,3
2020-08-29,Camden,833,5
2020-08-28,Camden,828,7
2020-08-27,Camden,821,3
2020-08-26,Camden,818,2
2020-08-25,Camden,816,9
2020-08-24,Camden,807,10
2020-08-23,Camden,797,3
2020-08-22,Camden,794,2
2020-08-21,Camden,792,6
2020-08-20,Camden,786,10
2020-08-19,Camden,776,2
2020-08-18,Camden,774,2
2020-08-17,Camden,772,9
2020-08-16,Camden,763,1
2020-08-15,Camden,762,6
2020-08-14,Camden,756,1
2020-08-13,Camden,755,3
2020-08-12,Camden,752,3
2020-08-11,Camden,749,5
2020-08-10,Camden,744,4
2020-08-09,Camden,740,3
2020-08-08,Camden,737,2
2020-08-07,Camden,735,1
2020-08-06,Camden,734,5
2020-08-05,Camden,729,3
2020-08-04,Camden,726,2
2020-08-03,Camden,724,1
2020-08-02,Camden,723,0
2020-08-01,Camden,723,1
2020-07-31,Camden,722,2
2020-07-30,Camden,720,1
2020-07-29,Camden,719,1
2020-07-28,Camden,718,1
2020-07-27,Camden,717,1
2020-07-26,Camden,716,3
2020-07-25,Camden,713,3
2020-07-24,Camden,710,1
2020-07-23,Camden,709,2
2020-07-22,Camden,707,1
2020-07-21,Camden,706,0
2020-07-20,Camden,706,0
2020-07-19,Camden,706,1
2020-07-18,Camden,705,1
2020-07-17,Camden,704,0
2020-07-16,Camden,704,1
2020-07-15,Camden,703,1
2020-07-14,Camden,702,0
2020-07-13,Camden,702,3
2020-07-12,Camden,699,1
2020-07-11,Camden,698,0
2020-07-10,Camden,698,0
2020-07-09,Camden,698,0
2020-07-08,Camden,698,1
2020-07-07,Camden,697,1
2020-07-06,Camden,696,3
2020-07-05,Camden,693,0
2020-07-04,Camden,693,0
2020-07-03,Camden,693,0
2020-07-02,Camden,693,0
2020-07-01,Camden,693,1
2020-06-30,Camden,692,0
2020-06-29,Camden,692,1
2020-06-28,Camden,691,0
2020-06-27,Camden,691,0
2020-06-26,Camden,691,1
2020-06-25,Camden,690,1
2020-06-24,Camden,689,0
2020-06-23,Camden,689,0
2020-06-22,Camden,689,0
2020-06-21,Camden,689,0
2020-06-20,Camden,689,1
2020-06-19,Camden,688,1
2020-06-18,Camden,687,2
2020-06-17,Camden,685,0
2020-06-16,Camden,685,1
2020-06-15,Camden,684,0
2020-06-14,Camden,684,2
2020-06-13,Camden,682,1
2020-06-12,Camden,681,2
2020-06-11,Camden,679,2
2020-06-10,Camden,677,0
2020-06-09,Camden,677,1
2020-06-08,Camden,676,1
2020-06-07,Camden,675,3
2020-06-06,Camden,672,0
2020-06-05,Camden,672,0
2020-06-04,Camden,672,0
2020-06-03,Camden,672,2
2020-06-02,Camden,670,2
2020-06-01,Camden,668,0
2020-05-31,Camden,668,2
2020-05-30,Camden,666,0
2020-05-29,Camden,666,1
2020-05-28,Camden,665,0
2020-05-27,Camden,665,1
2020-05-26,Camden,664,0
2020-05-25,Camden,664,1
2020-05-24,Camden,663,2
2020-05-23,Camden,661,0
2020-05-22,Camden,661,1
2020-05-21,Camden,660,2
2020-05-20,Camden,658,3
2020-05-19,Camden,655,1
2020-05-18,Camden,654,2
2020-05-17,Camden,652,0
2020-05-16,Camden,652,1
2020-05-15,Camden,651,1
2020-05-14,Camden,650,1
2020-05-13,Camden,649,4
2020-05-12,Camden,645,3
2020-05-11,Camden,642,6
2020-05-10,Camden,636,2
2020-05-09,Camden,634,2
2020-05-08,Camden,632,3
2020-05-07,Camden,629,9
2020-05-06,Camden,620,4
2020-05-05,Camden,616,5
2020-05-04,Camden,611,0
2020-05-03,Camden,611,2
2020-05-02,Camden,609,1
2020-05-01,Camden,608,8
2020-04-30,Camden,600,8
2020-04-29,Camden,592,4
2020-04-28,Camden,588,5
2020-04-27,Camden,583,2
2020-04-26,Camden,581,2
2020-04-25,Camden,579,7
2020-04-24,Camden,572,4
2020-04-23,Camden,568,12
2020-04-22,Camden,556,9
2020-04-21,Camden,547,6
2020-04-20,Camden,541,8
2020-04-19,Camden,533,6
2020-04-18,Camden,527,15
2020-04-17,Camden,512,10
2020-04-16,Camden,502,11
2020-04-15,Camden,491,21
2020-04-14,Camden,470,9
2020-04-13,Camden,461,13
