date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Croydon,30821,7
2021-04-18,Croydon,30814,9
2021-04-17,Croydon,30805,4
2021-04-16,Croydon,30801,4
2021-04-15,Croydon,30797,3
2021-04-14,Croydon,30794,9
2021-04-13,Croydon,30785,8
2021-04-12,Croydon,30777,9
2021-04-11,Croydon,30768,4
2021-04-10,Croydon,30764,7
2021-04-09,Croydon,30757,14
2021-04-08,Croydon,30743,11
2021-04-07,Croydon,30732,13
2021-04-06,Croydon,30719,10
2021-04-05,Croydon,30709,5
2021-04-04,Croydon,30704,8
2021-04-03,Croydon,30696,8
2021-04-02,Croydon,30688,7
2021-04-01,Croydon,30681,4
2021-03-31,Croydon,30677,6
2021-03-30,Croydon,30671,7
2021-03-29,Croydon,30664,17
2021-03-28,Croydon,30647,4
2021-03-27,Croydon,30643,12
2021-03-26,Croydon,30631,13
2021-03-25,Croydon,30618,10
2021-03-24,Croydon,30608,14
2021-03-23,Croydon,30594,9
2021-03-22,Croydon,30585,14
2021-03-21,Croydon,30571,11
2021-03-20,Croydon,30560,11
2021-03-19,Croydon,30549,10
2021-03-18,Croydon,30539,10
2021-03-17,Croydon,30529,11
2021-03-16,Croydon,30518,14
2021-03-15,Croydon,30504,16
2021-03-14,Croydon,30488,18
2021-03-13,Croydon,30470,9
2021-03-12,Croydon,30461,26
2021-03-11,Croydon,30435,23
2021-03-10,Croydon,30412,19
2021-03-09,Croydon,30393,20
2021-03-08,Croydon,30373,25
2021-03-07,Croydon,30348,21
2021-03-06,Croydon,30327,13
2021-03-05,Croydon,30314,13
2021-03-04,Croydon,30301,18
2021-03-03,Croydon,30283,15
2021-03-02,Croydon,30268,39
2021-03-01,Croydon,30229,27
2021-02-28,Croydon,30202,21
2021-02-27,Croydon,30181,15
2021-02-26,Croydon,30166,22
2021-02-25,Croydon,30144,48
2021-02-24,Croydon,30096,27
2021-02-23,Croydon,30069,43
2021-02-22,Croydon,30026,38
2021-02-21,Croydon,29988,31
2021-02-20,Croydon,29957,39
2021-02-19,Croydon,29918,57
2021-02-18,Croydon,29861,65
2021-02-17,Croydon,29796,54
2021-02-16,Croydon,29742,59
2021-02-15,Croydon,29683,57
2021-02-14,Croydon,29626,39
2021-02-13,Croydon,29587,34
2021-02-12,Croydon,29553,67
2021-02-11,Croydon,29486,54
2021-02-10,Croydon,29432,66
2021-02-09,Croydon,29366,67
2021-02-08,Croydon,29299,68
2021-02-07,Croydon,29231,65
2021-02-06,Croydon,29166,77
2021-02-05,Croydon,29089,96
2021-02-04,Croydon,28993,129
2021-02-03,Croydon,28864,123
2021-02-02,Croydon,28741,128
2021-02-01,Croydon,28613,141
2021-01-31,Croydon,28472,106
2021-01-30,Croydon,28366,102
2021-01-29,Croydon,28264,150
2021-01-28,Croydon,28114,170
2021-01-27,Croydon,27944,204
2021-01-26,Croydon,27740,198
2021-01-25,Croydon,27542,211
2021-01-24,Croydon,27331,148
2021-01-23,Croydon,27183,165
2021-01-22,Croydon,27018,267
2021-01-21,Croydon,26751,264
2021-01-20,Croydon,26487,343
2021-01-19,Croydon,26144,335
2021-01-18,Croydon,25809,387
2021-01-17,Croydon,25422,244
2021-01-16,Croydon,25178,297
2021-01-15,Croydon,24881,396
2021-01-14,Croydon,24485,454
2021-01-13,Croydon,24031,469
2021-01-12,Croydon,23562,481
2021-01-11,Croydon,23081,561
2021-01-10,Croydon,22520,371
2021-01-09,Croydon,22149,452
2021-01-08,Croydon,21697,531
2021-01-07,Croydon,21166,576
2021-01-06,Croydon,20590,625
2021-01-05,Croydon,19965,627
2021-01-04,Croydon,19338,829
2021-01-03,Croydon,18509,636
2021-01-02,Croydon,17873,588
2021-01-01,Croydon,17285,333
2020-12-31,Croydon,16952,557
2020-12-30,Croydon,16395,849
2020-12-29,Croydon,15546,866
2020-12-28,Croydon,14680,433
2020-12-27,Croydon,14247,568
2020-12-26,Croydon,13679,476
2020-12-25,Croydon,13203,174
2020-12-24,Croydon,13029,464
2020-12-23,Croydon,12565,531
2020-12-22,Croydon,12034,663
2020-12-21,Croydon,11371,557
2020-12-20,Croydon,10814,374
2020-12-19,Croydon,10440,288
2020-12-18,Croydon,10152,447
2020-12-17,Croydon,9705,415
2020-12-16,Croydon,9290,394
2020-12-15,Croydon,8896,371
2020-12-14,Croydon,8525,341
2020-12-13,Croydon,8184,193
2020-12-12,Croydon,7991,231
2020-12-11,Croydon,7760,214
2020-12-10,Croydon,7546,220
2020-12-09,Croydon,7326,162
2020-12-08,Croydon,7164,137
2020-12-07,Croydon,7027,132
2020-12-06,Croydon,6895,90
2020-12-05,Croydon,6805,103
2020-12-04,Croydon,6702,109
2020-12-03,Croydon,6593,91
2020-12-02,Croydon,6502,104
2020-12-01,Croydon,6398,97
2020-11-30,Croydon,6301,108
2020-11-29,Croydon,6193,56
2020-11-28,Croydon,6137,51
2020-11-27,Croydon,6086,103
2020-11-26,Croydon,5983,67
2020-11-25,Croydon,5916,81
2020-11-24,Croydon,5835,81
2020-11-23,Croydon,5754,83
2020-11-22,Croydon,5671,51
2020-11-21,Croydon,5620,59
2020-11-20,Croydon,5561,92
2020-11-19,Croydon,5469,83
2020-11-18,Croydon,5386,103
