date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Ealing,30994,4
2021-04-18,Ealing,30990,16
2021-04-17,Ealing,30974,11
2021-04-16,Ealing,30963,13
2021-04-15,Ealing,30950,15
2021-04-14,Ealing,30935,8
2021-04-13,Ealing,30927,8
2021-04-12,Ealing,30919,25
2021-04-11,Ealing,30894,17
2021-04-10,Ealing,30877,9
2021-04-09,Ealing,30868,16
2021-04-08,Ealing,30852,16
2021-04-07,Ealing,30836,24
2021-04-06,Ealing,30812,15
2021-04-05,Ealing,30797,21
2021-04-04,Ealing,30776,6
2021-04-03,Ealing,30770,11
2021-04-02,Ealing,30759,14
2021-04-01,Ealing,30745,15
2021-03-31,Ealing,30730,19
2021-03-30,Ealing,30711,25
2021-03-29,Ealing,30686,17
2021-03-28,Ealing,30669,28
2021-03-27,Ealing,30641,23
2021-03-26,Ealing,30618,26
2021-03-25,Ealing,30592,25
2021-03-24,Ealing,30567,25
2021-03-23,Ealing,30542,22
2021-03-22,Ealing,30520,25
2021-03-21,Ealing,30495,31
2021-03-20,Ealing,30464,32
2021-03-19,Ealing,30432,25
2021-03-18,Ealing,30407,32
2021-03-17,Ealing,30375,21
2021-03-16,Ealing,30354,28
2021-03-15,Ealing,30326,55
2021-03-14,Ealing,30271,20
2021-03-13,Ealing,30251,24
2021-03-12,Ealing,30227,27
2021-03-11,Ealing,30200,18
2021-03-10,Ealing,30182,32
2021-03-09,Ealing,30150,57
2021-03-08,Ealing,30093,44
2021-03-07,Ealing,30049,38
2021-03-06,Ealing,30011,26
2021-03-05,Ealing,29985,27
2021-03-04,Ealing,29958,37
2021-03-03,Ealing,29921,40
2021-03-02,Ealing,29881,39
2021-03-01,Ealing,29842,44
2021-02-28,Ealing,29798,30
2021-02-27,Ealing,29768,34
2021-02-26,Ealing,29734,33
2021-02-25,Ealing,29701,39
2021-02-24,Ealing,29662,63
2021-02-23,Ealing,29599,81
2021-02-22,Ealing,29518,63
2021-02-21,Ealing,29455,55
2021-02-20,Ealing,29400,48
2021-02-19,Ealing,29352,72
2021-02-18,Ealing,29280,49
2021-02-17,Ealing,29231,76
2021-02-16,Ealing,29155,52
2021-02-15,Ealing,29103,91
