date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Enfield,29710,8
2021-04-18,Enfield,29702,11
2021-04-17,Enfield,29691,1
2021-04-16,Enfield,29690,10
2021-04-15,Enfield,29680,15
2021-04-14,Enfield,29665,5
2021-04-13,Enfield,29660,6
2021-04-12,Enfield,29654,10
2021-04-11,Enfield,29644,10
2021-04-10,Enfield,29634,5
2021-04-09,Enfield,29629,8
2021-04-08,Enfield,29621,10
2021-04-07,Enfield,29611,6
2021-04-06,Enfield,29605,7
2021-04-05,Enfield,29598,6
2021-04-04,Enfield,29592,4
2021-04-03,Enfield,29588,12
2021-04-02,Enfield,29576,8
2021-04-01,Enfield,29568,9
2021-03-31,Enfield,29559,5
2021-03-30,Enfield,29554,14
2021-03-29,Enfield,29540,6
2021-03-28,Enfield,29534,13
2021-03-27,Enfield,29521,8
2021-03-26,Enfield,29513,11
2021-03-25,Enfield,29502,13
2021-03-24,Enfield,29489,19
2021-03-23,Enfield,29470,20
2021-03-22,Enfield,29450,22
2021-03-21,Enfield,29428,18
2021-03-20,Enfield,29410,6
2021-03-19,Enfield,29404,12
2021-03-18,Enfield,29392,13
2021-03-17,Enfield,29379,21
2021-03-16,Enfield,29358,15
2021-03-15,Enfield,29343,19
2021-03-14,Enfield,29324,6
2021-03-13,Enfield,29318,8
2021-03-12,Enfield,29310,18
2021-03-11,Enfield,29292,8
2021-03-10,Enfield,29284,18
2021-03-09,Enfield,29266,15
2021-03-08,Enfield,29251,13
2021-03-07,Enfield,29238,7
2021-03-06,Enfield,29231,16
2021-03-05,Enfield,29215,12
2021-03-04,Enfield,29203,11
2021-03-03,Enfield,29192,21
2021-03-02,Enfield,29171,21
2021-03-01,Enfield,29150,17
2021-02-28,Enfield,29133,12
2021-02-27,Enfield,29121,13
2021-02-26,Enfield,29108,24
2021-02-25,Enfield,29084,15
2021-02-24,Enfield,29069,17
2021-02-23,Enfield,29052,21
2021-02-22,Enfield,29031,31
2021-02-21,Enfield,29000,24
2021-02-20,Enfield,28976,31
2021-02-19,Enfield,28945,21
2021-02-18,Enfield,28924,44
2021-02-17,Enfield,28880,39
2021-02-16,Enfield,28841,18
2021-02-15,Enfield,28823,44
2021-02-14,Enfield,28779,29
2021-02-13,Enfield,28750,23
2021-02-12,Enfield,28727,32
2021-02-11,Enfield,28695,54
2021-02-10,Enfield,28641,45
2021-02-09,Enfield,28596,52
2021-02-08,Enfield,28544,55
2021-02-07,Enfield,28489,51
2021-02-06,Enfield,28438,61
2021-02-05,Enfield,28377,73
2021-02-04,Enfield,28304,74
2021-02-03,Enfield,28230,106
2021-02-02,Enfield,28124,78
2021-02-01,Enfield,28046,122
2021-01-31,Enfield,27924,69
2021-01-30,Enfield,27855,96
2021-01-29,Enfield,27759,112
2021-01-28,Enfield,27647,132
2021-01-27,Enfield,27515,173
2021-01-26,Enfield,27342,160
2021-01-25,Enfield,27182,205
2021-01-24,Enfield,26977,118
2021-01-23,Enfield,26859,150
2021-01-22,Enfield,26709,196
2021-01-21,Enfield,26513,199
2021-01-20,Enfield,26314,249
2021-01-19,Enfield,26065,270
2021-01-18,Enfield,25795,282
2021-01-17,Enfield,25513,201
2021-01-16,Enfield,25312,247
2021-01-15,Enfield,25065,296
2021-01-14,Enfield,24769,400
2021-01-13,Enfield,24369,371
2021-01-12,Enfield,23998,363
2021-01-11,Enfield,23635,464
2021-01-10,Enfield,23171,317
2021-01-09,Enfield,22854,369
2021-01-08,Enfield,22485,398
2021-01-07,Enfield,22087,427
2021-01-06,Enfield,21660,581
2021-01-05,Enfield,21079,646
2021-01-04,Enfield,20433,865
2021-01-03,Enfield,19568,585
2021-01-02,Enfield,18983,617
2021-01-01,Enfield,18366,309
2020-12-31,Enfield,18057,517
2020-12-30,Enfield,17540,761
2020-12-29,Enfield,16779,899
2020-12-28,Enfield,15880,498
2020-12-27,Enfield,15382,545
2020-12-26,Enfield,14837,569
2020-12-25,Enfield,14268,242
2020-12-24,Enfield,14026,453
2020-12-23,Enfield,13573,638
2020-12-22,Enfield,12935,556
2020-12-21,Enfield,12379,692
2020-12-20,Enfield,11687,389
2020-12-19,Enfield,11298,256
2020-12-18,Enfield,11042,464
2020-12-17,Enfield,10578,449
2020-12-16,Enfield,10129,435
2020-12-15,Enfield,9694,446
2020-12-14,Enfield,9248,397
2020-12-13,Enfield,8851,318
2020-12-12,Enfield,8533,233
2020-12-11,Enfield,8300,282
2020-12-10,Enfield,8018,262
2020-12-09,Enfield,7756,253
2020-12-08,Enfield,7503,199
2020-12-07,Enfield,7304,195
2020-12-06,Enfield,7109,143
2020-12-05,Enfield,6966,109
2020-12-04,Enfield,6857,139
2020-12-03,Enfield,6718,94
2020-12-02,Enfield,6624,144
2020-12-01,Enfield,6480,93
2020-11-30,Enfield,6387,123
2020-11-29,Enfield,6264,96
2020-11-28,Enfield,6168,61
2020-11-27,Enfield,6107,69
2020-11-26,Enfield,6038,77
2020-11-25,Enfield,5961,63
2020-11-24,Enfield,5898,84
2020-11-23,Enfield,5814,98
2020-11-22,Enfield,5716,63
2020-11-21,Enfield,5653,89
2020-11-20,Enfield,5564,89
2020-11-19,Enfield,5475,99
2020-11-18,Enfield,5376,113
2020-11-17,Enfield,5263,113
2020-11-16,Enfield,5150,124
2020-11-15,Enfield,5026,89
2020-11-14,Enfield,4937,76
2020-11-13,Enfield,4861,123
2020-11-12,Enfield,4738,132
2020-11-11,Enfield,4606,115
2020-11-10,Enfield,4491,108
2020-11-09,Enfield,4383,100
2020-11-08,Enfield,4283,53
2020-11-07,Enfield,4230,59
2020-11-06,Enfield,4171,80
2020-11-05,Enfield,4091,73
2020-11-04,Enfield,4018,74
2020-11-03,Enfield,3944,82
2020-11-02,Enfield,3862,111
2020-11-01,Enfield,3751,51
2020-10-31,Enfield,3700,43
2020-10-30,Enfield,3657,58
2020-10-29,Enfield,3599,81
2020-10-28,Enfield,3518,64
2020-10-27,Enfield,3454,85
2020-10-26,Enfield,3369,87
2020-10-25,Enfield,3282,47
2020-10-24,Enfield,3235,67
2020-10-23,Enfield,3168,72
2020-10-22,Enfield,3096,73
2020-10-21,Enfield,3023,78
2020-10-20,Enfield,2945,100
2020-10-19,Enfield,2845,85
2020-10-18,Enfield,2760,58
2020-10-17,Enfield,2702,51
2020-10-16,Enfield,2651,86
2020-10-15,Enfield,2565,111
2020-10-14,Enfield,2454,58
2020-10-13,Enfield,2396,46
2020-10-12,Enfield,2350,52
2020-10-11,Enfield,2298,44
2020-10-10,Enfield,2254,37
2020-10-09,Enfield,2217,37
2020-10-08,Enfield,2180,64
2020-10-07,Enfield,2116,42
2020-10-06,Enfield,2074,33
2020-10-05,Enfield,2041,43
2020-10-04,Enfield,1998,26
2020-10-03,Enfield,1972,24
2020-10-02,Enfield,1948,38
2020-10-01,Enfield,1910,34
2020-09-30,Enfield,1876,31
2020-09-29,Enfield,1845,35
2020-09-28,Enfield,1810,34
2020-09-27,Enfield,1776,24
2020-09-26,Enfield,1752,17
2020-09-25,Enfield,1735,24
2020-09-24,Enfield,1711,21
2020-09-23,Enfield,1690,19
2020-09-22,Enfield,1671,17
2020-09-21,Enfield,1654,15
