date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Greenwich,22329,3
2021-04-18,Greenwich,22326,7
2021-04-17,Greenwich,22319,1
2021-04-16,Greenwich,22318,5
2021-04-15,Greenwich,22313,8
2021-04-14,Greenwich,22305,5
2021-04-13,Greenwich,22300,8
2021-04-12,Greenwich,22292,8
2021-04-11,Greenwich,22284,8
2021-04-10,Greenwich,22276,5
2021-04-09,Greenwich,22271,5
2021-04-08,Greenwich,22266,10
2021-04-07,Greenwich,22256,5
2021-04-06,Greenwich,22251,5
2021-04-05,Greenwich,22246,4
2021-04-04,Greenwich,22242,5
2021-04-03,Greenwich,22237,3
2021-04-02,Greenwich,22234,5
2021-04-01,Greenwich,22229,14
2021-03-31,Greenwich,22215,9
2021-03-30,Greenwich,22206,9
2021-03-29,Greenwich,22197,15
2021-03-28,Greenwich,22182,13
2021-03-27,Greenwich,22169,6
2021-03-26,Greenwich,22163,13
2021-03-25,Greenwich,22150,12
2021-03-24,Greenwich,22138,13
2021-03-23,Greenwich,22125,31
2021-03-22,Greenwich,22094,20
2021-03-21,Greenwich,22074,29
2021-03-20,Greenwich,22045,6
2021-03-19,Greenwich,22039,11
2021-03-18,Greenwich,22028,27
2021-03-17,Greenwich,22001,14
2021-03-16,Greenwich,21987,14
2021-03-15,Greenwich,21973,20
2021-03-14,Greenwich,21953,6
2021-03-13,Greenwich,21947,10
2021-03-12,Greenwich,21937,20
2021-03-11,Greenwich,21917,12
2021-03-10,Greenwich,21905,11
2021-03-09,Greenwich,21894,21
2021-03-08,Greenwich,21873,22
2021-03-07,Greenwich,21851,11
2021-03-06,Greenwich,21840,8
2021-03-05,Greenwich,21832,13
2021-03-04,Greenwich,21819,11
2021-03-03,Greenwich,21808,23
2021-03-02,Greenwich,21785,21
2021-03-01,Greenwich,21764,21
2021-02-28,Greenwich,21743,15
2021-02-27,Greenwich,21728,16
2021-02-26,Greenwich,21712,20
2021-02-25,Greenwich,21692,17
2021-02-24,Greenwich,21675,25
2021-02-23,Greenwich,21650,23
2021-02-22,Greenwich,21627,23
2021-02-21,Greenwich,21604,18
2021-02-20,Greenwich,21586,23
2021-02-19,Greenwich,21563,31
2021-02-18,Greenwich,21532,37
2021-02-17,Greenwich,21495,22
2021-02-16,Greenwich,21473,32
2021-02-15,Greenwich,21441,32
2021-02-14,Greenwich,21409,24
2021-02-13,Greenwich,21385,21
2021-02-12,Greenwich,21364,34
2021-02-11,Greenwich,21330,34
2021-02-10,Greenwich,21296,42
2021-02-09,Greenwich,21254,56
2021-02-08,Greenwich,21198,47
2021-02-07,Greenwich,21151,38
2021-02-06,Greenwich,21113,43
2021-02-05,Greenwich,21070,67
2021-02-04,Greenwich,21003,83
2021-02-03,Greenwich,20920,76
2021-02-02,Greenwich,20844,100
2021-02-01,Greenwich,20744,91
2021-01-31,Greenwich,20653,81
2021-01-30,Greenwich,20572,74
2021-01-29,Greenwich,20498,101
2021-01-28,Greenwich,20397,137
2021-01-27,Greenwich,20260,139
2021-01-26,Greenwich,20121,137
2021-01-25,Greenwich,19984,128
2021-01-24,Greenwich,19856,72
2021-01-23,Greenwich,19784,136
2021-01-22,Greenwich,19648,169
2021-01-21,Greenwich,19479,204
2021-01-20,Greenwich,19275,254
2021-01-19,Greenwich,19021,248
2021-01-18,Greenwich,18773,318
2021-01-17,Greenwich,18455,187
2021-01-16,Greenwich,18268,203
2021-01-15,Greenwich,18065,293
2021-01-14,Greenwich,17772,298
2021-01-13,Greenwich,17474,317
2021-01-12,Greenwich,17157,318
2021-01-11,Greenwich,16839,376
2021-01-10,Greenwich,16463,261
2021-01-09,Greenwich,16202,294
2021-01-08,Greenwich,15908,401
2021-01-07,Greenwich,15507,406
2021-01-06,Greenwich,15101,479
2021-01-05,Greenwich,14622,482
2021-01-04,Greenwich,14140,648
2021-01-03,Greenwich,13492,414
2021-01-02,Greenwich,13078,473
2021-01-01,Greenwich,12605,220
2020-12-31,Greenwich,12385,404
2020-12-30,Greenwich,11981,559
2020-12-29,Greenwich,11422,721
2020-12-28,Greenwich,10701,395
2020-12-27,Greenwich,10306,411
2020-12-26,Greenwich,9895,377
2020-12-25,Greenwich,9518,131
2020-12-24,Greenwich,9387,236
2020-12-23,Greenwich,9151,407
2020-12-22,Greenwich,8744,404
2020-12-21,Greenwich,8340,407
2020-12-20,Greenwich,7933,260
2020-12-19,Greenwich,7673,214
2020-12-18,Greenwich,7459,328
2020-12-17,Greenwich,7131,284
2020-12-16,Greenwich,6847,344
2020-12-15,Greenwich,6503,262
2020-12-14,Greenwich,6241,249
2020-12-13,Greenwich,5992,170
2020-12-12,Greenwich,5822,118
2020-12-11,Greenwich,5704,154
2020-12-10,Greenwich,5550,176
2020-12-09,Greenwich,5374,165
2020-12-08,Greenwich,5209,86
2020-12-07,Greenwich,5123,129
2020-12-06,Greenwich,4994,67
2020-12-05,Greenwich,4927,66
2020-12-04,Greenwich,4861,108
2020-12-03,Greenwich,4753,107
2020-12-02,Greenwich,4646,88
2020-12-01,Greenwich,4558,99
2020-11-30,Greenwich,4459,67
2020-11-29,Greenwich,4392,48
2020-11-28,Greenwich,4344,42
2020-11-27,Greenwich,4302,57
2020-11-26,Greenwich,4245,57
2020-11-25,Greenwich,4188,69
2020-11-24,Greenwich,4119,64
2020-11-23,Greenwich,4055,95
2020-11-22,Greenwich,3960,41
2020-11-21,Greenwich,3919,37
2020-11-20,Greenwich,3882,61
2020-11-19,Greenwich,3821,87
2020-11-18,Greenwich,3734,80
2020-11-17,Greenwich,3654,101
2020-11-16,Greenwich,3553,116
2020-11-15,Greenwich,3437,54
2020-11-14,Greenwich,3383,71
2020-11-13,Greenwich,3312,59
2020-11-12,Greenwich,3253,82
2020-11-11,Greenwich,3171,95
2020-11-10,Greenwich,3076,88
2020-11-09,Greenwich,2988,92
2020-11-08,Greenwich,2896,32
2020-11-07,Greenwich,2864,39
2020-11-06,Greenwich,2825,52
2020-11-05,Greenwich,2773,49
2020-11-04,Greenwich,2724,46
2020-11-03,Greenwich,2678,59
2020-11-02,Greenwich,2619,74
2020-11-01,Greenwich,2545,23
2020-10-31,Greenwich,2522,31
2020-10-30,Greenwich,2491,45
2020-10-29,Greenwich,2446,47
2020-10-28,Greenwich,2399,50
2020-10-27,Greenwich,2349,46
2020-10-26,Greenwich,2303,70
2020-10-25,Greenwich,2233,37
2020-10-24,Greenwich,2196,45
2020-10-23,Greenwich,2151,36
2020-10-22,Greenwich,2115,59
2020-10-21,Greenwich,2056,47
2020-10-20,Greenwich,2009,48
2020-10-19,Greenwich,1961,51
2020-10-18,Greenwich,1910,26
2020-10-17,Greenwich,1884,23
2020-10-16,Greenwich,1861,40
2020-10-15,Greenwich,1821,36
2020-10-14,Greenwich,1785,43
2020-10-13,Greenwich,1742,32
2020-10-12,Greenwich,1710,40
2020-10-11,Greenwich,1670,17
2020-10-10,Greenwich,1653,20
2020-10-09,Greenwich,1633,20
2020-10-08,Greenwich,1613,32
