date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Hackney and City of London,21614,7
2021-04-18,Hackney and City of London,21607,9
2021-04-17,Hackney and City of London,21598,4
2021-04-16,Hackney and City of London,21594,10
2021-04-15,Hackney and City of London,21584,5
2021-04-14,Hackney and City of London,21579,2
2021-04-13,Hackney and City of London,21577,7
2021-04-12,Hackney and City of London,21570,10
2021-04-11,Hackney and City of London,21560,13
2021-04-10,Hackney and City of London,21547,7
2021-04-09,Hackney and City of London,21540,12
2021-04-08,Hackney and City of London,21528,11
2021-04-07,Hackney and City of London,21517,19
2021-04-06,Hackney and City of London,21498,9
2021-04-05,Hackney and City of London,21489,3
2021-04-04,Hackney and City of London,21486,8
2021-04-03,Hackney and City of London,21478,9
2021-04-02,Hackney and City of London,21469,7
2021-04-01,Hackney and City of London,21462,5
2021-03-31,Hackney and City of London,21457,6
2021-03-30,Hackney and City of London,21451,3
2021-03-29,Hackney and City of London,21448,9
2021-03-28,Hackney and City of London,21439,5
2021-03-27,Hackney and City of London,21434,7
2021-03-26,Hackney and City of London,21427,10
2021-03-25,Hackney and City of London,21417,9
2021-03-24,Hackney and City of London,21408,13
2021-03-23,Hackney and City of London,21395,8
2021-03-22,Hackney and City of London,21387,15
2021-03-21,Hackney and City of London,21372,8
2021-03-20,Hackney and City of London,21364,5
2021-03-19,Hackney and City of London,21359,13
2021-03-18,Hackney and City of London,21346,4
2021-03-17,Hackney and City of London,21342,8
2021-03-16,Hackney and City of London,21334,7
2021-03-15,Hackney and City of London,21327,6
2021-03-14,Hackney and City of London,21321,4
2021-03-13,Hackney and City of London,21317,9
2021-03-12,Hackney and City of London,21308,6
2021-03-11,Hackney and City of London,21302,6
2021-03-10,Hackney and City of London,21296,5
2021-03-09,Hackney and City of London,21291,6
2021-03-08,Hackney and City of London,21285,8
2021-03-07,Hackney and City of London,21277,3
2021-03-06,Hackney and City of London,21274,11
2021-03-05,Hackney and City of London,21263,15
2021-03-04,Hackney and City of London,21248,7
2021-03-03,Hackney and City of London,21241,16
2021-03-02,Hackney and City of London,21225,14
2021-03-01,Hackney and City of London,21211,10
2021-02-28,Hackney and City of London,21201,7
2021-02-27,Hackney and City of London,21194,15
2021-02-26,Hackney and City of London,21179,7
2021-02-25,Hackney and City of London,21172,20
2021-02-24,Hackney and City of London,21152,17
2021-02-23,Hackney and City of London,21135,28
2021-02-22,Hackney and City of London,21107,26
2021-02-21,Hackney and City of London,21081,23
2021-02-20,Hackney and City of London,21058,21
2021-02-19,Hackney and City of London,21037,32
2021-02-18,Hackney and City of London,21005,21
2021-02-17,Hackney and City of London,20984,17
2021-02-16,Hackney and City of London,20967,28
2021-02-15,Hackney and City of London,20939,38
2021-02-14,Hackney and City of London,20901,27
2021-02-13,Hackney and City of London,20874,18
2021-02-12,Hackney and City of London,20856,33
2021-02-11,Hackney and City of London,20823,29
2021-02-10,Hackney and City of London,20794,29
2021-02-09,Hackney and City of London,20765,40
2021-02-08,Hackney and City of London,20725,50
2021-02-07,Hackney and City of London,20675,30
2021-02-06,Hackney and City of London,20645,34
2021-02-05,Hackney and City of London,20611,38
2021-02-04,Hackney and City of London,20573,39
2021-02-03,Hackney and City of London,20534,54
2021-02-02,Hackney and City of London,20480,63
2021-02-01,Hackney and City of London,20417,79
2021-01-31,Hackney and City of London,20338,53
2021-01-30,Hackney and City of London,20285,67
2021-01-29,Hackney and City of London,20218,95
2021-01-28,Hackney and City of London,20123,90
2021-01-27,Hackney and City of London,20033,90
2021-01-26,Hackney and City of London,19943,109
2021-01-25,Hackney and City of London,19834,123
2021-01-24,Hackney and City of London,19711,81
2021-01-23,Hackney and City of London,19630,124
2021-01-22,Hackney and City of London,19506,144
2021-01-21,Hackney and City of London,19362,194
2021-01-20,Hackney and City of London,19168,167
2021-01-19,Hackney and City of London,19001,203
2021-01-18,Hackney and City of London,18798,252
2021-01-17,Hackney and City of London,18546,160
2021-01-16,Hackney and City of London,18386,172
2021-01-15,Hackney and City of London,18214,259
2021-01-14,Hackney and City of London,17955,274
2021-01-13,Hackney and City of London,17681,301
2021-01-12,Hackney and City of London,17380,311
2021-01-11,Hackney and City of London,17069,380
2021-01-10,Hackney and City of London,16689,231
2021-01-09,Hackney and City of London,16458,269
2021-01-08,Hackney and City of London,16189,310
2021-01-07,Hackney and City of London,15879,359
2021-01-06,Hackney and City of London,15520,379
2021-01-05,Hackney and City of London,15141,431
2021-01-04,Hackney and City of London,14710,529
2021-01-03,Hackney and City of London,14181,377
2021-01-02,Hackney and City of London,13804,315
2021-01-01,Hackney and City of London,13489,196
2020-12-31,Hackney and City of London,13293,411
2020-12-30,Hackney and City of London,12882,462
2020-12-29,Hackney and City of London,12420,590
2020-12-28,Hackney and City of London,11830,303
2020-12-27,Hackney and City of London,11527,406
2020-12-26,Hackney and City of London,11121,334
2020-12-25,Hackney and City of London,10787,147
2020-12-24,Hackney and City of London,10640,261
2020-12-23,Hackney and City of London,10379,373
2020-12-22,Hackney and City of London,10006,412
2020-12-21,Hackney and City of London,9594,432
2020-12-20,Hackney and City of London,9162,305
2020-12-19,Hackney and City of London,8857,290
2020-12-18,Hackney and City of London,8567,368
2020-12-17,Hackney and City of London,8199,353
2020-12-16,Hackney and City of London,7846,324
2020-12-15,Hackney and City of London,7522,286
2020-12-14,Hackney and City of London,7236,293
2020-12-13,Hackney and City of London,6943,157
2020-12-12,Hackney and City of London,6786,144
2020-12-11,Hackney and City of London,6642,200
2020-12-10,Hackney and City of London,6442,133
2020-12-09,Hackney and City of London,6309,145
2020-12-08,Hackney and City of London,6164,109
2020-12-07,Hackney and City of London,6055,125
2020-12-06,Hackney and City of London,5930,72
2020-12-05,Hackney and City of London,5858,53
2020-12-04,Hackney and City of London,5805,103
2020-12-03,Hackney and City of London,5702,78
2020-12-02,Hackney and City of London,5624,105
2020-12-01,Hackney and City of London,5519,82
2020-11-30,Hackney and City of London,5437,91
2020-11-29,Hackney and City of London,5346,30
2020-11-28,Hackney and City of London,5316,39
2020-11-27,Hackney and City of London,5277,67
2020-11-26,Hackney and City of London,5210,84
2020-11-25,Hackney and City of London,5126,56
2020-11-24,Hackney and City of London,5070,53
2020-11-23,Hackney and City of London,5017,57
2020-11-22,Hackney and City of London,4960,59
2020-11-21,Hackney and City of London,4901,26
2020-11-20,Hackney and City of London,4875,50
2020-11-19,Hackney and City of London,4825,61
2020-11-18,Hackney and City of London,4764,74
2020-11-17,Hackney and City of London,4690,89
2020-11-16,Hackney and City of London,4601,90
2020-11-15,Hackney and City of London,4511,44
2020-11-14,Hackney and City of London,4467,48
2020-11-13,Hackney and City of London,4419,88
2020-11-12,Hackney and City of London,4331,102
2020-11-11,Hackney and City of London,4229,73
2020-11-10,Hackney and City of London,4156,65
2020-11-09,Hackney and City of London,4091,89
2020-11-08,Hackney and City of London,4002,47
2020-11-07,Hackney and City of London,3955,44
2020-11-06,Hackney and City of London,3911,53
2020-11-05,Hackney and City of London,3858,49
2020-11-04,Hackney and City of London,3809,46
2020-11-03,Hackney and City of London,3763,61
2020-11-02,Hackney and City of London,3702,84
2020-11-01,Hackney and City of London,3618,39
2020-10-31,Hackney and City of London,3579,52
2020-10-30,Hackney and City of London,3527,51
2020-10-29,Hackney and City of London,3476,42
2020-10-28,Hackney and City of London,3434,71
2020-10-27,Hackney and City of London,3363,84
2020-10-26,Hackney and City of London,3279,78
2020-10-25,Hackney and City of London,3201,59
2020-10-24,Hackney and City of London,3142,50
2020-10-23,Hackney and City of London,3092,61
2020-10-22,Hackney and City of London,3031,73
2020-10-21,Hackney and City of London,2958,86
2020-10-20,Hackney and City of London,2872,111
2020-10-19,Hackney and City of London,2761,92
2020-10-18,Hackney and City of London,2669,79
2020-10-17,Hackney and City of London,2590,28
2020-10-16,Hackney and City of London,2562,76
2020-10-15,Hackney and City of London,2486,77
2020-10-14,Hackney and City of London,2409,65
2020-10-13,Hackney and City of London,2344,74
2020-10-12,Hackney and City of London,2270,80
2020-10-11,Hackney and City of London,2190,32
2020-10-10,Hackney and City of London,2158,25
2020-10-09,Hackney and City of London,2133,51
2020-10-08,Hackney and City of London,2082,48
2020-10-07,Hackney and City of London,2034,76
2020-10-06,Hackney and City of London,1958,63
2020-10-05,Hackney and City of London,1895,68
2020-10-04,Hackney and City of London,1827,28
2020-10-03,Hackney and City of London,1799,34
2020-10-02,Hackney and City of London,1765,56
2020-10-01,Hackney and City of London,1709,47
2020-09-30,Hackney and City of London,1662,54
2020-09-29,Hackney and City of London,1608,26
2020-09-28,Hackney and City of London,1582,29
2020-09-27,Hackney and City of London,1553,21
2020-09-26,Hackney and City of London,1532,14
2020-09-25,Hackney and City of London,1518,30
2020-09-24,Hackney and City of London,1488,32
2020-09-23,Hackney and City of London,1456,25
2020-09-22,Hackney and City of London,1431,13
2020-09-21,Hackney and City of London,1418,21
2020-09-20,Hackney and City of London,1397,12
2020-09-19,Hackney and City of London,1385,7
2020-09-18,Hackney and City of London,1378,8
2020-09-17,Hackney and City of London,1370,11
2020-09-16,Hackney and City of London,1359,5
2020-09-15,Hackney and City of London,1354,12
2020-09-14,Hackney and City of London,1342,15
2020-09-13,Hackney and City of London,1327,4
2020-09-12,Hackney and City of London,1323,8
2020-09-11,Hackney and City of London,1315,10
2020-09-10,Hackney and City of London,1305,15
2020-09-09,Hackney and City of London,1290,14
2020-09-08,Hackney and City of London,1276,17
2020-09-07,Hackney and City of London,1259,9
2020-09-06,Hackney and City of London,1250,2
2020-09-05,Hackney and City of London,1248,9
2020-09-04,Hackney and City of London,1239,14
2020-09-03,Hackney and City of London,1225,13
2020-09-02,Hackney and City of London,1212,5
2020-09-01,Hackney and City of London,1207,8
2020-08-31,Hackney and City of London,1199,6
2020-08-30,Hackney and City of London,1193,5
2020-08-29,Hackney and City of London,1188,3
2020-08-28,Hackney and City of London,1185,9
2020-08-27,Hackney and City of London,1176,6
2020-08-26,Hackney and City of London,1170,5
2020-08-25,Hackney and City of London,1165,12
2020-08-24,Hackney and City of London,1153,13
2020-08-23,Hackney and City of London,1140,16
2020-08-22,Hackney and City of London,1124,3
2020-08-21,Hackney and City of London,1121,10
2020-08-20,Hackney and City of London,1111,19
2020-08-19,Hackney and City of London,1092,16
2020-08-18,Hackney and City of London,1076,9
2020-08-17,Hackney and City of London,1067,6
2020-08-16,Hackney and City of London,1061,7
2020-08-15,Hackney and City of London,1054,1
2020-08-14,Hackney and City of London,1053,6
2020-08-13,Hackney and City of London,1047,6
2020-08-12,Hackney and City of London,1041,1
2020-08-11,Hackney and City of London,1040,11
2020-08-10,Hackney and City of London,1029,6
2020-08-09,Hackney and City of London,1023,4
2020-08-08,Hackney and City of London,1019,0
2020-08-07,Hackney and City of London,1019,6
2020-08-06,Hackney and City of London,1013,2
2020-08-05,Hackney and City of London,1011,5
2020-08-04,Hackney and City of London,1006,13
2020-08-03,Hackney and City of London,993,6
2020-08-02,Hackney and City of London,987,6
2020-08-01,Hackney and City of London,981,1
2020-07-31,Hackney and City of London,980,4
2020-07-30,Hackney and City of London,976,9
2020-07-29,Hackney and City of London,967,15
2020-07-28,Hackney and City of London,952,9
2020-07-27,Hackney and City of London,943,9
2020-07-26,Hackney and City of London,934,13
2020-07-25,Hackney and City of London,921,2
2020-07-24,Hackney and City of London,919,7
2020-07-23,Hackney and City of London,912,3
2020-07-22,Hackney and City of London,909,5
2020-07-21,Hackney and City of London,904,11
2020-07-20,Hackney and City of London,893,13
2020-07-19,Hackney and City of London,880,5
2020-07-18,Hackney and City of London,875,7
2020-07-17,Hackney and City of London,868,1
2020-07-16,Hackney and City of London,867,8
2020-07-15,Hackney and City of London,859,10
2020-07-14,Hackney and City of London,849,12
2020-07-13,Hackney and City of London,837,8
2020-07-12,Hackney and City of London,829,3
2020-07-11,Hackney and City of London,826,2
2020-07-10,Hackney and City of London,824,4
2020-07-09,Hackney and City of London,820,1
2020-07-08,Hackney and City of London,819,4
2020-07-07,Hackney and City of London,815,1
2020-07-06,Hackney and City of London,814,1
2020-07-05,Hackney and City of London,813,6
2020-07-04,Hackney and City of London,807,0
2020-07-03,Hackney and City of London,807,3
2020-07-02,Hackney and City of London,804,2
2020-07-01,Hackney and City of London,802,3
2020-06-30,Hackney and City of London,799,3
2020-06-29,Hackney and City of London,796,0
2020-06-28,Hackney and City of London,796,2
2020-06-27,Hackney and City of London,794,0
2020-06-26,Hackney and City of London,794,1
2020-06-25,Hackney and City of London,793,0
2020-06-24,Hackney and City of London,793,1
2020-06-23,Hackney and City of London,792,0
2020-06-22,Hackney and City of London,792,1
2020-06-21,Hackney and City of London,791,0
2020-06-20,Hackney and City of London,791,0
2020-06-19,Hackney and City of London,791,1
2020-06-18,Hackney and City of London,790,3
2020-06-17,Hackney and City of London,787,0
2020-06-16,Hackney and City of London,787,1
2020-06-15,Hackney and City of London,786,2
2020-06-14,Hackney and City of London,784,0
2020-06-13,Hackney and City of London,784,2
2020-06-12,Hackney and City of London,782,0
2020-06-11,Hackney and City of London,782,0
2020-06-10,Hackney and City of London,782,1
2020-06-09,Hackney and City of London,781,1
2020-06-08,Hackney and City of London,780,0
2020-06-07,Hackney and City of London,780,0
2020-06-06,Hackney and City of London,780,0
2020-06-05,Hackney and City of London,780,1
2020-06-04,Hackney and City of London,779,1
2020-06-03,Hackney and City of London,778,5
