date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Hammersmith and Fulham,12967,4
2021-04-18,Hammersmith and Fulham,12963,8
2021-04-17,Hammersmith and Fulham,12955,6
2021-04-16,Hammersmith and Fulham,12949,11
2021-04-15,Hammersmith and Fulham,12938,9
2021-04-14,Hammersmith and Fulham,12929,7
2021-04-13,Hammersmith and Fulham,12922,4
2021-04-12,Hammersmith and Fulham,12918,11
2021-04-11,Hammersmith and Fulham,12907,8
2021-04-10,Hammersmith and Fulham,12899,6
2021-04-09,Hammersmith and Fulham,12893,4
2021-04-08,Hammersmith and Fulham,12889,10
2021-04-07,Hammersmith and Fulham,12879,6
2021-04-06,Hammersmith and Fulham,12873,5
2021-04-05,Hammersmith and Fulham,12868,4
2021-04-04,Hammersmith and Fulham,12864,1
2021-04-03,Hammersmith and Fulham,12863,2
2021-04-02,Hammersmith and Fulham,12861,7
2021-04-01,Hammersmith and Fulham,12854,7
2021-03-31,Hammersmith and Fulham,12847,2
2021-03-30,Hammersmith and Fulham,12845,7
2021-03-29,Hammersmith and Fulham,12838,8
2021-03-28,Hammersmith and Fulham,12830,13
2021-03-27,Hammersmith and Fulham,12817,3
2021-03-26,Hammersmith and Fulham,12814,13
2021-03-25,Hammersmith and Fulham,12801,14
2021-03-24,Hammersmith and Fulham,12787,19
2021-03-23,Hammersmith and Fulham,12768,13
2021-03-22,Hammersmith and Fulham,12755,9
2021-03-21,Hammersmith and Fulham,12746,16
2021-03-20,Hammersmith and Fulham,12730,4
2021-03-19,Hammersmith and Fulham,12726,8
2021-03-18,Hammersmith and Fulham,12718,10
2021-03-17,Hammersmith and Fulham,12708,8
2021-03-16,Hammersmith and Fulham,12700,8
2021-03-15,Hammersmith and Fulham,12692,12
2021-03-14,Hammersmith and Fulham,12680,6
2021-03-13,Hammersmith and Fulham,12674,4
2021-03-12,Hammersmith and Fulham,12670,11
2021-03-11,Hammersmith and Fulham,12659,11
2021-03-10,Hammersmith and Fulham,12648,8
2021-03-09,Hammersmith and Fulham,12640,10
2021-03-08,Hammersmith and Fulham,12630,14
2021-03-07,Hammersmith and Fulham,12616,8
2021-03-06,Hammersmith and Fulham,12608,6
2021-03-05,Hammersmith and Fulham,12602,6
2021-03-04,Hammersmith and Fulham,12596,13
2021-03-03,Hammersmith and Fulham,12583,8
2021-03-02,Hammersmith and Fulham,12575,15
2021-03-01,Hammersmith and Fulham,12560,8
2021-02-28,Hammersmith and Fulham,12552,7
2021-02-27,Hammersmith and Fulham,12545,14
2021-02-26,Hammersmith and Fulham,12531,26
2021-02-25,Hammersmith and Fulham,12505,14
2021-02-24,Hammersmith and Fulham,12491,19
2021-02-23,Hammersmith and Fulham,12472,27
2021-02-22,Hammersmith and Fulham,12445,17
2021-02-21,Hammersmith and Fulham,12428,14
2021-02-20,Hammersmith and Fulham,12414,21
2021-02-19,Hammersmith and Fulham,12393,28
2021-02-18,Hammersmith and Fulham,12365,42
2021-02-17,Hammersmith and Fulham,12323,32
2021-02-16,Hammersmith and Fulham,12291,24
2021-02-15,Hammersmith and Fulham,12267,27
2021-02-14,Hammersmith and Fulham,12240,14
2021-02-13,Hammersmith and Fulham,12226,21
2021-02-12,Hammersmith and Fulham,12205,23
2021-02-11,Hammersmith and Fulham,12182,39
2021-02-10,Hammersmith and Fulham,12143,47
2021-02-09,Hammersmith and Fulham,12096,55
2021-02-08,Hammersmith and Fulham,12041,39
2021-02-07,Hammersmith and Fulham,12002,27
2021-02-06,Hammersmith and Fulham,11975,40
2021-02-05,Hammersmith and Fulham,11935,48
2021-02-04,Hammersmith and Fulham,11887,51
2021-02-03,Hammersmith and Fulham,11836,70
2021-02-02,Hammersmith and Fulham,11766,56
2021-02-01,Hammersmith and Fulham,11710,83
2021-01-31,Hammersmith and Fulham,11627,47
2021-01-30,Hammersmith and Fulham,11580,53
2021-01-29,Hammersmith and Fulham,11527,69
2021-01-28,Hammersmith and Fulham,11458,80
2021-01-27,Hammersmith and Fulham,11378,108
2021-01-26,Hammersmith and Fulham,11270,111
2021-01-25,Hammersmith and Fulham,11159,90
2021-01-24,Hammersmith and Fulham,11069,65
2021-01-23,Hammersmith and Fulham,11004,73
2021-01-22,Hammersmith and Fulham,10931,87
2021-01-21,Hammersmith and Fulham,10844,109
2021-01-20,Hammersmith and Fulham,10735,100
2021-01-19,Hammersmith and Fulham,10635,110
2021-01-18,Hammersmith and Fulham,10525,134
2021-01-17,Hammersmith and Fulham,10391,113
2021-01-16,Hammersmith and Fulham,10278,101
2021-01-15,Hammersmith and Fulham,10177,149
2021-01-14,Hammersmith and Fulham,10028,148
2021-01-13,Hammersmith and Fulham,9880,192
2021-01-12,Hammersmith and Fulham,9688,148
2021-01-11,Hammersmith and Fulham,9540,186
2021-01-10,Hammersmith and Fulham,9354,136
2021-01-09,Hammersmith and Fulham,9218,122
