date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Haringey,20757,1
2021-04-18,Haringey,20756,11
2021-04-17,Haringey,20745,1
2021-04-16,Haringey,20744,4
2021-04-15,Haringey,20740,9
2021-04-14,Haringey,20731,9
2021-04-13,Haringey,20722,3
2021-04-12,Haringey,20719,11
2021-04-11,Haringey,20708,3
2021-04-10,Haringey,20705,4
2021-04-09,Haringey,20701,8
2021-04-08,Haringey,20693,2
2021-04-07,Haringey,20691,2
2021-04-06,Haringey,20689,5
2021-04-05,Haringey,20684,4
2021-04-04,Haringey,20680,4
2021-04-03,Haringey,20676,5
2021-04-02,Haringey,20671,7
2021-04-01,Haringey,20664,4
2021-03-31,Haringey,20660,5
2021-03-30,Haringey,20655,11
2021-03-29,Haringey,20644,15
2021-03-28,Haringey,20629,10
2021-03-27,Haringey,20619,13
2021-03-26,Haringey,20606,18
2021-03-25,Haringey,20588,9
2021-03-24,Haringey,20579,13
2021-03-23,Haringey,20566,9
2021-03-22,Haringey,20557,12
2021-03-21,Haringey,20545,13
2021-03-20,Haringey,20532,9
2021-03-19,Haringey,20523,9
2021-03-18,Haringey,20514,13
2021-03-17,Haringey,20501,11
2021-03-16,Haringey,20490,5
2021-03-15,Haringey,20485,10
2021-03-14,Haringey,20475,7
2021-03-13,Haringey,20468,10
2021-03-12,Haringey,20458,18
2021-03-11,Haringey,20440,8
2021-03-10,Haringey,20432,10
2021-03-09,Haringey,20422,12
2021-03-08,Haringey,20410,16
2021-03-07,Haringey,20394,11
2021-03-06,Haringey,20383,6
2021-03-05,Haringey,20377,9
2021-03-04,Haringey,20368,8
2021-03-03,Haringey,20360,13
2021-03-02,Haringey,20347,14
2021-03-01,Haringey,20333,7
2021-02-28,Haringey,20326,10
2021-02-27,Haringey,20316,9
2021-02-26,Haringey,20307,13
2021-02-25,Haringey,20294,13
2021-02-24,Haringey,20281,31
2021-02-23,Haringey,20250,24
2021-02-22,Haringey,20226,26
2021-02-21,Haringey,20200,18
2021-02-20,Haringey,20182,20
2021-02-19,Haringey,20162,26
2021-02-18,Haringey,20136,23
2021-02-17,Haringey,20113,25
2021-02-16,Haringey,20088,28
2021-02-15,Haringey,20060,36
2021-02-14,Haringey,20024,24
2021-02-13,Haringey,20000,20
2021-02-12,Haringey,19980,37
2021-02-11,Haringey,19943,43
2021-02-10,Haringey,19900,48
2021-02-09,Haringey,19852,38
2021-02-08,Haringey,19814,52
2021-02-07,Haringey,19762,29
2021-02-06,Haringey,19733,37
2021-02-05,Haringey,19696,45
2021-02-04,Haringey,19651,52
2021-02-03,Haringey,19599,62
2021-02-02,Haringey,19537,65
2021-02-01,Haringey,19472,80
2021-01-31,Haringey,19392,43
2021-01-30,Haringey,19349,81
2021-01-29,Haringey,19268,100
2021-01-28,Haringey,19168,108
2021-01-27,Haringey,19060,119
2021-01-26,Haringey,18941,128
2021-01-25,Haringey,18813,129
2021-01-24,Haringey,18684,78
2021-01-23,Haringey,18606,122
2021-01-22,Haringey,18484,175
2021-01-21,Haringey,18309,148
2021-01-20,Haringey,18161,181
2021-01-19,Haringey,17980,240
2021-01-18,Haringey,17740,248
2021-01-17,Haringey,17492,153
2021-01-16,Haringey,17339,158
2021-01-15,Haringey,17181,266
2021-01-14,Haringey,16915,231
2021-01-13,Haringey,16684,266
2021-01-12,Haringey,16418,299
2021-01-11,Haringey,16119,389
2021-01-10,Haringey,15730,212
2021-01-09,Haringey,15518,275
2021-01-08,Haringey,15243,313
2021-01-07,Haringey,14930,353
2021-01-06,Haringey,14577,467
2021-01-05,Haringey,14110,453
2021-01-04,Haringey,13657,528
2021-01-03,Haringey,13129,396
2021-01-02,Haringey,12733,403
2021-01-01,Haringey,12330,225
2020-12-31,Haringey,12105,327
2020-12-30,Haringey,11778,497
2020-12-29,Haringey,11281,623
2020-12-28,Haringey,10658,326
2020-12-27,Haringey,10332,431
2020-12-26,Haringey,9901,385
2020-12-25,Haringey,9516,138
2020-12-24,Haringey,9378,275
2020-12-23,Haringey,9103,415
2020-12-22,Haringey,8688,417
2020-12-21,Haringey,8271,416
2020-12-20,Haringey,7855,287
2020-12-19,Haringey,7568,218
2020-12-18,Haringey,7350,340
2020-12-17,Haringey,7010,273
2020-12-16,Haringey,6737,319
2020-12-15,Haringey,6418,285
2020-12-14,Haringey,6133,250
2020-12-13,Haringey,5883,183
2020-12-12,Haringey,5700,134
2020-12-11,Haringey,5566,158
2020-12-10,Haringey,5408,134
2020-12-09,Haringey,5274,128
2020-12-08,Haringey,5146,100
2020-12-07,Haringey,5046,102
2020-12-06,Haringey,4944,69
2020-12-05,Haringey,4875,76
2020-12-04,Haringey,4799,110
2020-12-03,Haringey,4689,72
2020-12-02,Haringey,4617,81
2020-12-01,Haringey,4536,74
2020-11-30,Haringey,4462,81
2020-11-29,Haringey,4381,57
2020-11-28,Haringey,4324,52
2020-11-27,Haringey,4272,74
2020-11-26,Haringey,4198,52
2020-11-25,Haringey,4146,53
2020-11-24,Haringey,4093,42
2020-11-23,Haringey,4051,55
2020-11-22,Haringey,3996,34
2020-11-21,Haringey,3962,35
2020-11-20,Haringey,3927,54
2020-11-19,Haringey,3873,44
2020-11-18,Haringey,3829,69
2020-11-17,Haringey,3760,47
2020-11-16,Haringey,3713,68
2020-11-15,Haringey,3645,42
2020-11-14,Haringey,3603,48
2020-11-13,Haringey,3555,57
2020-11-12,Haringey,3498,78
2020-11-11,Haringey,3420,58
2020-11-10,Haringey,3362,60
2020-11-09,Haringey,3302,61
2020-11-08,Haringey,3241,51
2020-11-07,Haringey,3190,40
2020-11-06,Haringey,3150,49
2020-11-05,Haringey,3101,46
2020-11-04,Haringey,3055,49
2020-11-03,Haringey,3006,53
2020-11-02,Haringey,2953,76
2020-11-01,Haringey,2877,44
2020-10-31,Haringey,2833,44
2020-10-30,Haringey,2789,69
2020-10-29,Haringey,2720,59
2020-10-28,Haringey,2661,41
2020-10-27,Haringey,2620,56
2020-10-26,Haringey,2564,78
2020-10-25,Haringey,2486,39
2020-10-24,Haringey,2447,54
2020-10-23,Haringey,2393,66
2020-10-22,Haringey,2327,59
2020-10-21,Haringey,2268,79
2020-10-20,Haringey,2189,71
2020-10-19,Haringey,2118,81
2020-10-18,Haringey,2037,42
2020-10-17,Haringey,1995,32
2020-10-16,Haringey,1963,39
2020-10-15,Haringey,1924,47
2020-10-14,Haringey,1877,47
2020-10-13,Haringey,1830,50
2020-10-12,Haringey,1780,53
2020-10-11,Haringey,1727,22
2020-10-10,Haringey,1705,32
2020-10-09,Haringey,1673,45
2020-10-08,Haringey,1628,55
2020-10-07,Haringey,1573,56
2020-10-06,Haringey,1517,32
2020-10-05,Haringey,1485,35
2020-10-04,Haringey,1450,26
2020-10-03,Haringey,1424,22
2020-10-02,Haringey,1402,25
2020-10-01,Haringey,1377,32
2020-09-30,Haringey,1345,35
2020-09-29,Haringey,1310,26
2020-09-28,Haringey,1284,33
2020-09-27,Haringey,1251,26
2020-09-26,Haringey,1225,18
2020-09-25,Haringey,1207,18
2020-09-24,Haringey,1189,12
2020-09-23,Haringey,1177,13
2020-09-22,Haringey,1164,12
2020-09-21,Haringey,1152,7
2020-09-20,Haringey,1145,20
2020-09-19,Haringey,1125,10
2020-09-18,Haringey,1115,5
2020-09-17,Haringey,1110,11
2020-09-16,Haringey,1099,11
2020-09-15,Haringey,1088,8
2020-09-14,Haringey,1080,9
2020-09-13,Haringey,1071,3
2020-09-12,Haringey,1068,6
2020-09-11,Haringey,1062,23
2020-09-10,Haringey,1039,11
2020-09-09,Haringey,1028,7
2020-09-08,Haringey,1021,11
2020-09-07,Haringey,1010,17
2020-09-06,Haringey,993,7
2020-09-05,Haringey,986,12
2020-09-04,Haringey,974,15
2020-09-03,Haringey,959,17
2020-09-02,Haringey,942,6
2020-09-01,Haringey,936,8
2020-08-31,Haringey,928,3
2020-08-30,Haringey,925,4
2020-08-29,Haringey,921,4
2020-08-28,Haringey,917,9
2020-08-27,Haringey,908,3
2020-08-26,Haringey,905,6
2020-08-25,Haringey,899,3
2020-08-24,Haringey,896,4
2020-08-23,Haringey,892,9
2020-08-22,Haringey,883,4
2020-08-21,Haringey,879,3
2020-08-20,Haringey,876,9
2020-08-19,Haringey,867,8
2020-08-18,Haringey,859,6
2020-08-17,Haringey,853,4
2020-08-16,Haringey,849,1
2020-08-15,Haringey,848,4
2020-08-14,Haringey,844,3
2020-08-13,Haringey,841,5
2020-08-12,Haringey,836,5
2020-08-11,Haringey,831,5
2020-08-10,Haringey,826,3
2020-08-09,Haringey,823,2
2020-08-08,Haringey,821,1
2020-08-07,Haringey,820,4
2020-08-06,Haringey,816,3
2020-08-05,Haringey,813,2
2020-08-04,Haringey,811,0
2020-08-03,Haringey,811,2
2020-08-02,Haringey,809,2
2020-08-01,Haringey,807,4
2020-07-31,Haringey,803,1
2020-07-30,Haringey,802,3
2020-07-29,Haringey,799,4
2020-07-28,Haringey,795,2
2020-07-27,Haringey,793,1
2020-07-26,Haringey,792,3
2020-07-25,Haringey,789,0
2020-07-24,Haringey,789,3
2020-07-23,Haringey,786,1
2020-07-22,Haringey,785,4
2020-07-21,Haringey,781,2
2020-07-20,Haringey,779,3
2020-07-19,Haringey,776,2
2020-07-18,Haringey,774,3
2020-07-17,Haringey,771,2
2020-07-16,Haringey,769,1
2020-07-15,Haringey,768,1
2020-07-14,Haringey,767,1
2020-07-13,Haringey,766,4
2020-07-12,Haringey,762,2
2020-07-11,Haringey,760,0
2020-07-10,Haringey,760,3
2020-07-09,Haringey,757,1
2020-07-08,Haringey,756,1
2020-07-07,Haringey,755,3
2020-07-06,Haringey,752,3
2020-07-05,Haringey,749,2
2020-07-04,Haringey,747,3
2020-07-03,Haringey,744,0
2020-07-02,Haringey,744,0
2020-07-01,Haringey,744,1
2020-06-30,Haringey,743,0
2020-06-29,Haringey,743,0
2020-06-28,Haringey,743,1
2020-06-27,Haringey,742,1
2020-06-26,Haringey,741,0
2020-06-25,Haringey,741,1
2020-06-24,Haringey,740,3
2020-06-23,Haringey,737,1
2020-06-22,Haringey,736,2
2020-06-21,Haringey,734,1
2020-06-20,Haringey,733,1
2020-06-19,Haringey,732,0
2020-06-18,Haringey,732,0
2020-06-17,Haringey,732,2
2020-06-16,Haringey,730,1
2020-06-15,Haringey,729,2
2020-06-14,Haringey,727,1
2020-06-13,Haringey,726,2
2020-06-12,Haringey,724,1
2020-06-11,Haringey,723,0
2020-06-10,Haringey,723,0
2020-06-09,Haringey,723,1
2020-06-08,Haringey,722,0
2020-06-07,Haringey,722,1
2020-06-06,Haringey,721,1
2020-06-05,Haringey,720,0
2020-06-04,Haringey,720,1
2020-06-03,Haringey,719,1
2020-06-02,Haringey,718,0
2020-06-01,Haringey,718,1
2020-05-31,Haringey,717,0
2020-05-30,Haringey,717,1
2020-05-29,Haringey,716,0
2020-05-28,Haringey,716,1
2020-05-27,Haringey,715,5
2020-05-26,Haringey,710,0
2020-05-25,Haringey,710,1
2020-05-24,Haringey,709,3
2020-05-23,Haringey,706,2
2020-05-22,Haringey,704,1
2020-05-21,Haringey,703,4
2020-05-20,Haringey,699,2
2020-05-19,Haringey,697,1
2020-05-18,Haringey,696,0
2020-05-17,Haringey,696,1
2020-05-16,Haringey,695,5
2020-05-15,Haringey,690,7
2020-05-14,Haringey,683,5
2020-05-13,Haringey,678,4
2020-05-12,Haringey,674,1
2020-05-11,Haringey,673,4
2020-05-10,Haringey,669,4
2020-05-09,Haringey,665,2
2020-05-08,Haringey,663,6
2020-05-07,Haringey,657,13
2020-05-06,Haringey,644,6
2020-05-05,Haringey,638,5
2020-05-04,Haringey,633,3
2020-05-03,Haringey,630,1
2020-05-02,Haringey,629,3
2020-05-01,Haringey,626,9
2020-04-30,Haringey,617,3
2020-04-29,Haringey,614,10
2020-04-28,Haringey,604,4
2020-04-27,Haringey,600,9
2020-04-26,Haringey,591,7
2020-04-25,Haringey,584,9
2020-04-24,Haringey,575,9
2020-04-23,Haringey,566,13
2020-04-22,Haringey,553,7
2020-04-21,Haringey,546,11
2020-04-20,Haringey,535,5
2020-04-19,Haringey,530,17
2020-04-18,Haringey,513,4
2020-04-17,Haringey,509,7
2020-04-16,Haringey,502,5
2020-04-15,Haringey,497,14
2020-04-14,Haringey,483,10
2020-04-13,Haringey,473,17
2020-04-12,Haringey,456,12
2020-04-11,Haringey,444,10
2020-04-10,Haringey,434,11
2020-04-09,Haringey,423,20
2020-04-08,Haringey,403,15
2020-04-07,Haringey,388,30
2020-04-06,Haringey,358,14
2020-04-05,Haringey,344,9
2020-04-04,Haringey,335,17
2020-04-03,Haringey,318,27
2020-04-02,Haringey,291,28
2020-04-01,Haringey,263,23
2020-03-31,Haringey,240,18
2020-03-30,Haringey,222,20
2020-03-29,Haringey,202,16
2020-03-28,Haringey,186,16
2020-03-27,Haringey,170,19
2020-03-26,Haringey,151,10
2020-03-25,Haringey,141,13
2020-03-24,Haringey,128,19
2020-03-23,Haringey,109,15
2020-03-22,Haringey,94,11
2020-03-21,Haringey,83,11
2020-03-20,Haringey,72,11
2020-03-19,Haringey,61,10
2020-03-18,Haringey,51,13
2020-03-17,Haringey,38,4
2020-03-16,Haringey,34,2
2020-03-15,Haringey,32,4
2020-03-14,Haringey,28,1
2020-03-13,Haringey,27,8
2020-03-12,Haringey,19,7
2020-03-11,Haringey,12,6
2020-03-10,Haringey,6,3
2020-03-09,Haringey,3,2
2020-03-08,Haringey,1,1
