date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Harrow,20724,0
2021-04-18,Harrow,20724,4
2021-04-17,Harrow,20720,2
2021-04-16,Harrow,20718,19
2021-04-15,Harrow,20699,11
2021-04-14,Harrow,20688,10
2021-04-13,Harrow,20678,13
2021-04-12,Harrow,20665,5
2021-04-11,Harrow,20660,11
2021-04-10,Harrow,20649,7
2021-04-09,Harrow,20642,37
2021-04-08,Harrow,20605,14
2021-04-07,Harrow,20591,13
2021-04-06,Harrow,20578,14
2021-04-05,Harrow,20564,11
2021-04-04,Harrow,20553,13
2021-04-03,Harrow,20540,7
2021-04-02,Harrow,20533,6
2021-04-01,Harrow,20527,16
2021-03-31,Harrow,20511,15
2021-03-30,Harrow,20496,10
2021-03-29,Harrow,20486,24
2021-03-28,Harrow,20462,16
2021-03-27,Harrow,20446,9
2021-03-26,Harrow,20437,22
2021-03-25,Harrow,20415,23
2021-03-24,Harrow,20392,35
2021-03-23,Harrow,20357,21
2021-03-22,Harrow,20336,20
2021-03-21,Harrow,20316,10
2021-03-20,Harrow,20306,14
2021-03-19,Harrow,20292,11
2021-03-18,Harrow,20281,17
2021-03-17,Harrow,20264,15
2021-03-16,Harrow,20249,23
2021-03-15,Harrow,20226,25
2021-03-14,Harrow,20201,17
2021-03-13,Harrow,20184,20
2021-03-12,Harrow,20164,20
2021-03-11,Harrow,20144,22
2021-03-10,Harrow,20122,21
2021-03-09,Harrow,20101,24
2021-03-08,Harrow,20077,29
2021-03-07,Harrow,20048,13
2021-03-06,Harrow,20035,12
2021-03-05,Harrow,20023,29
2021-03-04,Harrow,19994,31
2021-03-03,Harrow,19963,26
2021-03-02,Harrow,19937,20
2021-03-01,Harrow,19917,27
2021-02-28,Harrow,19890,9
2021-02-27,Harrow,19881,11
2021-02-26,Harrow,19870,25
2021-02-25,Harrow,19845,29
2021-02-24,Harrow,19816,25
2021-02-23,Harrow,19791,36
2021-02-22,Harrow,19755,37
2021-02-21,Harrow,19718,35
2021-02-20,Harrow,19683,34
2021-02-19,Harrow,19649,43
2021-02-18,Harrow,19606,41
2021-02-17,Harrow,19565,39
2021-02-16,Harrow,19526,46
2021-02-15,Harrow,19480,48
2021-02-14,Harrow,19432,33
2021-02-13,Harrow,19399,24
2021-02-12,Harrow,19375,46
2021-02-11,Harrow,19329,46
2021-02-10,Harrow,19283,56
2021-02-09,Harrow,19227,55
2021-02-08,Harrow,19172,66
2021-02-07,Harrow,19106,45
2021-02-06,Harrow,19061,51
2021-02-05,Harrow,19010,68
2021-02-04,Harrow,18942,87
2021-02-03,Harrow,18855,87
2021-02-02,Harrow,18768,93
2021-02-01,Harrow,18675,120
2021-01-31,Harrow,18555,72
2021-01-30,Harrow,18483,79
2021-01-29,Harrow,18404,119
2021-01-28,Harrow,18285,151
2021-01-27,Harrow,18134,150
2021-01-26,Harrow,17984,128
2021-01-25,Harrow,17856,167
2021-01-24,Harrow,17689,91
2021-01-23,Harrow,17598,156
2021-01-22,Harrow,17442,170
2021-01-21,Harrow,17272,196
2021-01-20,Harrow,17076,214
2021-01-19,Harrow,16862,199
2021-01-18,Harrow,16663,245
2021-01-17,Harrow,16418,178
2021-01-16,Harrow,16240,190
2021-01-15,Harrow,16050,234
2021-01-14,Harrow,15816,247
2021-01-13,Harrow,15569,253
2021-01-12,Harrow,15316,272
2021-01-11,Harrow,15044,311
2021-01-10,Harrow,14733,186
2021-01-09,Harrow,14547,268
2021-01-08,Harrow,14279,311
2021-01-07,Harrow,13968,316
2021-01-06,Harrow,13652,362
2021-01-05,Harrow,13290,395
2021-01-04,Harrow,12895,420
2021-01-03,Harrow,12475,348
2021-01-02,Harrow,12127,340
2021-01-01,Harrow,11787,157
2020-12-31,Harrow,11630,310
2020-12-30,Harrow,11320,447
2020-12-29,Harrow,10873,449
2020-12-28,Harrow,10424,284
2020-12-27,Harrow,10140,378
2020-12-26,Harrow,9762,357
2020-12-25,Harrow,9405,142
2020-12-24,Harrow,9263,319
2020-12-23,Harrow,8944,301
2020-12-22,Harrow,8643,345
2020-12-21,Harrow,8298,318
2020-12-20,Harrow,7980,224
2020-12-19,Harrow,7756,186
2020-12-18,Harrow,7570,221
2020-12-17,Harrow,7349,271
2020-12-16,Harrow,7078,215
2020-12-15,Harrow,6863,220
2020-12-14,Harrow,6643,219
2020-12-13,Harrow,6424,178
2020-12-12,Harrow,6246,131
2020-12-11,Harrow,6115,179
2020-12-10,Harrow,5936,134
2020-12-09,Harrow,5802,107
2020-12-08,Harrow,5695,111
2020-12-07,Harrow,5584,100
2020-12-06,Harrow,5484,70
2020-12-05,Harrow,5414,60
