date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Havering,26843,1
2021-04-18,Havering,26842,7
2021-04-17,Havering,26835,3
2021-04-16,Havering,26832,4
2021-04-15,Havering,26828,5
2021-04-14,Havering,26823,3
2021-04-13,Havering,26820,6
2021-04-12,Havering,26814,9
2021-04-11,Havering,26805,5
2021-04-10,Havering,26800,3
2021-04-09,Havering,26797,7
2021-04-08,Havering,26790,7
2021-04-07,Havering,26783,4
2021-04-06,Havering,26779,5
2021-04-05,Havering,26774,6
2021-04-04,Havering,26768,2
2021-04-03,Havering,26766,6
2021-04-02,Havering,26760,11
2021-04-01,Havering,26749,10
2021-03-31,Havering,26739,6
2021-03-30,Havering,26733,8
2021-03-29,Havering,26725,11
2021-03-28,Havering,26714,11
2021-03-27,Havering,26703,7
2021-03-26,Havering,26696,15
2021-03-25,Havering,26681,15
2021-03-24,Havering,26666,11
2021-03-23,Havering,26655,8
2021-03-22,Havering,26647,17
2021-03-21,Havering,26630,8
2021-03-20,Havering,26622,9
2021-03-19,Havering,26613,12
2021-03-18,Havering,26601,9
2021-03-17,Havering,26592,13
2021-03-16,Havering,26579,12
2021-03-15,Havering,26567,18
2021-03-14,Havering,26549,15
2021-03-13,Havering,26534,12
2021-03-12,Havering,26522,9
2021-03-11,Havering,26513,15
2021-03-10,Havering,26498,22
2021-03-09,Havering,26476,28
2021-03-08,Havering,26448,11
2021-03-07,Havering,26437,9
2021-03-06,Havering,26428,8
2021-03-05,Havering,26420,13
2021-03-04,Havering,26407,14
2021-03-03,Havering,26393,10
2021-03-02,Havering,26383,15
2021-03-01,Havering,26368,11
2021-02-28,Havering,26357,23
2021-02-27,Havering,26334,8
2021-02-26,Havering,26326,15
2021-02-25,Havering,26311,24
2021-02-24,Havering,26287,14
2021-02-23,Havering,26273,36
2021-02-22,Havering,26237,31
2021-02-21,Havering,26206,17
2021-02-20,Havering,26189,20
2021-02-19,Havering,26169,24
2021-02-18,Havering,26145,37
2021-02-17,Havering,26108,28
2021-02-16,Havering,26080,36
2021-02-15,Havering,26044,47
2021-02-14,Havering,25997,28
2021-02-13,Havering,25969,29
2021-02-12,Havering,25940,32
2021-02-11,Havering,25908,38
2021-02-10,Havering,25870,32
2021-02-09,Havering,25838,56
2021-02-08,Havering,25782,46
2021-02-07,Havering,25736,56
2021-02-06,Havering,25680,42
2021-02-05,Havering,25638,83
2021-02-04,Havering,25555,88
2021-02-03,Havering,25467,67
2021-02-02,Havering,25400,69
2021-02-01,Havering,25331,82
2021-01-31,Havering,25249,70
2021-01-30,Havering,25179,77
2021-01-29,Havering,25102,74
2021-01-28,Havering,25028,95
2021-01-27,Havering,24933,115
2021-01-26,Havering,24818,101
2021-01-25,Havering,24717,138
2021-01-24,Havering,24579,105
2021-01-23,Havering,24474,121
2021-01-22,Havering,24353,129
