date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Hillingdon,26443,4
2021-04-18,Hillingdon,26439,15
2021-04-17,Hillingdon,26424,14
2021-04-16,Hillingdon,26410,15
2021-04-15,Hillingdon,26395,14
2021-04-14,Hillingdon,26381,11
2021-04-13,Hillingdon,26370,18
2021-04-12,Hillingdon,26352,26
2021-04-11,Hillingdon,26326,17
2021-04-10,Hillingdon,26309,18
2021-04-09,Hillingdon,26291,18
2021-04-08,Hillingdon,26273,15
2021-04-07,Hillingdon,26258,23
2021-04-06,Hillingdon,26235,25
2021-04-05,Hillingdon,26210,13
2021-04-04,Hillingdon,26197,21
2021-04-03,Hillingdon,26176,19
2021-04-02,Hillingdon,26157,10
2021-04-01,Hillingdon,26147,22
2021-03-31,Hillingdon,26125,18
2021-03-30,Hillingdon,26107,24
2021-03-29,Hillingdon,26083,15
2021-03-28,Hillingdon,26068,22
2021-03-27,Hillingdon,26046,16
2021-03-26,Hillingdon,26030,18
2021-03-25,Hillingdon,26012,25
2021-03-24,Hillingdon,25987,35
2021-03-23,Hillingdon,25952,23
2021-03-22,Hillingdon,25929,34
2021-03-21,Hillingdon,25895,24
2021-03-20,Hillingdon,25871,22
2021-03-19,Hillingdon,25849,17
2021-03-18,Hillingdon,25832,26
2021-03-17,Hillingdon,25806,27
2021-03-16,Hillingdon,25779,32
2021-03-15,Hillingdon,25747,41
2021-03-14,Hillingdon,25706,27
2021-03-13,Hillingdon,25679,31
2021-03-12,Hillingdon,25648,40
2021-03-11,Hillingdon,25608,32
2021-03-10,Hillingdon,25576,41
2021-03-09,Hillingdon,25535,36
2021-03-08,Hillingdon,25499,30
2021-03-07,Hillingdon,25469,29
2021-03-06,Hillingdon,25440,32
2021-03-05,Hillingdon,25408,30
2021-03-04,Hillingdon,25378,26
2021-03-03,Hillingdon,25352,35
2021-03-02,Hillingdon,25317,37
2021-03-01,Hillingdon,25280,26
2021-02-28,Hillingdon,25254,22
2021-02-27,Hillingdon,25232,35
2021-02-26,Hillingdon,25197,29
2021-02-25,Hillingdon,25168,41
2021-02-24,Hillingdon,25127,45
2021-02-23,Hillingdon,25082,47
2021-02-22,Hillingdon,25035,42
2021-02-21,Hillingdon,24993,42
2021-02-20,Hillingdon,24951,33
2021-02-19,Hillingdon,24918,47
2021-02-18,Hillingdon,24871,51
2021-02-17,Hillingdon,24820,62
2021-02-16,Hillingdon,24758,103
2021-02-15,Hillingdon,24655,60
2021-02-14,Hillingdon,24595,48
2021-02-13,Hillingdon,24547,47
2021-02-12,Hillingdon,24500,68
2021-02-11,Hillingdon,24432,68
2021-02-10,Hillingdon,24364,85
2021-02-09,Hillingdon,24279,103
2021-02-08,Hillingdon,24176,79
2021-02-07,Hillingdon,24097,52
2021-02-06,Hillingdon,24045,73
2021-02-05,Hillingdon,23972,108
2021-02-04,Hillingdon,23864,136
2021-02-03,Hillingdon,23728,141
2021-02-02,Hillingdon,23587,157
2021-02-01,Hillingdon,23430,172
2021-01-31,Hillingdon,23258,96
2021-01-30,Hillingdon,23162,103
2021-01-29,Hillingdon,23059,171
2021-01-28,Hillingdon,22888,187
2021-01-27,Hillingdon,22701,192
2021-01-26,Hillingdon,22509,177
2021-01-25,Hillingdon,22332,235
2021-01-24,Hillingdon,22097,165
2021-01-23,Hillingdon,21932,168
2021-01-22,Hillingdon,21764,281
2021-01-21,Hillingdon,21483,232
2021-01-20,Hillingdon,21251,238
2021-01-19,Hillingdon,21013,263
2021-01-18,Hillingdon,20750,303
2021-01-17,Hillingdon,20447,237
2021-01-16,Hillingdon,20210,242
2021-01-15,Hillingdon,19968,294
2021-01-14,Hillingdon,19674,325
2021-01-13,Hillingdon,19349,341
2021-01-12,Hillingdon,19008,350
2021-01-11,Hillingdon,18658,406
2021-01-10,Hillingdon,18252,261
2021-01-09,Hillingdon,17991,285
2021-01-08,Hillingdon,17706,369
2021-01-07,Hillingdon,17337,453
2021-01-06,Hillingdon,16884,455
2021-01-05,Hillingdon,16429,537
2021-01-04,Hillingdon,15892,569
2021-01-03,Hillingdon,15323,456
2021-01-02,Hillingdon,14867,500
2021-01-01,Hillingdon,14367,236
2020-12-31,Hillingdon,14131,306
2020-12-30,Hillingdon,13825,625
2020-12-29,Hillingdon,13200,660
2020-12-28,Hillingdon,12540,312
2020-12-27,Hillingdon,12228,434
2020-12-26,Hillingdon,11794,383
2020-12-25,Hillingdon,11411,177
2020-12-24,Hillingdon,11234,411
2020-12-23,Hillingdon,10823,368
2020-12-22,Hillingdon,10455,440
2020-12-21,Hillingdon,10015,439
2020-12-20,Hillingdon,9576,321
2020-12-19,Hillingdon,9255,166
2020-12-18,Hillingdon,9089,306
2020-12-17,Hillingdon,8783,282
2020-12-16,Hillingdon,8501,299
2020-12-15,Hillingdon,8202,235
2020-12-14,Hillingdon,7967,247
2020-12-13,Hillingdon,7720,161
2020-12-12,Hillingdon,7559,132
2020-12-11,Hillingdon,7427,156
2020-12-10,Hillingdon,7271,138
2020-12-09,Hillingdon,7133,90
2020-12-08,Hillingdon,7043,117
2020-12-07,Hillingdon,6926,115
2020-12-06,Hillingdon,6811,70
2020-12-05,Hillingdon,6741,78
2020-12-04,Hillingdon,6663,90
2020-12-03,Hillingdon,6573,76
2020-12-02,Hillingdon,6497,94
2020-12-01,Hillingdon,6403,98
2020-11-30,Hillingdon,6305,76
2020-11-29,Hillingdon,6229,66
2020-11-28,Hillingdon,6163,50
2020-11-27,Hillingdon,6113,66
2020-11-26,Hillingdon,6047,64
2020-11-25,Hillingdon,5983,70
2020-11-24,Hillingdon,5913,84
2020-11-23,Hillingdon,5829,86
2020-11-22,Hillingdon,5743,63
2020-11-21,Hillingdon,5680,52
2020-11-20,Hillingdon,5628,81
2020-11-19,Hillingdon,5547,76
2020-11-18,Hillingdon,5471,88
2020-11-17,Hillingdon,5383,97
2020-11-16,Hillingdon,5286,103
2020-11-15,Hillingdon,5183,93
2020-11-14,Hillingdon,5090,61
2020-11-13,Hillingdon,5029,119
2020-11-12,Hillingdon,4910,125
2020-11-11,Hillingdon,4785,99
2020-11-10,Hillingdon,4686,134
2020-11-09,Hillingdon,4552,117
2020-11-08,Hillingdon,4435,74
2020-11-07,Hillingdon,4361,85
2020-11-06,Hillingdon,4276,78
