date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Hounslow,24777,3
2021-04-18,Hounslow,24774,16
2021-04-17,Hounslow,24758,8
2021-04-16,Hounslow,24750,19
2021-04-15,Hounslow,24731,8
2021-04-14,Hounslow,24723,15
2021-04-13,Hounslow,24708,13
2021-04-12,Hounslow,24695,19
2021-04-11,Hounslow,24676,4
2021-04-10,Hounslow,24672,18
2021-04-09,Hounslow,24654,14
2021-04-08,Hounslow,24640,24
2021-04-07,Hounslow,24616,5
2021-04-06,Hounslow,24611,27
2021-04-05,Hounslow,24584,17
2021-04-04,Hounslow,24567,10
2021-04-03,Hounslow,24557,12
2021-04-02,Hounslow,24545,10
2021-04-01,Hounslow,24535,16
2021-03-31,Hounslow,24519,15
2021-03-30,Hounslow,24504,11
2021-03-29,Hounslow,24493,24
2021-03-28,Hounslow,24469,15
2021-03-27,Hounslow,24454,11
2021-03-26,Hounslow,24443,17
2021-03-25,Hounslow,24426,18
2021-03-24,Hounslow,24408,31
2021-03-23,Hounslow,24377,30
2021-03-22,Hounslow,24347,31
2021-03-21,Hounslow,24316,24
2021-03-20,Hounslow,24292,26
2021-03-19,Hounslow,24266,19
2021-03-18,Hounslow,24247,31
2021-03-17,Hounslow,24216,19
2021-03-16,Hounslow,24197,22
2021-03-15,Hounslow,24175,24
2021-03-14,Hounslow,24151,23
2021-03-13,Hounslow,24128,21
2021-03-12,Hounslow,24107,27
2021-03-11,Hounslow,24080,21
2021-03-10,Hounslow,24059,18
2021-03-09,Hounslow,24041,28
2021-03-08,Hounslow,24013,24
2021-03-07,Hounslow,23989,20
2021-03-06,Hounslow,23969,23
2021-03-05,Hounslow,23946,23
2021-03-04,Hounslow,23923,30
2021-03-03,Hounslow,23893,33
2021-03-02,Hounslow,23860,32
2021-03-01,Hounslow,23828,24
2021-02-28,Hounslow,23804,26
2021-02-27,Hounslow,23778,25
2021-02-26,Hounslow,23753,31
2021-02-25,Hounslow,23722,29
2021-02-24,Hounslow,23693,37
2021-02-23,Hounslow,23656,44
2021-02-22,Hounslow,23612,51
2021-02-21,Hounslow,23561,49
2021-02-20,Hounslow,23512,51
2021-02-19,Hounslow,23461,54
2021-02-18,Hounslow,23407,61
2021-02-17,Hounslow,23346,57
2021-02-16,Hounslow,23289,57
2021-02-15,Hounslow,23232,92
2021-02-14,Hounslow,23140,50
2021-02-13,Hounslow,23090,38
2021-02-12,Hounslow,23052,60
2021-02-11,Hounslow,22992,60
2021-02-10,Hounslow,22932,67
2021-02-09,Hounslow,22865,82
2021-02-08,Hounslow,22783,87
2021-02-07,Hounslow,22696,74
2021-02-06,Hounslow,22622,82
2021-02-05,Hounslow,22540,90
2021-02-04,Hounslow,22450,111
2021-02-03,Hounslow,22339,135
2021-02-02,Hounslow,22204,137
2021-02-01,Hounslow,22067,165
2021-01-31,Hounslow,21902,126
2021-01-30,Hounslow,21776,143
2021-01-29,Hounslow,21633,168
2021-01-28,Hounslow,21465,179
2021-01-27,Hounslow,21286,151
2021-01-26,Hounslow,21135,178
2021-01-25,Hounslow,20957,218
2021-01-24,Hounslow,20739,115
2021-01-23,Hounslow,20624,179
2021-01-22,Hounslow,20445,199
2021-01-21,Hounslow,20246,252
2021-01-20,Hounslow,19994,259
2021-01-19,Hounslow,19735,319
2021-01-18,Hounslow,19416,312
2021-01-17,Hounslow,19104,253
2021-01-16,Hounslow,18851,271
2021-01-15,Hounslow,18580,333
2021-01-14,Hounslow,18247,391
2021-01-13,Hounslow,17856,379
2021-01-12,Hounslow,17477,381
2021-01-11,Hounslow,17096,452
2021-01-10,Hounslow,16644,330
2021-01-09,Hounslow,16314,276
2021-01-08,Hounslow,16038,366
2021-01-07,Hounslow,15672,397
2021-01-06,Hounslow,15275,460
2021-01-05,Hounslow,14815,517
2021-01-04,Hounslow,14298,531
2021-01-03,Hounslow,13767,472
2021-01-02,Hounslow,13295,467
2021-01-01,Hounslow,12828,279
2020-12-31,Hounslow,12549,395
2020-12-30,Hounslow,12154,596
2020-12-29,Hounslow,11558,571
2020-12-28,Hounslow,10987,324
2020-12-27,Hounslow,10663,389
2020-12-26,Hounslow,10274,417
2020-12-25,Hounslow,9857,153
2020-12-24,Hounslow,9704,349
2020-12-23,Hounslow,9355,275
2020-12-22,Hounslow,9080,396
2020-12-21,Hounslow,8684,342
2020-12-20,Hounslow,8342,257
2020-12-19,Hounslow,8085,162
2020-12-18,Hounslow,7923,271
2020-12-17,Hounslow,7652,245
2020-12-16,Hounslow,7407,276
2020-12-15,Hounslow,7131,175
2020-12-14,Hounslow,6956,191
2020-12-13,Hounslow,6765,99
2020-12-12,Hounslow,6666,110
2020-12-11,Hounslow,6556,147
2020-12-10,Hounslow,6409,119
2020-12-09,Hounslow,6290,126
2020-12-08,Hounslow,6164,89
2020-12-07,Hounslow,6075,86
2020-12-06,Hounslow,5989,68
2020-12-05,Hounslow,5921,49
2020-12-04,Hounslow,5872,70
2020-12-03,Hounslow,5802,56
2020-12-02,Hounslow,5746,90
2020-12-01,Hounslow,5656,52
2020-11-30,Hounslow,5604,65
2020-11-29,Hounslow,5539,37
2020-11-28,Hounslow,5502,52
2020-11-27,Hounslow,5450,53
2020-11-26,Hounslow,5397,73
2020-11-25,Hounslow,5324,73
2020-11-24,Hounslow,5251,83
2020-11-23,Hounslow,5168,77
2020-11-22,Hounslow,5091,48
2020-11-21,Hounslow,5043,47
2020-11-20,Hounslow,4996,64
2020-11-19,Hounslow,4932,75
2020-11-18,Hounslow,4857,86
2020-11-17,Hounslow,4771,91
2020-11-16,Hounslow,4680,120
2020-11-15,Hounslow,4560,61
2020-11-14,Hounslow,4499,55
2020-11-13,Hounslow,4444,74
2020-11-12,Hounslow,4370,98
2020-11-11,Hounslow,4272,69
2020-11-10,Hounslow,4203,78
2020-11-09,Hounslow,4125,85
2020-11-08,Hounslow,4040,71
2020-11-07,Hounslow,3969,67
2020-11-06,Hounslow,3902,56
2020-11-05,Hounslow,3846,81
2020-11-04,Hounslow,3765,63
2020-11-03,Hounslow,3702,76
2020-11-02,Hounslow,3626,85
2020-11-01,Hounslow,3541,39
2020-10-31,Hounslow,3502,39
2020-10-30,Hounslow,3463,70
2020-10-29,Hounslow,3393,84
2020-10-28,Hounslow,3309,81
2020-10-27,Hounslow,3228,60
