date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Islington,14959,0
2021-04-18,Islington,14959,3
2021-04-17,Islington,14956,1
2021-04-16,Islington,14955,3
2021-04-15,Islington,14952,6
2021-04-14,Islington,14946,5
2021-04-13,Islington,14941,8
2021-04-12,Islington,14933,5
2021-04-11,Islington,14928,6
2021-04-10,Islington,14922,6
2021-04-09,Islington,14916,6
2021-04-08,Islington,14910,7
2021-04-07,Islington,14903,8
2021-04-06,Islington,14895,8
2021-04-05,Islington,14887,5
2021-04-04,Islington,14882,5
2021-04-03,Islington,14877,7
2021-04-02,Islington,14870,6
2021-04-01,Islington,14864,3
2021-03-31,Islington,14861,2
2021-03-30,Islington,14859,14
2021-03-29,Islington,14845,7
2021-03-28,Islington,14838,12
2021-03-27,Islington,14826,5
2021-03-26,Islington,14821,9
2021-03-25,Islington,14812,9
2021-03-24,Islington,14803,14
2021-03-23,Islington,14789,8
2021-03-22,Islington,14781,10
2021-03-21,Islington,14771,8
2021-03-20,Islington,14763,8
2021-03-19,Islington,14755,5
2021-03-18,Islington,14750,19
2021-03-17,Islington,14731,18
2021-03-16,Islington,14713,17
2021-03-15,Islington,14696,20
2021-03-14,Islington,14676,3
2021-03-13,Islington,14673,12
2021-03-12,Islington,14661,7
2021-03-11,Islington,14654,6
2021-03-10,Islington,14648,10
2021-03-09,Islington,14638,17
2021-03-08,Islington,14621,6
2021-03-07,Islington,14615,4
2021-03-06,Islington,14611,7
2021-03-05,Islington,14604,7
2021-03-04,Islington,14597,16
2021-03-03,Islington,14581,5
2021-03-02,Islington,14576,12
2021-03-01,Islington,14564,8
2021-02-28,Islington,14556,13
2021-02-27,Islington,14543,9
2021-02-26,Islington,14534,10
2021-02-25,Islington,14524,7
2021-02-24,Islington,14517,9
2021-02-23,Islington,14508,9
2021-02-22,Islington,14499,25
2021-02-21,Islington,14474,23
2021-02-20,Islington,14451,13
2021-02-19,Islington,14438,20
2021-02-18,Islington,14418,14
2021-02-17,Islington,14404,13
2021-02-16,Islington,14391,12
2021-02-15,Islington,14379,14
2021-02-14,Islington,14365,9
2021-02-13,Islington,14356,11
2021-02-12,Islington,14345,20
2021-02-11,Islington,14325,28
2021-02-10,Islington,14297,26
2021-02-09,Islington,14271,23
2021-02-08,Islington,14248,34
2021-02-07,Islington,14214,20
2021-02-06,Islington,14194,34
2021-02-05,Islington,14160,47
2021-02-04,Islington,14113,27
2021-02-03,Islington,14086,54
2021-02-02,Islington,14032,47
2021-02-01,Islington,13985,61
2021-01-31,Islington,13924,34
2021-01-30,Islington,13890,47
2021-01-29,Islington,13843,57
2021-01-28,Islington,13786,77
2021-01-27,Islington,13709,79
2021-01-26,Islington,13630,91
2021-01-25,Islington,13539,111
2021-01-24,Islington,13428,63
2021-01-23,Islington,13365,86
2021-01-22,Islington,13279,100
2021-01-21,Islington,13179,109
2021-01-20,Islington,13070,137
2021-01-19,Islington,12933,105
2021-01-18,Islington,12828,159
2021-01-17,Islington,12669,96
2021-01-16,Islington,12573,98
2021-01-15,Islington,12475,217
2021-01-14,Islington,12258,180
2021-01-13,Islington,12078,170
2021-01-12,Islington,11908,222
2021-01-11,Islington,11686,268
2021-01-10,Islington,11418,135
2021-01-09,Islington,11283,172
2021-01-08,Islington,11111,218
2021-01-07,Islington,10893,220
2021-01-06,Islington,10673,318
2021-01-05,Islington,10355,314
2021-01-04,Islington,10041,370
2021-01-03,Islington,9671,325
2021-01-02,Islington,9346,256
2021-01-01,Islington,9090,144
2020-12-31,Islington,8946,244
2020-12-30,Islington,8702,382
2020-12-29,Islington,8320,399
2020-12-28,Islington,7921,200
2020-12-27,Islington,7721,281
2020-12-26,Islington,7440,277
2020-12-25,Islington,7163,86
2020-12-24,Islington,7077,153
2020-12-23,Islington,6924,269
2020-12-22,Islington,6655,313
