date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Kensington and Chelsea,8964,3
2021-04-18,Kensington and Chelsea,8961,3
2021-04-17,Kensington and Chelsea,8958,3
2021-04-16,Kensington and Chelsea,8955,9
2021-04-15,Kensington and Chelsea,8946,7
2021-04-14,Kensington and Chelsea,8939,7
2021-04-13,Kensington and Chelsea,8932,6
2021-04-12,Kensington and Chelsea,8926,11
2021-04-11,Kensington and Chelsea,8915,7
2021-04-10,Kensington and Chelsea,8908,3
2021-04-09,Kensington and Chelsea,8905,6
2021-04-08,Kensington and Chelsea,8899,6
2021-04-07,Kensington and Chelsea,8893,8
2021-04-06,Kensington and Chelsea,8885,8
2021-04-05,Kensington and Chelsea,8877,7
2021-04-04,Kensington and Chelsea,8870,7
2021-04-03,Kensington and Chelsea,8863,1
2021-04-02,Kensington and Chelsea,8862,7
2021-04-01,Kensington and Chelsea,8855,9
2021-03-31,Kensington and Chelsea,8846,9
2021-03-30,Kensington and Chelsea,8837,14
2021-03-29,Kensington and Chelsea,8823,7
2021-03-28,Kensington and Chelsea,8816,11
2021-03-27,Kensington and Chelsea,8805,6
2021-03-26,Kensington and Chelsea,8799,15
2021-03-25,Kensington and Chelsea,8784,5
2021-03-24,Kensington and Chelsea,8779,9
2021-03-23,Kensington and Chelsea,8770,8
2021-03-22,Kensington and Chelsea,8762,7
2021-03-21,Kensington and Chelsea,8755,7
2021-03-20,Kensington and Chelsea,8748,7
2021-03-19,Kensington and Chelsea,8741,6
2021-03-18,Kensington and Chelsea,8735,8
2021-03-17,Kensington and Chelsea,8727,3
2021-03-16,Kensington and Chelsea,8724,8
2021-03-15,Kensington and Chelsea,8716,6
2021-03-14,Kensington and Chelsea,8710,4
2021-03-13,Kensington and Chelsea,8706,4
2021-03-12,Kensington and Chelsea,8702,7
2021-03-11,Kensington and Chelsea,8695,4
2021-03-10,Kensington and Chelsea,8691,10
2021-03-09,Kensington and Chelsea,8681,7
2021-03-08,Kensington and Chelsea,8674,8
2021-03-07,Kensington and Chelsea,8666,2
2021-03-06,Kensington and Chelsea,8664,3
2021-03-05,Kensington and Chelsea,8661,7
2021-03-04,Kensington and Chelsea,8654,2
2021-03-03,Kensington and Chelsea,8652,7
