date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Kingston upon Thames,12219,4
2021-04-18,Kingston upon Thames,12215,8
2021-04-17,Kingston upon Thames,12207,0
2021-04-16,Kingston upon Thames,12207,4
2021-04-15,Kingston upon Thames,12203,4
2021-04-14,Kingston upon Thames,12199,4
2021-04-13,Kingston upon Thames,12195,4
2021-04-12,Kingston upon Thames,12191,3
2021-04-11,Kingston upon Thames,12188,9
2021-04-10,Kingston upon Thames,12179,14
2021-04-09,Kingston upon Thames,12165,5
2021-04-08,Kingston upon Thames,12160,4
2021-04-07,Kingston upon Thames,12156,13
2021-04-06,Kingston upon Thames,12143,7
2021-04-05,Kingston upon Thames,12136,4
2021-04-04,Kingston upon Thames,12132,7
2021-04-03,Kingston upon Thames,12125,6
2021-04-02,Kingston upon Thames,12119,7
2021-04-01,Kingston upon Thames,12112,8
2021-03-31,Kingston upon Thames,12104,7
2021-03-30,Kingston upon Thames,12097,10
2021-03-29,Kingston upon Thames,12087,7
2021-03-28,Kingston upon Thames,12080,14
2021-03-27,Kingston upon Thames,12066,7
2021-03-26,Kingston upon Thames,12059,7
2021-03-25,Kingston upon Thames,12052,14
2021-03-24,Kingston upon Thames,12038,3
2021-03-23,Kingston upon Thames,12035,11
2021-03-22,Kingston upon Thames,12024,13
2021-03-21,Kingston upon Thames,12011,11
2021-03-20,Kingston upon Thames,12000,9
2021-03-19,Kingston upon Thames,11991,5
2021-03-18,Kingston upon Thames,11986,10
2021-03-17,Kingston upon Thames,11976,15
2021-03-16,Kingston upon Thames,11961,16
2021-03-15,Kingston upon Thames,11945,15
2021-03-14,Kingston upon Thames,11930,8
2021-03-13,Kingston upon Thames,11922,8
2021-03-12,Kingston upon Thames,11914,10
2021-03-11,Kingston upon Thames,11904,19
2021-03-10,Kingston upon Thames,11885,11
2021-03-09,Kingston upon Thames,11874,16
2021-03-08,Kingston upon Thames,11858,18
2021-03-07,Kingston upon Thames,11840,10
2021-03-06,Kingston upon Thames,11830,14
2021-03-05,Kingston upon Thames,11816,19
2021-03-04,Kingston upon Thames,11797,10
2021-03-03,Kingston upon Thames,11787,11
2021-03-02,Kingston upon Thames,11776,10
2021-03-01,Kingston upon Thames,11766,14
2021-02-28,Kingston upon Thames,11752,9
2021-02-27,Kingston upon Thames,11743,4
2021-02-26,Kingston upon Thames,11739,7
2021-02-25,Kingston upon Thames,11732,12
2021-02-24,Kingston upon Thames,11720,8
2021-02-23,Kingston upon Thames,11712,17
2021-02-22,Kingston upon Thames,11695,11
2021-02-21,Kingston upon Thames,11684,8
2021-02-20,Kingston upon Thames,11676,7
2021-02-19,Kingston upon Thames,11669,21
2021-02-18,Kingston upon Thames,11648,19
2021-02-17,Kingston upon Thames,11629,22
2021-02-16,Kingston upon Thames,11607,22
2021-02-15,Kingston upon Thames,11585,33
2021-02-14,Kingston upon Thames,11552,21
2021-02-13,Kingston upon Thames,11531,24
2021-02-12,Kingston upon Thames,11507,36
2021-02-11,Kingston upon Thames,11471,28
2021-02-10,Kingston upon Thames,11443,26
2021-02-09,Kingston upon Thames,11417,35
2021-02-08,Kingston upon Thames,11382,32
2021-02-07,Kingston upon Thames,11350,27
2021-02-06,Kingston upon Thames,11323,26
2021-02-05,Kingston upon Thames,11297,49
2021-02-04,Kingston upon Thames,11248,61
