date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Lambeth,24180,7
2021-04-18,Lambeth,24173,10
2021-04-17,Lambeth,24163,7
2021-04-16,Lambeth,24156,5
2021-04-15,Lambeth,24151,11
2021-04-14,Lambeth,24140,6
2021-04-13,Lambeth,24134,12
2021-04-12,Lambeth,24122,6
2021-04-11,Lambeth,24116,7
2021-04-10,Lambeth,24109,5
2021-04-09,Lambeth,24104,8
2021-04-08,Lambeth,24096,7
2021-04-07,Lambeth,24089,12
2021-04-06,Lambeth,24077,2
2021-04-05,Lambeth,24075,2
2021-04-04,Lambeth,24073,5
2021-04-03,Lambeth,24068,2
2021-04-02,Lambeth,24066,3
2021-04-01,Lambeth,24063,10
2021-03-31,Lambeth,24053,6
2021-03-30,Lambeth,24047,11
2021-03-29,Lambeth,24036,10
2021-03-28,Lambeth,24026,11
2021-03-27,Lambeth,24015,5
2021-03-26,Lambeth,24010,7
2021-03-25,Lambeth,24003,14
2021-03-24,Lambeth,23989,16
2021-03-23,Lambeth,23973,13
2021-03-22,Lambeth,23960,20
2021-03-21,Lambeth,23940,15
2021-03-20,Lambeth,23925,9
2021-03-19,Lambeth,23916,13
2021-03-18,Lambeth,23903,15
2021-03-17,Lambeth,23888,9
2021-03-16,Lambeth,23879,12
2021-03-15,Lambeth,23867,27
2021-03-14,Lambeth,23840,11
2021-03-13,Lambeth,23829,16
2021-03-12,Lambeth,23813,8
2021-03-11,Lambeth,23805,14
2021-03-10,Lambeth,23791,16
2021-03-09,Lambeth,23775,15
2021-03-08,Lambeth,23760,20
2021-03-07,Lambeth,23740,11
2021-03-06,Lambeth,23729,13
2021-03-05,Lambeth,23716,17
2021-03-04,Lambeth,23699,14
2021-03-03,Lambeth,23685,23
2021-03-02,Lambeth,23662,19
2021-03-01,Lambeth,23643,18
2021-02-28,Lambeth,23625,12
2021-02-27,Lambeth,23613,21
2021-02-26,Lambeth,23592,21
2021-02-25,Lambeth,23571,21
2021-02-24,Lambeth,23550,19
2021-02-23,Lambeth,23531,21
2021-02-22,Lambeth,23510,29
2021-02-21,Lambeth,23481,16
2021-02-20,Lambeth,23465,27
2021-02-19,Lambeth,23438,28
2021-02-18,Lambeth,23410,49
2021-02-17,Lambeth,23361,25
2021-02-16,Lambeth,23336,55
2021-02-15,Lambeth,23281,42
2021-02-14,Lambeth,23239,24
2021-02-13,Lambeth,23215,34
2021-02-12,Lambeth,23181,50
2021-02-11,Lambeth,23131,43
2021-02-10,Lambeth,23088,76
2021-02-09,Lambeth,23012,59
2021-02-08,Lambeth,22953,67
2021-02-07,Lambeth,22886,43
2021-02-06,Lambeth,22843,58
2021-02-05,Lambeth,22785,75
2021-02-04,Lambeth,22710,101
2021-02-03,Lambeth,22609,112
2021-02-02,Lambeth,22497,95
2021-02-01,Lambeth,22402,129
2021-01-31,Lambeth,22273,73
2021-01-30,Lambeth,22200,97
2021-01-29,Lambeth,22103,122
2021-01-28,Lambeth,21981,135
2021-01-27,Lambeth,21846,152
2021-01-26,Lambeth,21694,170
2021-01-25,Lambeth,21524,193
2021-01-24,Lambeth,21331,100
2021-01-23,Lambeth,21231,133
2021-01-22,Lambeth,21098,178
2021-01-21,Lambeth,20920,183
2021-01-20,Lambeth,20737,193
2021-01-19,Lambeth,20544,239
2021-01-18,Lambeth,20305,320
2021-01-17,Lambeth,19985,174
2021-01-16,Lambeth,19811,234
2021-01-15,Lambeth,19577,298
2021-01-14,Lambeth,19279,390
2021-01-13,Lambeth,18889,358
2021-01-12,Lambeth,18531,360
2021-01-11,Lambeth,18171,439
2021-01-10,Lambeth,17732,212
2021-01-09,Lambeth,17520,323
2021-01-08,Lambeth,17197,369
2021-01-07,Lambeth,16828,548
2021-01-06,Lambeth,16280,527
2021-01-05,Lambeth,15753,463
2021-01-04,Lambeth,15290,641
2021-01-03,Lambeth,14649,399
2021-01-02,Lambeth,14250,384
2021-01-01,Lambeth,13866,216
2020-12-31,Lambeth,13650,394
2020-12-30,Lambeth,13256,535
2020-12-29,Lambeth,12721,654
2020-12-28,Lambeth,12067,346
2020-12-27,Lambeth,11721,379
2020-12-26,Lambeth,11342,353
2020-12-25,Lambeth,10989,129
2020-12-24,Lambeth,10860,308
2020-12-23,Lambeth,10552,382
2020-12-22,Lambeth,10170,468
2020-12-21,Lambeth,9702,471
