date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Lewisham,21624,6
2021-04-18,Lewisham,21618,7
2021-04-17,Lewisham,21611,5
2021-04-16,Lewisham,21606,3
2021-04-15,Lewisham,21603,10
2021-04-14,Lewisham,21593,6
2021-04-13,Lewisham,21587,4
2021-04-12,Lewisham,21583,2
2021-04-11,Lewisham,21581,3
2021-04-10,Lewisham,21578,5
2021-04-09,Lewisham,21573,3
2021-04-08,Lewisham,21570,6
2021-04-07,Lewisham,21564,9
2021-04-06,Lewisham,21555,7
2021-04-05,Lewisham,21548,4
2021-04-04,Lewisham,21544,7
2021-04-03,Lewisham,21537,0
2021-04-02,Lewisham,21537,6
2021-04-01,Lewisham,21531,3
2021-03-31,Lewisham,21528,3
2021-03-30,Lewisham,21525,9
2021-03-29,Lewisham,21516,7
2021-03-28,Lewisham,21509,18
2021-03-27,Lewisham,21491,4
2021-03-26,Lewisham,21487,9
2021-03-25,Lewisham,21478,13
2021-03-24,Lewisham,21465,10
2021-03-23,Lewisham,21455,11
2021-03-22,Lewisham,21444,11
2021-03-21,Lewisham,21433,12
2021-03-20,Lewisham,21421,8
2021-03-19,Lewisham,21413,18
2021-03-18,Lewisham,21395,9
2021-03-17,Lewisham,21386,14
2021-03-16,Lewisham,21372,14
2021-03-15,Lewisham,21358,17
2021-03-14,Lewisham,21341,9
2021-03-13,Lewisham,21332,7
2021-03-12,Lewisham,21325,13
2021-03-11,Lewisham,21312,15
2021-03-10,Lewisham,21297,8
2021-03-09,Lewisham,21289,13
2021-03-08,Lewisham,21276,11
2021-03-07,Lewisham,21265,9
2021-03-06,Lewisham,21256,14
2021-03-05,Lewisham,21242,8
2021-03-04,Lewisham,21234,7
2021-03-03,Lewisham,21227,11
2021-03-02,Lewisham,21216,8
2021-03-01,Lewisham,21208,7
2021-02-28,Lewisham,21201,9
2021-02-27,Lewisham,21192,9
2021-02-26,Lewisham,21183,16
2021-02-25,Lewisham,21167,11
2021-02-24,Lewisham,21156,16
2021-02-23,Lewisham,21140,16
2021-02-22,Lewisham,21124,27
2021-02-21,Lewisham,21097,11
2021-02-20,Lewisham,21086,16
2021-02-19,Lewisham,21070,22
2021-02-18,Lewisham,21048,22
2021-02-17,Lewisham,21026,21
2021-02-16,Lewisham,21005,29
2021-02-15,Lewisham,20976,25
2021-02-14,Lewisham,20951,22
2021-02-13,Lewisham,20929,24
2021-02-12,Lewisham,20905,32
2021-02-11,Lewisham,20873,36
2021-02-10,Lewisham,20837,50
2021-02-09,Lewisham,20787,34
2021-02-08,Lewisham,20753,48
2021-02-07,Lewisham,20705,30
2021-02-06,Lewisham,20675,45
2021-02-05,Lewisham,20630,64
2021-02-04,Lewisham,20566,65
2021-02-03,Lewisham,20501,78
2021-02-02,Lewisham,20423,94
2021-02-01,Lewisham,20329,107
2021-01-31,Lewisham,20222,59
2021-01-30,Lewisham,20163,63
2021-01-29,Lewisham,20100,85
2021-01-28,Lewisham,20015,156
2021-01-27,Lewisham,19859,125
2021-01-26,Lewisham,19734,133
2021-01-25,Lewisham,19601,175
2021-01-24,Lewisham,19426,90
2021-01-23,Lewisham,19336,117
2021-01-22,Lewisham,19219,179
2021-01-21,Lewisham,19040,177
2021-01-20,Lewisham,18863,188
2021-01-19,Lewisham,18675,248
2021-01-18,Lewisham,18427,324
2021-01-17,Lewisham,18103,147
2021-01-16,Lewisham,17956,185
2021-01-15,Lewisham,17771,244
2021-01-14,Lewisham,17527,307
2021-01-13,Lewisham,17220,324
2021-01-12,Lewisham,16896,332
2021-01-11,Lewisham,16564,363
2021-01-10,Lewisham,16201,264
2021-01-09,Lewisham,15937,323
2021-01-08,Lewisham,15614,378
2021-01-07,Lewisham,15236,435
2021-01-06,Lewisham,14801,500
2021-01-05,Lewisham,14301,545
2021-01-04,Lewisham,13756,570
2021-01-03,Lewisham,13186,426
2021-01-02,Lewisham,12760,468
2021-01-01,Lewisham,12292,192
2020-12-31,Lewisham,12100,444
2020-12-30,Lewisham,11656,575
2020-12-29,Lewisham,11081,728
2020-12-28,Lewisham,10353,326
2020-12-27,Lewisham,10027,434
2020-12-26,Lewisham,9593,361
2020-12-25,Lewisham,9232,117
2020-12-24,Lewisham,9115,292
2020-12-23,Lewisham,8823,422
2020-12-22,Lewisham,8401,429
2020-12-21,Lewisham,7972,420
2020-12-20,Lewisham,7552,253
2020-12-19,Lewisham,7299,230
2020-12-18,Lewisham,7069,276
2020-12-17,Lewisham,6793,306
2020-12-16,Lewisham,6487,304
2020-12-15,Lewisham,6183,279
2020-12-14,Lewisham,5904,269
2020-12-13,Lewisham,5635,157
2020-12-12,Lewisham,5478,138
2020-12-11,Lewisham,5340,159
2020-12-10,Lewisham,5181,152
2020-12-09,Lewisham,5029,117
2020-12-08,Lewisham,4912,113
2020-12-07,Lewisham,4799,101
2020-12-06,Lewisham,4698,52
2020-12-05,Lewisham,4646,50
2020-12-04,Lewisham,4596,78
2020-12-03,Lewisham,4518,58
2020-12-02,Lewisham,4460,65
2020-12-01,Lewisham,4395,56
2020-11-30,Lewisham,4339,56
2020-11-29,Lewisham,4283,29
2020-11-28,Lewisham,4254,44
2020-11-27,Lewisham,4210,52
2020-11-26,Lewisham,4158,46
2020-11-25,Lewisham,4112,61
2020-11-24,Lewisham,4051,43
2020-11-23,Lewisham,4008,61
2020-11-22,Lewisham,3947,21
2020-11-21,Lewisham,3926,26
2020-11-20,Lewisham,3900,42
2020-11-19,Lewisham,3858,48
2020-11-18,Lewisham,3810,43
2020-11-17,Lewisham,3767,57
2020-11-16,Lewisham,3710,70
2020-11-15,Lewisham,3640,35
2020-11-14,Lewisham,3605,43
2020-11-13,Lewisham,3562,77
2020-11-12,Lewisham,3485,49
2020-11-11,Lewisham,3436,64
2020-11-10,Lewisham,3372,61
2020-11-09,Lewisham,3311,81
2020-11-08,Lewisham,3230,31
2020-11-07,Lewisham,3199,33
2020-11-06,Lewisham,3166,46
2020-11-05,Lewisham,3120,45
2020-11-04,Lewisham,3075,37
2020-11-03,Lewisham,3038,47
2020-11-02,Lewisham,2991,79
2020-11-01,Lewisham,2912,19
2020-10-31,Lewisham,2893,24
2020-10-30,Lewisham,2869,42
2020-10-29,Lewisham,2827,50
2020-10-28,Lewisham,2777,52
2020-10-27,Lewisham,2725,42
2020-10-26,Lewisham,2683,53
2020-10-25,Lewisham,2630,34
2020-10-24,Lewisham,2596,33
2020-10-23,Lewisham,2563,45
2020-10-22,Lewisham,2518,58
2020-10-21,Lewisham,2460,54
2020-10-20,Lewisham,2406,47
2020-10-19,Lewisham,2359,54
2020-10-18,Lewisham,2305,22
2020-10-17,Lewisham,2283,35
2020-10-16,Lewisham,2248,41
2020-10-15,Lewisham,2207,28
2020-10-14,Lewisham,2179,52
2020-10-13,Lewisham,2127,28
2020-10-12,Lewisham,2099,52
2020-10-11,Lewisham,2047,15
2020-10-10,Lewisham,2032,24
2020-10-09,Lewisham,2008,47
2020-10-08,Lewisham,1961,36
2020-10-07,Lewisham,1925,41
2020-10-06,Lewisham,1884,38
2020-10-05,Lewisham,1846,29
2020-10-04,Lewisham,1817,24
2020-10-03,Lewisham,1793,23
2020-10-02,Lewisham,1770,30
2020-10-01,Lewisham,1740,36
2020-09-30,Lewisham,1704,30
2020-09-29,Lewisham,1674,15
2020-09-28,Lewisham,1659,26
2020-09-27,Lewisham,1633,20
2020-09-26,Lewisham,1613,15
2020-09-25,Lewisham,1598,19
2020-09-24,Lewisham,1579,17
2020-09-23,Lewisham,1562,17
2020-09-22,Lewisham,1545,8
2020-09-21,Lewisham,1537,11
2020-09-20,Lewisham,1526,10
2020-09-19,Lewisham,1516,8
2020-09-18,Lewisham,1508,8
2020-09-17,Lewisham,1500,9
2020-09-16,Lewisham,1491,12
2020-09-15,Lewisham,1479,9
2020-09-14,Lewisham,1470,10
2020-09-13,Lewisham,1460,3
2020-09-12,Lewisham,1457,5
2020-09-11,Lewisham,1452,9
2020-09-10,Lewisham,1443,6
2020-09-09,Lewisham,1437,9
2020-09-08,Lewisham,1428,13
2020-09-07,Lewisham,1415,10
2020-09-06,Lewisham,1405,4
2020-09-05,Lewisham,1401,4
2020-09-04,Lewisham,1397,7
2020-09-03,Lewisham,1390,11
2020-09-02,Lewisham,1379,16
2020-09-01,Lewisham,1363,8
2020-08-31,Lewisham,1355,10
2020-08-30,Lewisham,1345,0
2020-08-29,Lewisham,1345,0
2020-08-28,Lewisham,1345,8
2020-08-27,Lewisham,1337,6
2020-08-26,Lewisham,1331,3
2020-08-25,Lewisham,1328,2
2020-08-24,Lewisham,1326,4
2020-08-23,Lewisham,1322,6
2020-08-22,Lewisham,1316,2
2020-08-21,Lewisham,1314,7
2020-08-20,Lewisham,1307,4
2020-08-19,Lewisham,1303,6
2020-08-18,Lewisham,1297,5
2020-08-17,Lewisham,1292,4
2020-08-16,Lewisham,1288,2
2020-08-15,Lewisham,1286,1
2020-08-14,Lewisham,1285,4
2020-08-13,Lewisham,1281,3
2020-08-12,Lewisham,1278,4
2020-08-11,Lewisham,1274,3
2020-08-10,Lewisham,1271,2
2020-08-09,Lewisham,1269,1
2020-08-08,Lewisham,1268,0
2020-08-07,Lewisham,1268,7
2020-08-06,Lewisham,1261,4
2020-08-05,Lewisham,1257,4
2020-08-04,Lewisham,1253,1
2020-08-03,Lewisham,1252,1
2020-08-02,Lewisham,1251,0
2020-08-01,Lewisham,1251,1
2020-07-31,Lewisham,1250,3
2020-07-30,Lewisham,1247,3
2020-07-29,Lewisham,1244,4
2020-07-28,Lewisham,1240,1
2020-07-27,Lewisham,1239,4
2020-07-26,Lewisham,1235,0
2020-07-25,Lewisham,1235,5
2020-07-24,Lewisham,1230,5
2020-07-23,Lewisham,1225,3
2020-07-22,Lewisham,1222,0
2020-07-21,Lewisham,1222,2
2020-07-20,Lewisham,1220,4
2020-07-19,Lewisham,1216,1
2020-07-18,Lewisham,1215,1
2020-07-17,Lewisham,1214,1
2020-07-16,Lewisham,1213,4
2020-07-15,Lewisham,1209,4
2020-07-14,Lewisham,1205,4
2020-07-13,Lewisham,1201,2
2020-07-12,Lewisham,1199,0
2020-07-11,Lewisham,1199,0
2020-07-10,Lewisham,1199,0
2020-07-09,Lewisham,1199,3
2020-07-08,Lewisham,1196,4
2020-07-07,Lewisham,1192,3
2020-07-06,Lewisham,1189,0
2020-07-05,Lewisham,1189,0
2020-07-04,Lewisham,1189,0
2020-07-03,Lewisham,1189,0
2020-07-02,Lewisham,1189,0
2020-07-01,Lewisham,1189,0
2020-06-30,Lewisham,1189,2
2020-06-29,Lewisham,1187,1
2020-06-28,Lewisham,1186,0
2020-06-27,Lewisham,1186,0
2020-06-26,Lewisham,1186,2
2020-06-25,Lewisham,1184,0
2020-06-24,Lewisham,1184,0
2020-06-23,Lewisham,1184,1
2020-06-22,Lewisham,1183,1
2020-06-21,Lewisham,1182,1
2020-06-20,Lewisham,1181,0
2020-06-19,Lewisham,1181,1
2020-06-18,Lewisham,1180,2
2020-06-17,Lewisham,1178,2
2020-06-16,Lewisham,1176,1
2020-06-15,Lewisham,1175,0
2020-06-14,Lewisham,1175,0
2020-06-13,Lewisham,1175,1
2020-06-12,Lewisham,1174,0
2020-06-11,Lewisham,1174,2
2020-06-10,Lewisham,1172,3
2020-06-09,Lewisham,1169,0
2020-06-08,Lewisham,1169,1
2020-06-07,Lewisham,1168,2
2020-06-06,Lewisham,1166,1
2020-06-05,Lewisham,1165,1
2020-06-04,Lewisham,1164,1
2020-06-03,Lewisham,1163,1
2020-06-02,Lewisham,1162,0
2020-06-01,Lewisham,1162,3
2020-05-31,Lewisham,1159,2
2020-05-30,Lewisham,1157,0
2020-05-29,Lewisham,1157,4
2020-05-28,Lewisham,1153,2
2020-05-27,Lewisham,1151,1
2020-05-26,Lewisham,1150,2
2020-05-25,Lewisham,1148,4
2020-05-24,Lewisham,1144,2
2020-05-23,Lewisham,1142,1
2020-05-22,Lewisham,1141,2
2020-05-21,Lewisham,1139,5
2020-05-20,Lewisham,1134,2
2020-05-19,Lewisham,1132,4
2020-05-18,Lewisham,1128,2
2020-05-17,Lewisham,1126,1
2020-05-16,Lewisham,1125,3
2020-05-15,Lewisham,1122,1
2020-05-14,Lewisham,1121,3
2020-05-13,Lewisham,1118,10
2020-05-12,Lewisham,1108,5
2020-05-11,Lewisham,1103,7
2020-05-10,Lewisham,1096,3
2020-05-09,Lewisham,1093,2
2020-05-08,Lewisham,1091,7
2020-05-07,Lewisham,1084,9
2020-05-06,Lewisham,1075,6
2020-05-05,Lewisham,1069,7
2020-05-04,Lewisham,1062,5
2020-05-03,Lewisham,1057,6
2020-05-02,Lewisham,1051,7
2020-05-01,Lewisham,1044,8
2020-04-30,Lewisham,1036,15
2020-04-29,Lewisham,1021,8
2020-04-28,Lewisham,1013,14
2020-04-27,Lewisham,999,16
2020-04-26,Lewisham,983,7
2020-04-25,Lewisham,976,13
