date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Merton,16187,2
2021-04-18,Merton,16185,8
2021-04-17,Merton,16177,2
2021-04-16,Merton,16175,4
2021-04-15,Merton,16171,5
2021-04-14,Merton,16166,5
2021-04-13,Merton,16161,7
2021-04-12,Merton,16154,7
2021-04-11,Merton,16147,11
2021-04-10,Merton,16136,7
2021-04-09,Merton,16129,9
2021-04-08,Merton,16120,8
2021-04-07,Merton,16112,2
2021-04-06,Merton,16110,10
2021-04-05,Merton,16100,4
2021-04-04,Merton,16096,3
2021-04-03,Merton,16093,4
2021-04-02,Merton,16089,2
2021-04-01,Merton,16087,7
2021-03-31,Merton,16080,8
2021-03-30,Merton,16072,8
2021-03-29,Merton,16064,12
2021-03-28,Merton,16052,13
2021-03-27,Merton,16039,9
2021-03-26,Merton,16030,5
2021-03-25,Merton,16025,6
2021-03-24,Merton,16019,26
2021-03-23,Merton,15993,11
2021-03-22,Merton,15982,14
2021-03-21,Merton,15968,15
2021-03-20,Merton,15953,6
2021-03-19,Merton,15947,14
2021-03-18,Merton,15933,13
2021-03-17,Merton,15920,7
2021-03-16,Merton,15913,12
2021-03-15,Merton,15901,17
2021-03-14,Merton,15884,15
2021-03-13,Merton,15869,16
2021-03-12,Merton,15853,15
2021-03-11,Merton,15838,10
2021-03-10,Merton,15828,11
2021-03-09,Merton,15817,12
2021-03-08,Merton,15805,15
2021-03-07,Merton,15790,6
2021-03-06,Merton,15784,10
2021-03-05,Merton,15774,15
2021-03-04,Merton,15759,9
2021-03-03,Merton,15750,11
2021-03-02,Merton,15739,19
2021-03-01,Merton,15720,13
2021-02-28,Merton,15707,18
2021-02-27,Merton,15689,11
2021-02-26,Merton,15678,16
2021-02-25,Merton,15662,27
2021-02-24,Merton,15635,9
2021-02-23,Merton,15626,27
2021-02-22,Merton,15599,30
2021-02-21,Merton,15569,13
2021-02-20,Merton,15556,25
2021-02-19,Merton,15531,33
2021-02-18,Merton,15498,38
2021-02-17,Merton,15460,28
2021-02-16,Merton,15432,32
2021-02-15,Merton,15400,29
2021-02-14,Merton,15371,35
2021-02-13,Merton,15336,29
2021-02-12,Merton,15307,32
2021-02-11,Merton,15275,54
2021-02-10,Merton,15221,46
2021-02-09,Merton,15175,39
2021-02-08,Merton,15136,57
2021-02-07,Merton,15079,42
2021-02-06,Merton,15037,49
2021-02-05,Merton,14988,55
2021-02-04,Merton,14933,70
2021-02-03,Merton,14863,63
2021-02-02,Merton,14800,111
2021-02-01,Merton,14689,74
2021-01-31,Merton,14615,61
2021-01-30,Merton,14554,68
2021-01-29,Merton,14486,87
2021-01-28,Merton,14399,88
2021-01-27,Merton,14311,117
2021-01-26,Merton,14194,94
2021-01-25,Merton,14100,120
2021-01-24,Merton,13980,71
2021-01-23,Merton,13909,87
2021-01-22,Merton,13822,121
2021-01-21,Merton,13701,148
2021-01-20,Merton,13553,119
2021-01-19,Merton,13434,186
2021-01-18,Merton,13248,190
2021-01-17,Merton,13058,111
2021-01-16,Merton,12947,159
2021-01-15,Merton,12788,152
2021-01-14,Merton,12636,188
2021-01-13,Merton,12448,220
2021-01-12,Merton,12228,228
2021-01-11,Merton,12000,275
2021-01-10,Merton,11725,175
2021-01-09,Merton,11550,170
2021-01-08,Merton,11380,219
2021-01-07,Merton,11161,261
2021-01-06,Merton,10900,277
2021-01-05,Merton,10623,236
2021-01-04,Merton,10387,352
2021-01-03,Merton,10035,264
2021-01-02,Merton,9771,310
2021-01-01,Merton,9461,140
2020-12-31,Merton,9321,272
2020-12-30,Merton,9049,406
2020-12-29,Merton,8643,488
2020-12-28,Merton,8155,249
2020-12-27,Merton,7906,303
2020-12-26,Merton,7603,305
2020-12-25,Merton,7298,83
2020-12-24,Merton,7215,258
2020-12-23,Merton,6957,268
2020-12-22,Merton,6689,332
2020-12-21,Merton,6357,323
2020-12-20,Merton,6034,211
2020-12-19,Merton,5823,132
2020-12-18,Merton,5691,245
2020-12-17,Merton,5446,233
2020-12-16,Merton,5213,225
2020-12-15,Merton,4988,188
2020-12-14,Merton,4800,161
2020-12-13,Merton,4639,126
2020-12-12,Merton,4513,108
2020-12-11,Merton,4405,89
2020-12-10,Merton,4316,121
2020-12-09,Merton,4195,121
2020-12-08,Merton,4074,90
2020-12-07,Merton,3984,91
2020-12-06,Merton,3893,73
2020-12-05,Merton,3820,51
2020-12-04,Merton,3769,59
2020-12-03,Merton,3710,65
2020-12-02,Merton,3645,63
2020-12-01,Merton,3582,58
2020-11-30,Merton,3524,50
2020-11-29,Merton,3474,39
2020-11-28,Merton,3435,50
2020-11-27,Merton,3385,78
2020-11-26,Merton,3307,54
2020-11-25,Merton,3253,48
2020-11-24,Merton,3205,49
2020-11-23,Merton,3156,47
2020-11-22,Merton,3109,20
2020-11-21,Merton,3089,42
2020-11-20,Merton,3047,33
2020-11-19,Merton,3014,56
2020-11-18,Merton,2958,63
2020-11-17,Merton,2895,58
2020-11-16,Merton,2837,70
2020-11-15,Merton,2767,44
2020-11-14,Merton,2723,41
2020-11-13,Merton,2682,66
2020-11-12,Merton,2616,53
2020-11-11,Merton,2563,56
2020-11-10,Merton,2507,49
2020-11-09,Merton,2458,54
2020-11-08,Merton,2404,26
2020-11-07,Merton,2378,32
2020-11-06,Merton,2346,41
2020-11-05,Merton,2305,42
2020-11-04,Merton,2263,42
2020-11-03,Merton,2221,32
2020-11-02,Merton,2189,52
2020-11-01,Merton,2137,34
2020-10-31,Merton,2103,20
2020-10-30,Merton,2083,41
2020-10-29,Merton,2042,46
2020-10-28,Merton,1996,36
2020-10-27,Merton,1960,50
2020-10-26,Merton,1910,59
2020-10-25,Merton,1851,33
2020-10-24,Merton,1818,32
2020-10-23,Merton,1786,49
2020-10-22,Merton,1737,35
2020-10-21,Merton,1702,44
2020-10-20,Merton,1658,51
2020-10-19,Merton,1607,57
2020-10-18,Merton,1550,21
2020-10-17,Merton,1529,19
2020-10-16,Merton,1510,28
2020-10-15,Merton,1482,24
2020-10-14,Merton,1458,19
2020-10-13,Merton,1439,25
2020-10-12,Merton,1414,32
2020-10-11,Merton,1382,17
2020-10-10,Merton,1365,15
2020-10-09,Merton,1350,14
2020-10-08,Merton,1336,24
2020-10-07,Merton,1312,25
2020-10-06,Merton,1287,19
2020-10-05,Merton,1268,17
2020-10-04,Merton,1251,10
2020-10-03,Merton,1241,12
2020-10-02,Merton,1229,17
2020-10-01,Merton,1212,9
2020-09-30,Merton,1203,17
2020-09-29,Merton,1186,3
2020-09-28,Merton,1183,10
2020-09-27,Merton,1173,5
2020-09-26,Merton,1168,9
2020-09-25,Merton,1159,7
2020-09-24,Merton,1152,9
2020-09-23,Merton,1143,11
2020-09-22,Merton,1132,7
2020-09-21,Merton,1125,1
2020-09-20,Merton,1124,4
2020-09-19,Merton,1120,3
2020-09-18,Merton,1117,5
2020-09-17,Merton,1112,2
2020-09-16,Merton,1110,5
2020-09-15,Merton,1105,5
2020-09-14,Merton,1100,1
2020-09-13,Merton,1099,7
2020-09-12,Merton,1092,4
2020-09-11,Merton,1088,4
2020-09-10,Merton,1084,9
2020-09-09,Merton,1075,4
2020-09-08,Merton,1071,6
2020-09-07,Merton,1065,4
2020-09-06,Merton,1061,4
2020-09-05,Merton,1057,5
2020-09-04,Merton,1052,1
2020-09-03,Merton,1051,7
2020-09-02,Merton,1044,6
2020-09-01,Merton,1038,2
2020-08-31,Merton,1036,3
2020-08-30,Merton,1033,2
2020-08-29,Merton,1031,2
2020-08-28,Merton,1029,5
2020-08-27,Merton,1024,2
2020-08-26,Merton,1022,1
2020-08-25,Merton,1021,1
2020-08-24,Merton,1020,1
2020-08-23,Merton,1019,4
2020-08-22,Merton,1015,4
2020-08-21,Merton,1011,2
2020-08-20,Merton,1009,0
2020-08-19,Merton,1009,6
2020-08-18,Merton,1003,2
2020-08-17,Merton,1001,2
2020-08-16,Merton,999,3
2020-08-15,Merton,996,1
2020-08-14,Merton,995,2
2020-08-13,Merton,993,5
2020-08-12,Merton,988,7
2020-08-11,Merton,981,2
2020-08-10,Merton,979,2
2020-08-09,Merton,977,0
2020-08-08,Merton,977,0
2020-08-07,Merton,977,2
2020-08-06,Merton,975,1
2020-08-05,Merton,974,2
2020-08-04,Merton,972,3
2020-08-03,Merton,969,2
2020-08-02,Merton,967,2
2020-08-01,Merton,965,0
2020-07-31,Merton,965,4
2020-07-30,Merton,961,1
2020-07-29,Merton,960,2
2020-07-28,Merton,958,1
2020-07-27,Merton,957,0
2020-07-26,Merton,957,0
2020-07-25,Merton,957,0
2020-07-24,Merton,957,1
2020-07-23,Merton,956,2
2020-07-22,Merton,954,0
2020-07-21,Merton,954,1
2020-07-20,Merton,953,4
2020-07-19,Merton,949,0
2020-07-18,Merton,949,1
2020-07-17,Merton,948,4
2020-07-16,Merton,944,1
2020-07-15,Merton,943,0
2020-07-14,Merton,943,0
2020-07-13,Merton,943,2
2020-07-12,Merton,941,0
2020-07-11,Merton,941,2
2020-07-10,Merton,939,2
2020-07-09,Merton,937,0
2020-07-08,Merton,937,0
2020-07-07,Merton,937,0
2020-07-06,Merton,937,1
2020-07-05,Merton,936,1
2020-07-04,Merton,935,0
2020-07-03,Merton,935,1
2020-07-02,Merton,934,1
2020-07-01,Merton,933,2
2020-06-30,Merton,931,0
2020-06-29,Merton,931,1
2020-06-28,Merton,930,1
2020-06-27,Merton,929,2
2020-06-26,Merton,927,1
2020-06-25,Merton,926,2
2020-06-24,Merton,924,1
2020-06-23,Merton,923,0
2020-06-22,Merton,923,7
2020-06-21,Merton,916,0
2020-06-20,Merton,916,0
2020-06-19,Merton,916,2
2020-06-18,Merton,914,1
2020-06-17,Merton,913,0
2020-06-16,Merton,913,3
2020-06-15,Merton,910,2
2020-06-14,Merton,908,1
2020-06-13,Merton,907,0
2020-06-12,Merton,907,1
2020-06-11,Merton,906,0
2020-06-10,Merton,906,1
2020-06-09,Merton,905,4
2020-06-08,Merton,901,1
2020-06-07,Merton,900,0
2020-06-06,Merton,900,3
2020-06-05,Merton,897,0
2020-06-04,Merton,897,1
2020-06-03,Merton,896,0
2020-06-02,Merton,896,1
2020-06-01,Merton,895,4
2020-05-31,Merton,891,0
2020-05-30,Merton,891,0
2020-05-29,Merton,891,1
2020-05-28,Merton,890,3
2020-05-27,Merton,887,2
2020-05-26,Merton,885,3
2020-05-25,Merton,882,0
2020-05-24,Merton,882,2
2020-05-23,Merton,880,3
2020-05-22,Merton,877,0
2020-05-21,Merton,877,5
2020-05-20,Merton,872,8
2020-05-19,Merton,864,10
2020-05-18,Merton,854,9
2020-05-17,Merton,845,4
2020-05-16,Merton,841,3
2020-05-15,Merton,838,4
2020-05-14,Merton,834,3
2020-05-13,Merton,831,10
2020-05-12,Merton,821,10
2020-05-11,Merton,811,2
2020-05-10,Merton,809,4
2020-05-09,Merton,805,2
2020-05-08,Merton,803,3
2020-05-07,Merton,800,8
2020-05-06,Merton,792,14
2020-05-05,Merton,778,5
2020-05-04,Merton,773,4
2020-05-03,Merton,769,10
2020-05-02,Merton,759,7
2020-05-01,Merton,752,10
2020-04-30,Merton,742,11
2020-04-29,Merton,731,8
2020-04-28,Merton,723,11
2020-04-27,Merton,712,8
2020-04-26,Merton,704,5
2020-04-25,Merton,699,11
2020-04-24,Merton,688,14
2020-04-23,Merton,674,10
2020-04-22,Merton,664,8
2020-04-21,Merton,656,13
2020-04-20,Merton,643,12
2020-04-19,Merton,631,13
2020-04-18,Merton,618,9
2020-04-17,Merton,609,21
2020-04-16,Merton,588,13
2020-04-15,Merton,575,14
2020-04-14,Merton,561,13
2020-04-13,Merton,548,21
2020-04-12,Merton,527,13
2020-04-11,Merton,514,18
2020-04-10,Merton,496,15
2020-04-09,Merton,481,22
2020-04-08,Merton,459,16
2020-04-07,Merton,443,17
2020-04-06,Merton,426,37
2020-04-05,Merton,389,17
2020-04-04,Merton,372,15
2020-04-03,Merton,357,23
2020-04-02,Merton,334,33
2020-04-01,Merton,301,27
2020-03-31,Merton,274,27
2020-03-30,Merton,247,23
2020-03-29,Merton,224,13
2020-03-28,Merton,211,14
2020-03-27,Merton,197,24
2020-03-26,Merton,173,14
2020-03-25,Merton,159,24
2020-03-24,Merton,135,22
2020-03-23,Merton,113,15
2020-03-22,Merton,98,8
2020-03-21,Merton,90,7
2020-03-20,Merton,83,9
2020-03-19,Merton,74,11
2020-03-18,Merton,63,13
2020-03-17,Merton,50,10
2020-03-16,Merton,40,6
2020-03-15,Merton,34,1
2020-03-14,Merton,33,6
2020-03-13,Merton,27,7
2020-03-12,Merton,20,3
2020-03-11,Merton,17,7
2020-03-10,Merton,10,6
2020-03-09,Merton,4,1
2020-03-08,Merton,3,0
2020-03-07,Merton,3,0
2020-03-06,Merton,3,2
2020-03-05,Merton,1,0
2020-03-04,Merton,1,0
2020-03-03,Merton,1,0
2020-03-02,Merton,1,0
2020-03-01,Merton,1,0
2020-02-29,Merton,1,0
2020-02-28,Merton,1,0
2020-02-27,Merton,1,0
2020-02-26,Merton,1,1
