date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Newham,35498,7
2021-04-18,Newham,35491,15
2021-04-17,Newham,35476,9
2021-04-16,Newham,35467,21
2021-04-15,Newham,35446,13
2021-04-14,Newham,35433,13
2021-04-13,Newham,35420,22
2021-04-12,Newham,35398,21
2021-04-11,Newham,35377,22
2021-04-10,Newham,35355,13
2021-04-09,Newham,35342,27
2021-04-08,Newham,35315,17
2021-04-07,Newham,35298,20
2021-04-06,Newham,35278,23
2021-04-05,Newham,35255,10
2021-04-04,Newham,35245,10
2021-04-03,Newham,35235,16
2021-04-02,Newham,35219,12
2021-04-01,Newham,35207,18
2021-03-31,Newham,35189,12
2021-03-30,Newham,35177,18
2021-03-29,Newham,35159,11
2021-03-28,Newham,35148,22
2021-03-27,Newham,35126,21
2021-03-26,Newham,35105,16
2021-03-25,Newham,35089,17
2021-03-24,Newham,35072,23
2021-03-23,Newham,35049,22
2021-03-22,Newham,35027,10
2021-03-21,Newham,35017,14
2021-03-20,Newham,35003,18
2021-03-19,Newham,34985,18
2021-03-18,Newham,34967,16
2021-03-17,Newham,34951,24
2021-03-16,Newham,34927,21
2021-03-15,Newham,34906,30
2021-03-14,Newham,34876,26
2021-03-13,Newham,34850,19
2021-03-12,Newham,34831,20
2021-03-11,Newham,34811,24
2021-03-10,Newham,34787,29
2021-03-09,Newham,34758,18
2021-03-08,Newham,34740,22
2021-03-07,Newham,34718,28
2021-03-06,Newham,34690,16
2021-03-05,Newham,34674,20
2021-03-04,Newham,34654,33
2021-03-03,Newham,34621,24
2021-03-02,Newham,34597,39
2021-03-01,Newham,34558,20
2021-02-28,Newham,34538,28
2021-02-27,Newham,34510,37
2021-02-26,Newham,34473,24
2021-02-25,Newham,34449,24
2021-02-24,Newham,34425,24
2021-02-23,Newham,34401,26
2021-02-22,Newham,34375,43
2021-02-21,Newham,34332,31
2021-02-20,Newham,34301,26
2021-02-19,Newham,34275,42
2021-02-18,Newham,34233,54
2021-02-17,Newham,34179,52
2021-02-16,Newham,34127,56
2021-02-15,Newham,34071,79
2021-02-14,Newham,33992,32
2021-02-13,Newham,33960,44
2021-02-12,Newham,33916,47
2021-02-11,Newham,33869,58
2021-02-10,Newham,33811,60
2021-02-09,Newham,33751,90
2021-02-08,Newham,33661,84
2021-02-07,Newham,33577,60
2021-02-06,Newham,33517,88
2021-02-05,Newham,33429,90
2021-02-04,Newham,33339,114
2021-02-03,Newham,33225,128
2021-02-02,Newham,33097,120
2021-02-01,Newham,32977,163
2021-01-31,Newham,32814,108
2021-01-30,Newham,32706,143
2021-01-29,Newham,32563,172
2021-01-28,Newham,32391,173
2021-01-27,Newham,32218,190
2021-01-26,Newham,32028,209
2021-01-25,Newham,31819,217
2021-01-24,Newham,31602,170
2021-01-23,Newham,31432,220
2021-01-22,Newham,31212,280
2021-01-21,Newham,30932,255
2021-01-20,Newham,30677,302
2021-01-19,Newham,30375,327
2021-01-18,Newham,30048,387
2021-01-17,Newham,29661,309
2021-01-16,Newham,29352,329
2021-01-15,Newham,29023,436
2021-01-14,Newham,28587,437
2021-01-13,Newham,28150,520
2021-01-12,Newham,27630,477
2021-01-11,Newham,27153,629
2021-01-10,Newham,26524,380
2021-01-09,Newham,26144,471
2021-01-08,Newham,25673,629
2021-01-07,Newham,25044,673
2021-01-06,Newham,24371,789
2021-01-05,Newham,23582,829
2021-01-04,Newham,22753,958
2021-01-03,Newham,21795,686
2021-01-02,Newham,21109,727
2021-01-01,Newham,20382,343
2020-12-31,Newham,20039,702
2020-12-30,Newham,19337,845
2020-12-29,Newham,18492,1041
2020-12-28,Newham,17451,613
2020-12-27,Newham,16838,702
2020-12-26,Newham,16136,587
2020-12-25,Newham,15549,237
2020-12-24,Newham,15312,450
2020-12-23,Newham,14862,647
2020-12-22,Newham,14215,588
2020-12-21,Newham,13627,625
2020-12-20,Newham,13002,366
2020-12-19,Newham,12636,305
2020-12-18,Newham,12331,478
2020-12-17,Newham,11853,478
2020-12-16,Newham,11375,528
2020-12-15,Newham,10847,397
2020-12-14,Newham,10450,466
2020-12-13,Newham,9984,263
2020-12-12,Newham,9721,214
2020-12-11,Newham,9507,291
2020-12-10,Newham,9216,278
2020-12-09,Newham,8938,239
2020-12-08,Newham,8699,165
2020-12-07,Newham,8534,215
2020-12-06,Newham,8319,135
2020-12-05,Newham,8184,125
2020-12-04,Newham,8059,170
2020-12-03,Newham,7889,131
2020-12-02,Newham,7758,149
2020-12-01,Newham,7609,128
2020-11-30,Newham,7481,160
2020-11-29,Newham,7321,79
2020-11-28,Newham,7242,91
2020-11-27,Newham,7151,131
2020-11-26,Newham,7020,123
2020-11-25,Newham,6897,138
2020-11-24,Newham,6759,143
2020-11-23,Newham,6616,118
2020-11-22,Newham,6498,94
2020-11-21,Newham,6404,69
2020-11-20,Newham,6335,102
2020-11-19,Newham,6233,102
2020-11-18,Newham,6131,145
2020-11-17,Newham,5986,134
2020-11-16,Newham,5852,140
2020-11-15,Newham,5712,98
2020-11-14,Newham,5614,84
2020-11-13,Newham,5530,99
2020-11-12,Newham,5431,103
2020-11-11,Newham,5328,121
2020-11-10,Newham,5207,111
2020-11-09,Newham,5096,130
2020-11-08,Newham,4966,65
2020-11-07,Newham,4901,79
2020-11-06,Newham,4822,101
2020-11-05,Newham,4721,87
2020-11-04,Newham,4634,112
2020-11-03,Newham,4522,114
2020-11-02,Newham,4408,137
2020-11-01,Newham,4271,61
2020-10-31,Newham,4210,51
2020-10-30,Newham,4159,89
2020-10-29,Newham,4070,78
2020-10-28,Newham,3992,87
2020-10-27,Newham,3905,74
2020-10-26,Newham,3831,142
2020-10-25,Newham,3689,51
2020-10-24,Newham,3638,52
2020-10-23,Newham,3586,95
2020-10-22,Newham,3491,93
2020-10-21,Newham,3398,91
2020-10-20,Newham,3307,90
2020-10-19,Newham,3217,105
2020-10-18,Newham,3112,56
2020-10-17,Newham,3056,52
2020-10-16,Newham,3004,78
2020-10-15,Newham,2926,81
2020-10-14,Newham,2845,64
2020-10-13,Newham,2781,66
2020-10-12,Newham,2715,67
2020-10-11,Newham,2648,34
2020-10-10,Newham,2614,34
2020-10-09,Newham,2580,57
2020-10-08,Newham,2523,71
2020-10-07,Newham,2452,52
2020-10-06,Newham,2400,43
2020-10-05,Newham,2357,53
2020-10-04,Newham,2304,37
2020-10-03,Newham,2267,26
2020-10-02,Newham,2241,46
2020-10-01,Newham,2195,44
2020-09-30,Newham,2151,20
2020-09-29,Newham,2131,34
2020-09-28,Newham,2097,37
2020-09-27,Newham,2060,34
2020-09-26,Newham,2026,37
2020-09-25,Newham,1989,49
2020-09-24,Newham,1940,35
2020-09-23,Newham,1905,34
2020-09-22,Newham,1871,19
2020-09-21,Newham,1852,28
2020-09-20,Newham,1824,23
2020-09-19,Newham,1801,26
2020-09-18,Newham,1775,12
2020-09-17,Newham,1763,22
2020-09-16,Newham,1741,15
2020-09-15,Newham,1726,13
2020-09-14,Newham,1713,16
2020-09-13,Newham,1697,0
2020-09-12,Newham,1697,18
2020-09-11,Newham,1679,14
2020-09-10,Newham,1665,18
2020-09-09,Newham,1647,14
2020-09-08,Newham,1633,23
2020-09-07,Newham,1610,17
2020-09-06,Newham,1593,9
2020-09-05,Newham,1584,18
2020-09-04,Newham,1566,19
2020-09-03,Newham,1547,29
2020-09-02,Newham,1518,10
2020-09-01,Newham,1508,7
2020-08-31,Newham,1501,11
2020-08-30,Newham,1490,4
2020-08-29,Newham,1486,3
2020-08-28,Newham,1483,8
2020-08-27,Newham,1475,15
2020-08-26,Newham,1460,5
2020-08-25,Newham,1455,6
2020-08-24,Newham,1449,6
2020-08-23,Newham,1443,4
2020-08-22,Newham,1439,7
2020-08-21,Newham,1432,2
2020-08-20,Newham,1430,2
2020-08-19,Newham,1428,4
2020-08-18,Newham,1424,4
2020-08-17,Newham,1420,6
2020-08-16,Newham,1414,8
2020-08-15,Newham,1406,6
2020-08-14,Newham,1400,4
2020-08-13,Newham,1396,10
2020-08-12,Newham,1386,6
2020-08-11,Newham,1380,3
2020-08-10,Newham,1377,5
2020-08-09,Newham,1372,2
2020-08-08,Newham,1370,4
2020-08-07,Newham,1366,2
2020-08-06,Newham,1364,11
2020-08-05,Newham,1353,2
2020-08-04,Newham,1351,8
2020-08-03,Newham,1343,1
2020-08-02,Newham,1342,1
2020-08-01,Newham,1341,3
2020-07-31,Newham,1338,1
2020-07-30,Newham,1337,0
2020-07-29,Newham,1337,5
2020-07-28,Newham,1332,2
2020-07-27,Newham,1330,6
2020-07-26,Newham,1324,3
2020-07-25,Newham,1321,6
2020-07-24,Newham,1315,1
2020-07-23,Newham,1314,4
2020-07-22,Newham,1310,2
2020-07-21,Newham,1308,1
2020-07-20,Newham,1307,1
2020-07-19,Newham,1306,1
2020-07-18,Newham,1305,3
2020-07-17,Newham,1302,3
2020-07-16,Newham,1299,2
2020-07-15,Newham,1297,5
2020-07-14,Newham,1292,3
2020-07-13,Newham,1289,8
2020-07-12,Newham,1281,3
2020-07-11,Newham,1278,2
2020-07-10,Newham,1276,2
2020-07-09,Newham,1274,3
2020-07-08,Newham,1271,3
2020-07-07,Newham,1268,1
2020-07-06,Newham,1267,1
2020-07-05,Newham,1266,1
2020-07-04,Newham,1265,2
2020-07-03,Newham,1263,0
2020-07-02,Newham,1263,1
2020-07-01,Newham,1262,5
2020-06-30,Newham,1257,6
2020-06-29,Newham,1251,1
2020-06-28,Newham,1250,1
2020-06-27,Newham,1249,2
2020-06-26,Newham,1247,5
2020-06-25,Newham,1242,2
2020-06-24,Newham,1240,0
2020-06-23,Newham,1240,0
2020-06-22,Newham,1240,1
2020-06-21,Newham,1239,2
2020-06-20,Newham,1237,0
2020-06-19,Newham,1237,2
2020-06-18,Newham,1235,2
2020-06-17,Newham,1233,1
2020-06-16,Newham,1232,2
2020-06-15,Newham,1230,3
2020-06-14,Newham,1227,1
2020-06-13,Newham,1226,5
2020-06-12,Newham,1221,2
2020-06-11,Newham,1219,1
2020-06-10,Newham,1218,1
2020-06-09,Newham,1217,3
2020-06-08,Newham,1214,2
2020-06-07,Newham,1212,2
2020-06-06,Newham,1210,2
2020-06-05,Newham,1208,3
2020-06-04,Newham,1205,9
2020-06-03,Newham,1196,3
2020-06-02,Newham,1193,0
2020-06-01,Newham,1193,2
2020-05-31,Newham,1191,0
2020-05-30,Newham,1191,5
2020-05-29,Newham,1186,1
2020-05-28,Newham,1185,5
2020-05-27,Newham,1180,3
2020-05-26,Newham,1177,1
2020-05-25,Newham,1176,2
2020-05-24,Newham,1174,1
