date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Redbridge,32835,5
2021-04-18,Redbridge,32830,14
2021-04-17,Redbridge,32816,10
2021-04-16,Redbridge,32806,6
2021-04-15,Redbridge,32800,15
2021-04-14,Redbridge,32785,13
2021-04-13,Redbridge,32772,13
2021-04-12,Redbridge,32759,19
2021-04-11,Redbridge,32740,16
2021-04-10,Redbridge,32724,14
2021-04-09,Redbridge,32710,22
2021-04-08,Redbridge,32688,9
2021-04-07,Redbridge,32679,15
2021-04-06,Redbridge,32664,18
2021-04-05,Redbridge,32646,12
2021-04-04,Redbridge,32634,16
2021-04-03,Redbridge,32618,14
2021-04-02,Redbridge,32604,5
2021-04-01,Redbridge,32599,14
2021-03-31,Redbridge,32585,13
2021-03-30,Redbridge,32572,17
2021-03-29,Redbridge,32555,13
2021-03-28,Redbridge,32542,17
2021-03-27,Redbridge,32525,19
2021-03-26,Redbridge,32506,20
2021-03-25,Redbridge,32486,21
2021-03-24,Redbridge,32465,32
2021-03-23,Redbridge,32433,18
2021-03-22,Redbridge,32415,24
2021-03-21,Redbridge,32391,16
2021-03-20,Redbridge,32375,16
2021-03-19,Redbridge,32359,32
2021-03-18,Redbridge,32327,24
2021-03-17,Redbridge,32303,17
2021-03-16,Redbridge,32286,25
2021-03-15,Redbridge,32261,30
2021-03-14,Redbridge,32231,13
2021-03-13,Redbridge,32218,13
2021-03-12,Redbridge,32205,14
2021-03-11,Redbridge,32191,17
2021-03-10,Redbridge,32174,29
2021-03-09,Redbridge,32145,20
2021-03-08,Redbridge,32125,18
2021-03-07,Redbridge,32107,18
2021-03-06,Redbridge,32089,21
2021-03-05,Redbridge,32068,22
2021-03-04,Redbridge,32046,17
2021-03-03,Redbridge,32029,24
2021-03-02,Redbridge,32005,27
2021-03-01,Redbridge,31978,22
2021-02-28,Redbridge,31956,12
2021-02-27,Redbridge,31944,21
2021-02-26,Redbridge,31923,26
2021-02-25,Redbridge,31897,21
2021-02-24,Redbridge,31876,29
2021-02-23,Redbridge,31847,30
2021-02-22,Redbridge,31817,48
2021-02-21,Redbridge,31769,30
2021-02-20,Redbridge,31739,36
2021-02-19,Redbridge,31703,30
2021-02-18,Redbridge,31673,30
2021-02-17,Redbridge,31643,44
2021-02-16,Redbridge,31599,54
2021-02-15,Redbridge,31545,73
2021-02-14,Redbridge,31472,34
2021-02-13,Redbridge,31438,34
2021-02-12,Redbridge,31404,45
2021-02-11,Redbridge,31359,49
2021-02-10,Redbridge,31310,50
2021-02-09,Redbridge,31260,59
2021-02-08,Redbridge,31201,49
2021-02-07,Redbridge,31152,51
2021-02-06,Redbridge,31101,55
2021-02-05,Redbridge,31046,77
2021-02-04,Redbridge,30969,88
2021-02-03,Redbridge,30881,87
2021-02-02,Redbridge,30794,111
