date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Richmond upon Thames,10817,2
2021-04-18,Richmond upon Thames,10815,5
2021-04-17,Richmond upon Thames,10810,5
2021-04-16,Richmond upon Thames,10805,4
2021-04-15,Richmond upon Thames,10801,5
2021-04-14,Richmond upon Thames,10796,4
2021-04-13,Richmond upon Thames,10792,5
2021-04-12,Richmond upon Thames,10787,9
2021-04-11,Richmond upon Thames,10778,8
2021-04-10,Richmond upon Thames,10770,6
2021-04-09,Richmond upon Thames,10764,4
2021-04-08,Richmond upon Thames,10760,6
2021-04-07,Richmond upon Thames,10754,5
2021-04-06,Richmond upon Thames,10749,9
2021-04-05,Richmond upon Thames,10740,6
2021-04-04,Richmond upon Thames,10734,7
2021-04-03,Richmond upon Thames,10727,11
2021-04-02,Richmond upon Thames,10716,3
2021-04-01,Richmond upon Thames,10713,5
2021-03-31,Richmond upon Thames,10708,9
2021-03-30,Richmond upon Thames,10699,12
2021-03-29,Richmond upon Thames,10687,5
2021-03-28,Richmond upon Thames,10682,15
2021-03-27,Richmond upon Thames,10667,7
2021-03-26,Richmond upon Thames,10660,8
2021-03-25,Richmond upon Thames,10652,6
2021-03-24,Richmond upon Thames,10646,14
2021-03-23,Richmond upon Thames,10632,8
2021-03-22,Richmond upon Thames,10624,9
2021-03-21,Richmond upon Thames,10615,0
2021-03-20,Richmond upon Thames,10615,12
2021-03-19,Richmond upon Thames,10603,9
2021-03-18,Richmond upon Thames,10594,15
2021-03-17,Richmond upon Thames,10579,10
2021-03-16,Richmond upon Thames,10569,10
2021-03-15,Richmond upon Thames,10559,11
2021-03-14,Richmond upon Thames,10548,6
2021-03-13,Richmond upon Thames,10542,6
2021-03-12,Richmond upon Thames,10536,9
2021-03-11,Richmond upon Thames,10527,7
2021-03-10,Richmond upon Thames,10520,11
2021-03-09,Richmond upon Thames,10509,8
2021-03-08,Richmond upon Thames,10501,10
2021-03-07,Richmond upon Thames,10491,8
2021-03-06,Richmond upon Thames,10483,5
2021-03-05,Richmond upon Thames,10478,14
2021-03-04,Richmond upon Thames,10464,5
2021-03-03,Richmond upon Thames,10459,10
2021-03-02,Richmond upon Thames,10449,14
2021-03-01,Richmond upon Thames,10435,7
2021-02-28,Richmond upon Thames,10428,11
2021-02-27,Richmond upon Thames,10417,8
2021-02-26,Richmond upon Thames,10409,17
2021-02-25,Richmond upon Thames,10392,12
2021-02-24,Richmond upon Thames,10380,12
2021-02-23,Richmond upon Thames,10368,16
2021-02-22,Richmond upon Thames,10352,21
2021-02-21,Richmond upon Thames,10331,8
2021-02-20,Richmond upon Thames,10323,11
2021-02-19,Richmond upon Thames,10312,29
2021-02-18,Richmond upon Thames,10283,19
2021-02-17,Richmond upon Thames,10264,16
2021-02-16,Richmond upon Thames,10248,15
2021-02-15,Richmond upon Thames,10233,30
2021-02-14,Richmond upon Thames,10203,15
2021-02-13,Richmond upon Thames,10188,13
2021-02-12,Richmond upon Thames,10175,23
2021-02-11,Richmond upon Thames,10152,19
2021-02-10,Richmond upon Thames,10133,26
