date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Southwark,22380,5
2021-04-18,Southwark,22375,13
2021-04-17,Southwark,22362,3
2021-04-16,Southwark,22359,7
2021-04-15,Southwark,22352,6
2021-04-14,Southwark,22346,6
2021-04-13,Southwark,22340,9
2021-04-12,Southwark,22331,6
2021-04-11,Southwark,22325,8
2021-04-10,Southwark,22317,3
2021-04-09,Southwark,22314,5
2021-04-08,Southwark,22309,3
2021-04-07,Southwark,22306,9
2021-04-06,Southwark,22297,2
2021-04-05,Southwark,22295,6
2021-04-04,Southwark,22289,1
2021-04-03,Southwark,22288,3
2021-04-02,Southwark,22285,2
2021-04-01,Southwark,22283,9
2021-03-31,Southwark,22274,3
2021-03-30,Southwark,22271,4
2021-03-29,Southwark,22267,12
2021-03-28,Southwark,22255,15
2021-03-27,Southwark,22240,4
2021-03-26,Southwark,22236,6
2021-03-25,Southwark,22230,6
2021-03-24,Southwark,22224,14
2021-03-23,Southwark,22210,17
2021-03-22,Southwark,22193,7
2021-03-21,Southwark,22186,10
2021-03-20,Southwark,22176,5
2021-03-19,Southwark,22171,9
2021-03-18,Southwark,22162,14
2021-03-17,Southwark,22148,11
2021-03-16,Southwark,22137,12
2021-03-15,Southwark,22125,14
2021-03-14,Southwark,22111,8
2021-03-13,Southwark,22103,10
2021-03-12,Southwark,22093,13
2021-03-11,Southwark,22080,9
2021-03-10,Southwark,22071,11
2021-03-09,Southwark,22060,8
2021-03-08,Southwark,22052,6
2021-03-07,Southwark,22046,8
2021-03-06,Southwark,22038,8
2021-03-05,Southwark,22030,18
2021-03-04,Southwark,22012,17
2021-03-03,Southwark,21995,14
2021-03-02,Southwark,21981,13
2021-03-01,Southwark,21968,21
2021-02-28,Southwark,21947,14
2021-02-27,Southwark,21933,14
2021-02-26,Southwark,21919,9
2021-02-25,Southwark,21910,8
2021-02-24,Southwark,21902,24
2021-02-23,Southwark,21878,21
2021-02-22,Southwark,21857,17
2021-02-21,Southwark,21840,23
2021-02-20,Southwark,21817,15
2021-02-19,Southwark,21802,24
2021-02-18,Southwark,21778,35
2021-02-17,Southwark,21743,21
2021-02-16,Southwark,21722,35
2021-02-15,Southwark,21687,27
2021-02-14,Southwark,21660,28
2021-02-13,Southwark,21632,22
2021-02-12,Southwark,21610,43
2021-02-11,Southwark,21567,26
2021-02-10,Southwark,21541,42
2021-02-09,Southwark,21499,27
2021-02-08,Southwark,21472,56
2021-02-07,Southwark,21416,32
2021-02-06,Southwark,21384,36
2021-02-05,Southwark,21348,53
2021-02-04,Southwark,21295,80
2021-02-03,Southwark,21215,70
2021-02-02,Southwark,21145,93
2021-02-01,Southwark,21052,86
2021-01-31,Southwark,20966,59
2021-01-30,Southwark,20907,66
2021-01-29,Southwark,20841,126
2021-01-28,Southwark,20715,121
2021-01-27,Southwark,20594,142
2021-01-26,Southwark,20452,130
2021-01-25,Southwark,20322,154
2021-01-24,Southwark,20168,89
2021-01-23,Southwark,20079,123
2021-01-22,Southwark,19956,195
2021-01-21,Southwark,19761,164
2021-01-20,Southwark,19597,186
2021-01-19,Southwark,19411,247
2021-01-18,Southwark,19164,252
2021-01-17,Southwark,18912,147
2021-01-16,Southwark,18765,154
2021-01-15,Southwark,18611,305
2021-01-14,Southwark,18306,302
2021-01-13,Southwark,18004,321
2021-01-12,Southwark,17683,383
2021-01-11,Southwark,17300,375
2021-01-10,Southwark,16925,228
2021-01-09,Southwark,16697,276
2021-01-08,Southwark,16421,401
2021-01-07,Southwark,16020,450
2021-01-06,Southwark,15570,486
2021-01-05,Southwark,15084,591
2021-01-04,Southwark,14493,651
2021-01-03,Southwark,13842,460
2021-01-02,Southwark,13382,444
2021-01-01,Southwark,12938,183
2020-12-31,Southwark,12755,415
2020-12-30,Southwark,12340,550
2020-12-29,Southwark,11790,698
2020-12-28,Southwark,11092,351
2020-12-27,Southwark,10741,371
2020-12-26,Southwark,10370,383
2020-12-25,Southwark,9987,89
2020-12-24,Southwark,9898,290
2020-12-23,Southwark,9608,380
2020-12-22,Southwark,9228,461
2020-12-21,Southwark,8767,472
2020-12-20,Southwark,8295,268
2020-12-19,Southwark,8027,247
2020-12-18,Southwark,7780,386
2020-12-17,Southwark,7394,329
2020-12-16,Southwark,7065,316
2020-12-15,Southwark,6749,270
2020-12-14,Southwark,6479,239
2020-12-13,Southwark,6240,137
2020-12-12,Southwark,6103,110
2020-12-11,Southwark,5993,156
2020-12-10,Southwark,5837,146
2020-12-09,Southwark,5691,122
2020-12-08,Southwark,5569,121
2020-12-07,Southwark,5448,107
2020-12-06,Southwark,5341,45
2020-12-05,Southwark,5296,60
2020-12-04,Southwark,5236,67
2020-12-03,Southwark,5169,69
