date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Sutton,15889,4
2021-04-18,Sutton,15885,6
2021-04-17,Sutton,15879,3
2021-04-16,Sutton,15876,3
2021-04-15,Sutton,15873,4
2021-04-14,Sutton,15869,7
2021-04-13,Sutton,15862,4
2021-04-12,Sutton,15858,6
2021-04-11,Sutton,15852,3
2021-04-10,Sutton,15849,6
2021-04-09,Sutton,15843,2
2021-04-08,Sutton,15841,3
2021-04-07,Sutton,15838,4
2021-04-06,Sutton,15834,4
2021-04-05,Sutton,15830,7
2021-04-04,Sutton,15823,4
2021-04-03,Sutton,15819,4
2021-04-02,Sutton,15815,2
2021-04-01,Sutton,15813,3
2021-03-31,Sutton,15810,9
2021-03-30,Sutton,15801,2
2021-03-29,Sutton,15799,7
2021-03-28,Sutton,15792,16
2021-03-27,Sutton,15776,2
2021-03-26,Sutton,15774,10
2021-03-25,Sutton,15764,6
2021-03-24,Sutton,15758,13
2021-03-23,Sutton,15745,8
2021-03-22,Sutton,15737,12
2021-03-21,Sutton,15725,9
2021-03-20,Sutton,15716,5
2021-03-19,Sutton,15711,6
2021-03-18,Sutton,15705,12
2021-03-17,Sutton,15693,6
2021-03-16,Sutton,15687,12
2021-03-15,Sutton,15675,13
2021-03-14,Sutton,15662,12
2021-03-13,Sutton,15650,4
2021-03-12,Sutton,15646,14
2021-03-11,Sutton,15632,12
2021-03-10,Sutton,15620,17
2021-03-09,Sutton,15603,19
2021-03-08,Sutton,15584,13
2021-03-07,Sutton,15571,9
2021-03-06,Sutton,15562,7
2021-03-05,Sutton,15555,12
2021-03-04,Sutton,15543,9
2021-03-03,Sutton,15534,8
2021-03-02,Sutton,15526,26
2021-03-01,Sutton,15500,12
2021-02-28,Sutton,15488,13
2021-02-27,Sutton,15475,8
2021-02-26,Sutton,15467,19
2021-02-25,Sutton,15448,11
2021-02-24,Sutton,15437,21
2021-02-23,Sutton,15416,34
2021-02-22,Sutton,15382,31
2021-02-21,Sutton,15351,21
2021-02-20,Sutton,15330,17
2021-02-19,Sutton,15313,27
2021-02-18,Sutton,15286,23
2021-02-17,Sutton,15263,21
2021-02-16,Sutton,15242,31
2021-02-15,Sutton,15211,30
2021-02-14,Sutton,15181,19
2021-02-13,Sutton,15162,25
2021-02-12,Sutton,15137,32
2021-02-11,Sutton,15105,41
2021-02-10,Sutton,15064,48
2021-02-09,Sutton,15016,34
2021-02-08,Sutton,14982,37
2021-02-07,Sutton,14945,30
2021-02-06,Sutton,14915,25
2021-02-05,Sutton,14890,48
2021-02-04,Sutton,14842,57
2021-02-03,Sutton,14785,76
2021-02-02,Sutton,14709,93
2021-02-01,Sutton,14616,97
2021-01-31,Sutton,14519,62
2021-01-30,Sutton,14457,68
2021-01-29,Sutton,14389,81
2021-01-28,Sutton,14308,99
2021-01-27,Sutton,14209,104
2021-01-26,Sutton,14105,95
2021-01-25,Sutton,14010,126
2021-01-24,Sutton,13884,60
2021-01-23,Sutton,13824,94
2021-01-22,Sutton,13730,135
2021-01-21,Sutton,13595,140
2021-01-20,Sutton,13455,129
2021-01-19,Sutton,13326,142
2021-01-18,Sutton,13184,242
2021-01-17,Sutton,12942,131
2021-01-16,Sutton,12811,151
2021-01-15,Sutton,12660,148
2021-01-14,Sutton,12512,207
2021-01-13,Sutton,12305,218
2021-01-12,Sutton,12087,224
2021-01-11,Sutton,11863,286
2021-01-10,Sutton,11577,147
2021-01-09,Sutton,11430,189
2021-01-08,Sutton,11241,210
2021-01-07,Sutton,11031,245
2021-01-06,Sutton,10786,270
2021-01-05,Sutton,10516,281
2021-01-04,Sutton,10235,357
2021-01-03,Sutton,9878,307
2021-01-02,Sutton,9571,322
2021-01-01,Sutton,9249,194
2020-12-31,Sutton,9055,274
2020-12-30,Sutton,8781,461
2020-12-29,Sutton,8320,513
2020-12-28,Sutton,7807,250
2020-12-27,Sutton,7557,346
2020-12-26,Sutton,7211,266
2020-12-25,Sutton,6945,103
2020-12-24,Sutton,6842,242
2020-12-23,Sutton,6600,266
2020-12-22,Sutton,6334,315
2020-12-21,Sutton,6019,276
2020-12-20,Sutton,5743,227
2020-12-19,Sutton,5516,118
2020-12-18,Sutton,5398,217
2020-12-17,Sutton,5181,199
2020-12-16,Sutton,4982,190
2020-12-15,Sutton,4792,174
2020-12-14,Sutton,4618,180
2020-12-13,Sutton,4438,123
2020-12-12,Sutton,4315,89
2020-12-11,Sutton,4226,125
2020-12-10,Sutton,4101,130
2020-12-09,Sutton,3971,105
2020-12-08,Sutton,3866,90
2020-12-07,Sutton,3776,56
2020-12-06,Sutton,3720,51
2020-12-05,Sutton,3669,50
2020-12-04,Sutton,3619,72
2020-12-03,Sutton,3547,47
2020-12-02,Sutton,3500,77
2020-12-01,Sutton,3423,38
2020-11-30,Sutton,3385,54
2020-11-29,Sutton,3331,42
2020-11-28,Sutton,3289,32
2020-11-27,Sutton,3257,35
2020-11-26,Sutton,3222,47
2020-11-25,Sutton,3175,51
2020-11-24,Sutton,3124,41
2020-11-23,Sutton,3083,32
2020-11-22,Sutton,3051,23
2020-11-21,Sutton,3028,38
2020-11-20,Sutton,2990,37
2020-11-19,Sutton,2953,38
2020-11-18,Sutton,2915,45
2020-11-17,Sutton,2870,45
2020-11-16,Sutton,2825,58
2020-11-15,Sutton,2767,39
2020-11-14,Sutton,2728,44
2020-11-13,Sutton,2684,48
2020-11-12,Sutton,2636,63
2020-11-11,Sutton,2573,72
2020-11-10,Sutton,2501,55
2020-11-09,Sutton,2446,63
2020-11-08,Sutton,2383,32
2020-11-07,Sutton,2351,27
2020-11-06,Sutton,2324,58
2020-11-05,Sutton,2266,38
2020-11-04,Sutton,2228,49
2020-11-03,Sutton,2179,53
2020-11-02,Sutton,2126,42
2020-11-01,Sutton,2084,32
2020-10-31,Sutton,2052,21
2020-10-30,Sutton,2031,33
2020-10-29,Sutton,1998,42
2020-10-28,Sutton,1956,26
2020-10-27,Sutton,1930,36
2020-10-26,Sutton,1894,46
2020-10-25,Sutton,1848,27
2020-10-24,Sutton,1821,35
2020-10-23,Sutton,1786,36
2020-10-22,Sutton,1750,49
2020-10-21,Sutton,1701,27
2020-10-20,Sutton,1674,30
2020-10-19,Sutton,1644,49
2020-10-18,Sutton,1595,21
2020-10-17,Sutton,1574,17
2020-10-16,Sutton,1557,29
2020-10-15,Sutton,1528,32
2020-10-14,Sutton,1496,21
2020-10-13,Sutton,1475,34
2020-10-12,Sutton,1441,17
2020-10-11,Sutton,1424,13
2020-10-10,Sutton,1411,12
2020-10-09,Sutton,1399,32
2020-10-08,Sutton,1367,25
2020-10-07,Sutton,1342,27
2020-10-06,Sutton,1315,17
2020-10-05,Sutton,1298,17
2020-10-04,Sutton,1281,8
2020-10-03,Sutton,1273,9
2020-10-02,Sutton,1264,13
2020-10-01,Sutton,1251,11
2020-09-30,Sutton,1240,11
2020-09-29,Sutton,1229,10
2020-09-28,Sutton,1219,7
2020-09-27,Sutton,1212,3
2020-09-26,Sutton,1209,11
2020-09-25,Sutton,1198,5
2020-09-24,Sutton,1193,3
2020-09-23,Sutton,1190,4
2020-09-22,Sutton,1186,13
2020-09-21,Sutton,1173,7
