date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Tower Hamlets,28762,7
2021-04-18,Tower Hamlets,28755,9
2021-04-17,Tower Hamlets,28746,8
2021-04-16,Tower Hamlets,28738,7
2021-04-15,Tower Hamlets,28731,10
2021-04-14,Tower Hamlets,28721,12
2021-04-13,Tower Hamlets,28709,15
2021-04-12,Tower Hamlets,28694,8
2021-04-11,Tower Hamlets,28686,18
2021-04-10,Tower Hamlets,28668,7
2021-04-09,Tower Hamlets,28661,18
2021-04-08,Tower Hamlets,28643,17
2021-04-07,Tower Hamlets,28626,12
2021-04-06,Tower Hamlets,28614,9
2021-04-05,Tower Hamlets,28605,10
2021-04-04,Tower Hamlets,28595,9
2021-04-03,Tower Hamlets,28586,6
2021-04-02,Tower Hamlets,28580,11
2021-04-01,Tower Hamlets,28569,14
2021-03-31,Tower Hamlets,28555,7
2021-03-30,Tower Hamlets,28548,12
2021-03-29,Tower Hamlets,28536,21
2021-03-28,Tower Hamlets,28515,16
2021-03-27,Tower Hamlets,28499,14
2021-03-26,Tower Hamlets,28485,14
2021-03-25,Tower Hamlets,28471,17
2021-03-24,Tower Hamlets,28454,17
2021-03-23,Tower Hamlets,28437,17
2021-03-22,Tower Hamlets,28420,18
2021-03-21,Tower Hamlets,28402,7
2021-03-20,Tower Hamlets,28395,16
2021-03-19,Tower Hamlets,28379,10
2021-03-18,Tower Hamlets,28369,19
2021-03-17,Tower Hamlets,28350,19
2021-03-16,Tower Hamlets,28331,24
2021-03-15,Tower Hamlets,28307,17
2021-03-14,Tower Hamlets,28290,7
2021-03-13,Tower Hamlets,28283,9
2021-03-12,Tower Hamlets,28274,21
2021-03-11,Tower Hamlets,28253,13
2021-03-10,Tower Hamlets,28240,9
2021-03-09,Tower Hamlets,28231,12
2021-03-08,Tower Hamlets,28219,29
2021-03-07,Tower Hamlets,28190,11
2021-03-06,Tower Hamlets,28179,18
2021-03-05,Tower Hamlets,28161,24
2021-03-04,Tower Hamlets,28137,11
2021-03-03,Tower Hamlets,28126,20
2021-03-02,Tower Hamlets,28106,21
2021-03-01,Tower Hamlets,28085,14
2021-02-28,Tower Hamlets,28071,10
2021-02-27,Tower Hamlets,28061,18
2021-02-26,Tower Hamlets,28043,16
2021-02-25,Tower Hamlets,28027,19
2021-02-24,Tower Hamlets,28008,19
2021-02-23,Tower Hamlets,27989,23
2021-02-22,Tower Hamlets,27966,33
2021-02-21,Tower Hamlets,27933,17
2021-02-20,Tower Hamlets,27916,19
2021-02-19,Tower Hamlets,27897,41
2021-02-18,Tower Hamlets,27856,25
2021-02-17,Tower Hamlets,27831,29
2021-02-16,Tower Hamlets,27802,19
2021-02-15,Tower Hamlets,27783,32
2021-02-14,Tower Hamlets,27751,11
2021-02-13,Tower Hamlets,27740,19
2021-02-12,Tower Hamlets,27721,28
2021-02-11,Tower Hamlets,27693,38
2021-02-10,Tower Hamlets,27655,33
2021-02-09,Tower Hamlets,27622,45
2021-02-08,Tower Hamlets,27577,46
2021-02-07,Tower Hamlets,27531,28
2021-02-06,Tower Hamlets,27503,28
2021-02-05,Tower Hamlets,27475,60
2021-02-04,Tower Hamlets,27415,48
2021-02-03,Tower Hamlets,27367,55
2021-02-02,Tower Hamlets,27312,52
2021-02-01,Tower Hamlets,27260,96
2021-01-31,Tower Hamlets,27164,46
2021-01-30,Tower Hamlets,27118,85
2021-01-29,Tower Hamlets,27033,91
2021-01-28,Tower Hamlets,26942,106
2021-01-27,Tower Hamlets,26836,84
2021-01-26,Tower Hamlets,26752,113
2021-01-25,Tower Hamlets,26639,127
2021-01-24,Tower Hamlets,26512,105
2021-01-23,Tower Hamlets,26407,117
2021-01-22,Tower Hamlets,26290,195
2021-01-21,Tower Hamlets,26095,182
2021-01-20,Tower Hamlets,25913,226
2021-01-19,Tower Hamlets,25687,237
2021-01-18,Tower Hamlets,25450,261
2021-01-17,Tower Hamlets,25189,181
2021-01-16,Tower Hamlets,25008,205
2021-01-15,Tower Hamlets,24803,331
2021-01-14,Tower Hamlets,24472,312
2021-01-13,Tower Hamlets,24160,334
2021-01-12,Tower Hamlets,23826,386
2021-01-11,Tower Hamlets,23440,493
2021-01-10,Tower Hamlets,22947,289
2021-01-09,Tower Hamlets,22658,378
2021-01-08,Tower Hamlets,22280,420
2021-01-07,Tower Hamlets,21860,450
2021-01-06,Tower Hamlets,21410,563
2021-01-05,Tower Hamlets,20847,613
2021-01-04,Tower Hamlets,20234,728
2021-01-03,Tower Hamlets,19506,552
2021-01-02,Tower Hamlets,18954,548
2021-01-01,Tower Hamlets,18406,322
2020-12-31,Tower Hamlets,18084,513
2020-12-30,Tower Hamlets,17571,863
2020-12-29,Tower Hamlets,16708,823
2020-12-28,Tower Hamlets,15885,471
2020-12-27,Tower Hamlets,15414,601
2020-12-26,Tower Hamlets,14813,468
2020-12-25,Tower Hamlets,14345,227
2020-12-24,Tower Hamlets,14118,303
2020-12-23,Tower Hamlets,13815,595
2020-12-22,Tower Hamlets,13220,601
2020-12-21,Tower Hamlets,12619,615
2020-12-20,Tower Hamlets,12004,372
2020-12-19,Tower Hamlets,11632,335
2020-12-18,Tower Hamlets,11297,489
2020-12-17,Tower Hamlets,10808,496
2020-12-16,Tower Hamlets,10312,442
2020-12-15,Tower Hamlets,9870,401
2020-12-14,Tower Hamlets,9469,369
2020-12-13,Tower Hamlets,9100,252
2020-12-12,Tower Hamlets,8848,224
2020-12-11,Tower Hamlets,8624,251
2020-12-10,Tower Hamlets,8373,244
2020-12-09,Tower Hamlets,8129,170
2020-12-08,Tower Hamlets,7959,172
2020-12-07,Tower Hamlets,7787,164
2020-12-06,Tower Hamlets,7623,116
2020-12-05,Tower Hamlets,7507,108
2020-12-04,Tower Hamlets,7399,144
2020-12-03,Tower Hamlets,7255,118
2020-12-02,Tower Hamlets,7137,108
2020-12-01,Tower Hamlets,7029,119
2020-11-30,Tower Hamlets,6910,122
2020-11-29,Tower Hamlets,6788,68
2020-11-28,Tower Hamlets,6720,57
2020-11-27,Tower Hamlets,6663,107
2020-11-26,Tower Hamlets,6556,97
2020-11-25,Tower Hamlets,6459,118
2020-11-24,Tower Hamlets,6341,89
2020-11-23,Tower Hamlets,6252,132
2020-11-22,Tower Hamlets,6120,54
2020-11-21,Tower Hamlets,6066,74
2020-11-20,Tower Hamlets,5992,108
2020-11-19,Tower Hamlets,5884,97
2020-11-18,Tower Hamlets,5787,117
2020-11-17,Tower Hamlets,5670,119
2020-11-16,Tower Hamlets,5551,139
2020-11-15,Tower Hamlets,5412,92
2020-11-14,Tower Hamlets,5320,76
2020-11-13,Tower Hamlets,5244,147
2020-11-12,Tower Hamlets,5097,116
2020-11-11,Tower Hamlets,4981,156
2020-11-10,Tower Hamlets,4825,130
2020-11-09,Tower Hamlets,4695,156
2020-11-08,Tower Hamlets,4539,92
2020-11-07,Tower Hamlets,4447,70
2020-11-06,Tower Hamlets,4377,126
2020-11-05,Tower Hamlets,4251,91
2020-11-04,Tower Hamlets,4160,106
2020-11-03,Tower Hamlets,4054,91
2020-11-02,Tower Hamlets,3963,151
2020-11-01,Tower Hamlets,3812,61
2020-10-31,Tower Hamlets,3751,81
2020-10-30,Tower Hamlets,3670,75
2020-10-29,Tower Hamlets,3595,76
2020-10-28,Tower Hamlets,3519,105
2020-10-27,Tower Hamlets,3414,90
2020-10-26,Tower Hamlets,3324,126
2020-10-25,Tower Hamlets,3198,35
2020-10-24,Tower Hamlets,3163,61
2020-10-23,Tower Hamlets,3102,99
2020-10-22,Tower Hamlets,3003,88
2020-10-21,Tower Hamlets,2915,113
2020-10-20,Tower Hamlets,2802,86
2020-10-19,Tower Hamlets,2716,88
2020-10-18,Tower Hamlets,2628,59
2020-10-17,Tower Hamlets,2569,51
2020-10-16,Tower Hamlets,2518,66
2020-10-15,Tower Hamlets,2452,78
2020-10-14,Tower Hamlets,2374,75
2020-10-13,Tower Hamlets,2299,47
2020-10-12,Tower Hamlets,2252,75
2020-10-11,Tower Hamlets,2177,38
2020-10-10,Tower Hamlets,2139,34
2020-10-09,Tower Hamlets,2105,41
2020-10-08,Tower Hamlets,2064,64
2020-10-07,Tower Hamlets,2000,63
2020-10-06,Tower Hamlets,1937,60
2020-10-05,Tower Hamlets,1877,52
2020-10-04,Tower Hamlets,1825,33
2020-10-03,Tower Hamlets,1792,48
2020-10-02,Tower Hamlets,1744,48
2020-10-01,Tower Hamlets,1696,56
2020-09-30,Tower Hamlets,1640,50
2020-09-29,Tower Hamlets,1590,39
2020-09-28,Tower Hamlets,1551,31
2020-09-27,Tower Hamlets,1520,28
2020-09-26,Tower Hamlets,1492,24
