date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Waltham Forest,24874,5
2021-04-18,Waltham Forest,24869,6
2021-04-17,Waltham Forest,24863,3
2021-04-16,Waltham Forest,24860,10
2021-04-15,Waltham Forest,24850,4
2021-04-14,Waltham Forest,24846,9
2021-04-13,Waltham Forest,24837,6
2021-04-12,Waltham Forest,24831,15
2021-04-11,Waltham Forest,24816,3
2021-04-10,Waltham Forest,24813,5
2021-04-09,Waltham Forest,24808,10
2021-04-08,Waltham Forest,24798,13
2021-04-07,Waltham Forest,24785,10
2021-04-06,Waltham Forest,24775,8
2021-04-05,Waltham Forest,24767,5
2021-04-04,Waltham Forest,24762,4
2021-04-03,Waltham Forest,24758,3
2021-04-02,Waltham Forest,24755,7
2021-04-01,Waltham Forest,24748,11
2021-03-31,Waltham Forest,24737,16
2021-03-30,Waltham Forest,24721,10
2021-03-29,Waltham Forest,24711,11
2021-03-28,Waltham Forest,24700,14
2021-03-27,Waltham Forest,24686,9
2021-03-26,Waltham Forest,24677,8
2021-03-25,Waltham Forest,24669,13
2021-03-24,Waltham Forest,24656,18
2021-03-23,Waltham Forest,24638,17
2021-03-22,Waltham Forest,24621,11
2021-03-21,Waltham Forest,24610,13
2021-03-20,Waltham Forest,24597,12
2021-03-19,Waltham Forest,24585,17
2021-03-18,Waltham Forest,24568,12
2021-03-17,Waltham Forest,24556,16
2021-03-16,Waltham Forest,24540,17
2021-03-15,Waltham Forest,24523,11
2021-03-14,Waltham Forest,24512,6
2021-03-13,Waltham Forest,24506,8
2021-03-12,Waltham Forest,24498,10
2021-03-11,Waltham Forest,24488,12
2021-03-10,Waltham Forest,24476,24
2021-03-09,Waltham Forest,24452,31
2021-03-08,Waltham Forest,24421,15
2021-03-07,Waltham Forest,24406,18
2021-03-06,Waltham Forest,24388,10
2021-03-05,Waltham Forest,24378,18
2021-03-04,Waltham Forest,24360,20
2021-03-03,Waltham Forest,24340,16
2021-03-02,Waltham Forest,24324,18
2021-03-01,Waltham Forest,24306,21
2021-02-28,Waltham Forest,24285,15
2021-02-27,Waltham Forest,24270,15
2021-02-26,Waltham Forest,24255,29
2021-02-25,Waltham Forest,24226,16
2021-02-24,Waltham Forest,24210,18
2021-02-23,Waltham Forest,24192,24
2021-02-22,Waltham Forest,24168,28
2021-02-21,Waltham Forest,24140,10
2021-02-20,Waltham Forest,24130,27
2021-02-19,Waltham Forest,24103,20
2021-02-18,Waltham Forest,24083,26
2021-02-17,Waltham Forest,24057,33
2021-02-16,Waltham Forest,24024,41
2021-02-15,Waltham Forest,23983,47
2021-02-14,Waltham Forest,23936,19
2021-02-13,Waltham Forest,23917,41
2021-02-12,Waltham Forest,23876,39
2021-02-11,Waltham Forest,23837,47
2021-02-10,Waltham Forest,23790,35
2021-02-09,Waltham Forest,23755,44
2021-02-08,Waltham Forest,23711,62
2021-02-07,Waltham Forest,23649,35
2021-02-06,Waltham Forest,23614,52
2021-02-05,Waltham Forest,23562,64
2021-02-04,Waltham Forest,23498,70
2021-02-03,Waltham Forest,23428,72
2021-02-02,Waltham Forest,23356,78
2021-02-01,Waltham Forest,23278,96
2021-01-31,Waltham Forest,23182,55
2021-01-30,Waltham Forest,23127,97
2021-01-29,Waltham Forest,23030,89
2021-01-28,Waltham Forest,22941,93
2021-01-27,Waltham Forest,22848,137
2021-01-26,Waltham Forest,22711,129
2021-01-25,Waltham Forest,22582,147
2021-01-24,Waltham Forest,22435,97
2021-01-23,Waltham Forest,22338,154
2021-01-22,Waltham Forest,22184,194
2021-01-21,Waltham Forest,21990,215
2021-01-20,Waltham Forest,21775,208
2021-01-19,Waltham Forest,21567,210
2021-01-18,Waltham Forest,21357,302
2021-01-17,Waltham Forest,21055,149
2021-01-16,Waltham Forest,20906,230
2021-01-15,Waltham Forest,20676,285
2021-01-14,Waltham Forest,20391,282
2021-01-13,Waltham Forest,20109,321
2021-01-12,Waltham Forest,19788,320
2021-01-11,Waltham Forest,19468,436
2021-01-10,Waltham Forest,19032,237
2021-01-09,Waltham Forest,18795,251
2021-01-08,Waltham Forest,18544,373
2021-01-07,Waltham Forest,18171,411
2021-01-06,Waltham Forest,17760,485
2021-01-05,Waltham Forest,17275,439
2021-01-04,Waltham Forest,16836,630
2021-01-03,Waltham Forest,16206,507
2021-01-02,Waltham Forest,15699,459
2021-01-01,Waltham Forest,15240,250
2020-12-31,Waltham Forest,14990,393
2020-12-30,Waltham Forest,14597,571
2020-12-29,Waltham Forest,14026,677
2020-12-28,Waltham Forest,13349,371
2020-12-27,Waltham Forest,12978,449
2020-12-26,Waltham Forest,12529,437
2020-12-25,Waltham Forest,12092,120
2020-12-24,Waltham Forest,11972,338
2020-12-23,Waltham Forest,11634,411
2020-12-22,Waltham Forest,11223,428
2020-12-21,Waltham Forest,10795,424
2020-12-20,Waltham Forest,10371,345
2020-12-19,Waltham Forest,10026,349
2020-12-18,Waltham Forest,9677,431
2020-12-17,Waltham Forest,9246,411
2020-12-16,Waltham Forest,8835,360
2020-12-15,Waltham Forest,8475,378
2020-12-14,Waltham Forest,8097,355
2020-12-13,Waltham Forest,7742,237
2020-12-12,Waltham Forest,7505,203
2020-12-11,Waltham Forest,7302,223
2020-12-10,Waltham Forest,7079,177
2020-12-09,Waltham Forest,6902,196
2020-12-08,Waltham Forest,6706,172
2020-12-07,Waltham Forest,6534,194
2020-12-06,Waltham Forest,6340,106
2020-12-05,Waltham Forest,6234,132
2020-12-04,Waltham Forest,6102,163
2020-12-03,Waltham Forest,5939,115
2020-12-02,Waltham Forest,5824,138
2020-12-01,Waltham Forest,5686,137
2020-11-30,Waltham Forest,5549,124
2020-11-29,Waltham Forest,5425,84
2020-11-28,Waltham Forest,5341,68
2020-11-27,Waltham Forest,5273,99
2020-11-26,Waltham Forest,5174,68
2020-11-25,Waltham Forest,5106,90
2020-11-24,Waltham Forest,5016,87
2020-11-23,Waltham Forest,4929,98
2020-11-22,Waltham Forest,4831,65
2020-11-21,Waltham Forest,4766,78
2020-11-20,Waltham Forest,4688,107
2020-11-19,Waltham Forest,4581,67
2020-11-18,Waltham Forest,4514,87
2020-11-17,Waltham Forest,4427,83
2020-11-16,Waltham Forest,4344,112
2020-11-15,Waltham Forest,4232,55
2020-11-14,Waltham Forest,4177,62
2020-11-13,Waltham Forest,4115,68
2020-11-12,Waltham Forest,4047,110
2020-11-11,Waltham Forest,3937,94
2020-11-10,Waltham Forest,3843,98
2020-11-09,Waltham Forest,3745,138
2020-11-08,Waltham Forest,3607,75
2020-11-07,Waltham Forest,3532,60
2020-11-06,Waltham Forest,3472,59
2020-11-05,Waltham Forest,3413,70
2020-11-04,Waltham Forest,3343,67
2020-11-03,Waltham Forest,3276,61
2020-11-02,Waltham Forest,3215,93
2020-11-01,Waltham Forest,3122,33
2020-10-31,Waltham Forest,3089,51
2020-10-30,Waltham Forest,3038,78
2020-10-29,Waltham Forest,2960,73
2020-10-28,Waltham Forest,2887,65
2020-10-27,Waltham Forest,2822,65
2020-10-26,Waltham Forest,2757,89
2020-10-25,Waltham Forest,2668,34
2020-10-24,Waltham Forest,2634,51
2020-10-23,Waltham Forest,2583,78
2020-10-22,Waltham Forest,2505,46
2020-10-21,Waltham Forest,2459,67
2020-10-20,Waltham Forest,2392,58
2020-10-19,Waltham Forest,2334,75
2020-10-18,Waltham Forest,2259,38
2020-10-17,Waltham Forest,2221,24
2020-10-16,Waltham Forest,2197,46
2020-10-15,Waltham Forest,2151,40
2020-10-14,Waltham Forest,2111,40
2020-10-13,Waltham Forest,2071,34
2020-10-12,Waltham Forest,2037,51
2020-10-11,Waltham Forest,1986,27
2020-10-10,Waltham Forest,1959,26
2020-10-09,Waltham Forest,1933,39
2020-10-08,Waltham Forest,1894,44
2020-10-07,Waltham Forest,1850,33
2020-10-06,Waltham Forest,1817,40
2020-10-05,Waltham Forest,1777,39
2020-10-04,Waltham Forest,1738,33
2020-10-03,Waltham Forest,1705,31
2020-10-02,Waltham Forest,1674,39
2020-10-01,Waltham Forest,1635,32
2020-09-30,Waltham Forest,1603,39
2020-09-29,Waltham Forest,1564,19
2020-09-28,Waltham Forest,1545,26
2020-09-27,Waltham Forest,1519,16
2020-09-26,Waltham Forest,1503,15
2020-09-25,Waltham Forest,1488,16
2020-09-24,Waltham Forest,1472,16
2020-09-23,Waltham Forest,1456,21
2020-09-22,Waltham Forest,1435,19
2020-09-21,Waltham Forest,1416,18
2020-09-20,Waltham Forest,1398,18
2020-09-19,Waltham Forest,1380,12
2020-09-18,Waltham Forest,1368,12
2020-09-17,Waltham Forest,1356,12
2020-09-16,Waltham Forest,1344,17
2020-09-15,Waltham Forest,1327,13
2020-09-14,Waltham Forest,1314,5
2020-09-13,Waltham Forest,1309,3
2020-09-12,Waltham Forest,1306,16
2020-09-11,Waltham Forest,1290,15
2020-09-10,Waltham Forest,1275,14
2020-09-09,Waltham Forest,1261,11
2020-09-08,Waltham Forest,1250,7
2020-09-07,Waltham Forest,1243,9
2020-09-06,Waltham Forest,1234,1
2020-09-05,Waltham Forest,1233,8
2020-09-04,Waltham Forest,1225,5
2020-09-03,Waltham Forest,1220,16
2020-09-02,Waltham Forest,1204,7
2020-09-01,Waltham Forest,1197,7
2020-08-31,Waltham Forest,1190,5
2020-08-30,Waltham Forest,1185,5
2020-08-29,Waltham Forest,1180,0
2020-08-28,Waltham Forest,1180,9
2020-08-27,Waltham Forest,1171,11
2020-08-26,Waltham Forest,1160,8
2020-08-25,Waltham Forest,1152,4
2020-08-24,Waltham Forest,1148,6
2020-08-23,Waltham Forest,1142,1
2020-08-22,Waltham Forest,1141,3
2020-08-21,Waltham Forest,1138,4
2020-08-20,Waltham Forest,1134,4
2020-08-19,Waltham Forest,1130,0
2020-08-18,Waltham Forest,1130,8
2020-08-17,Waltham Forest,1122,8
2020-08-16,Waltham Forest,1114,3
2020-08-15,Waltham Forest,1111,2
2020-08-14,Waltham Forest,1109,6
2020-08-13,Waltham Forest,1103,4
2020-08-12,Waltham Forest,1099,5
2020-08-11,Waltham Forest,1094,11
2020-08-10,Waltham Forest,1083,8
2020-08-09,Waltham Forest,1075,0
2020-08-08,Waltham Forest,1075,0
2020-08-07,Waltham Forest,1075,2
2020-08-06,Waltham Forest,1073,6
2020-08-05,Waltham Forest,1067,4
2020-08-04,Waltham Forest,1063,3
2020-08-03,Waltham Forest,1060,4
2020-08-02,Waltham Forest,1056,1
2020-08-01,Waltham Forest,1055,1
2020-07-31,Waltham Forest,1054,1
2020-07-30,Waltham Forest,1053,2
2020-07-29,Waltham Forest,1051,0
2020-07-28,Waltham Forest,1051,2
2020-07-27,Waltham Forest,1049,1
2020-07-26,Waltham Forest,1048,1
2020-07-25,Waltham Forest,1047,2
2020-07-24,Waltham Forest,1045,1
2020-07-23,Waltham Forest,1044,2
2020-07-22,Waltham Forest,1042,0
2020-07-21,Waltham Forest,1042,2
2020-07-20,Waltham Forest,1040,2
2020-07-19,Waltham Forest,1038,2
2020-07-18,Waltham Forest,1036,0
2020-07-17,Waltham Forest,1036,1
2020-07-16,Waltham Forest,1035,3
2020-07-15,Waltham Forest,1032,4
2020-07-14,Waltham Forest,1028,4
2020-07-13,Waltham Forest,1024,3
2020-07-12,Waltham Forest,1021,0
2020-07-11,Waltham Forest,1021,2
2020-07-10,Waltham Forest,1019,0
2020-07-09,Waltham Forest,1019,2
2020-07-08,Waltham Forest,1017,3
2020-07-07,Waltham Forest,1014,1
2020-07-06,Waltham Forest,1013,1
2020-07-05,Waltham Forest,1012,0
2020-07-04,Waltham Forest,1012,2
2020-07-03,Waltham Forest,1010,1
2020-07-02,Waltham Forest,1009,0
2020-07-01,Waltham Forest,1009,1
2020-06-30,Waltham Forest,1008,0
2020-06-29,Waltham Forest,1008,8
2020-06-28,Waltham Forest,1000,2
2020-06-27,Waltham Forest,998,1
2020-06-26,Waltham Forest,997,5
2020-06-25,Waltham Forest,992,1
2020-06-24,Waltham Forest,991,0
2020-06-23,Waltham Forest,991,2
2020-06-22,Waltham Forest,989,2
2020-06-21,Waltham Forest,987,1
2020-06-20,Waltham Forest,986,1
2020-06-19,Waltham Forest,985,3
2020-06-18,Waltham Forest,982,1
2020-06-17,Waltham Forest,981,2
2020-06-16,Waltham Forest,979,5
2020-06-15,Waltham Forest,974,2
2020-06-14,Waltham Forest,972,1
2020-06-13,Waltham Forest,971,0
2020-06-12,Waltham Forest,971,0
2020-06-11,Waltham Forest,971,4
2020-06-10,Waltham Forest,967,0
2020-06-09,Waltham Forest,967,1
2020-06-08,Waltham Forest,966,5
2020-06-07,Waltham Forest,961,2
2020-06-06,Waltham Forest,959,2
2020-06-05,Waltham Forest,957,1
2020-06-04,Waltham Forest,956,2
2020-06-03,Waltham Forest,954,0
2020-06-02,Waltham Forest,954,2
2020-06-01,Waltham Forest,952,0
2020-05-31,Waltham Forest,952,2
2020-05-30,Waltham Forest,950,1
2020-05-29,Waltham Forest,949,2
2020-05-28,Waltham Forest,947,2
2020-05-27,Waltham Forest,945,0
2020-05-26,Waltham Forest,945,1
2020-05-25,Waltham Forest,944,2
2020-05-24,Waltham Forest,942,1
2020-05-23,Waltham Forest,941,1
2020-05-22,Waltham Forest,940,2
2020-05-21,Waltham Forest,938,3
2020-05-20,Waltham Forest,935,1
2020-05-19,Waltham Forest,934,7
2020-05-18,Waltham Forest,927,2
2020-05-17,Waltham Forest,925,4
2020-05-16,Waltham Forest,921,2
2020-05-15,Waltham Forest,919,1
2020-05-14,Waltham Forest,918,2
2020-05-13,Waltham Forest,916,6
2020-05-12,Waltham Forest,910,2
2020-05-11,Waltham Forest,908,3
2020-05-10,Waltham Forest,905,2
2020-05-09,Waltham Forest,903,7
2020-05-08,Waltham Forest,896,5
2020-05-07,Waltham Forest,891,10
2020-05-06,Waltham Forest,881,10
2020-05-05,Waltham Forest,871,8
2020-05-04,Waltham Forest,863,11
2020-05-03,Waltham Forest,852,6
2020-05-02,Waltham Forest,846,4
2020-05-01,Waltham Forest,842,12
2020-04-30,Waltham Forest,830,10
2020-04-29,Waltham Forest,820,7
2020-04-28,Waltham Forest,813,3
2020-04-27,Waltham Forest,810,13
2020-04-26,Waltham Forest,797,12
2020-04-25,Waltham Forest,785,9
2020-04-24,Waltham Forest,776,15
2020-04-23,Waltham Forest,761,14
2020-04-22,Waltham Forest,747,9
2020-04-21,Waltham Forest,738,8
2020-04-20,Waltham Forest,730,15
2020-04-19,Waltham Forest,715,19
2020-04-18,Waltham Forest,696,15
2020-04-17,Waltham Forest,681,11
2020-04-16,Waltham Forest,670,13
2020-04-15,Waltham Forest,657,30
2020-04-14,Waltham Forest,627,23
2020-04-13,Waltham Forest,604,19
2020-04-12,Waltham Forest,585,22
2020-04-11,Waltham Forest,563,15
2020-04-10,Waltham Forest,548,24
2020-04-09,Waltham Forest,524,24
2020-04-08,Waltham Forest,500,23
2020-04-07,Waltham Forest,477,22
2020-04-06,Waltham Forest,455,26
2020-04-05,Waltham Forest,429,27
2020-04-04,Waltham Forest,402,23
2020-04-03,Waltham Forest,379,31
2020-04-02,Waltham Forest,348,27
2020-04-01,Waltham Forest,321,25
2020-03-31,Waltham Forest,296,39
2020-03-30,Waltham Forest,257,24
2020-03-29,Waltham Forest,233,24
2020-03-28,Waltham Forest,209,21
2020-03-27,Waltham Forest,188,27
2020-03-26,Waltham Forest,161,34
2020-03-25,Waltham Forest,127,24
2020-03-24,Waltham Forest,103,11
2020-03-23,Waltham Forest,92,21
2020-03-22,Waltham Forest,71,3
2020-03-21,Waltham Forest,68,12
2020-03-20,Waltham Forest,56,13
2020-03-19,Waltham Forest,43,9
