date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Wandsworth,22103,5
2021-04-18,Wandsworth,22098,16
2021-04-17,Wandsworth,22082,3
2021-04-16,Wandsworth,22079,10
2021-04-15,Wandsworth,22069,22
2021-04-14,Wandsworth,22047,12
2021-04-13,Wandsworth,22035,5
2021-04-12,Wandsworth,22030,14
2021-04-11,Wandsworth,22016,9
2021-04-10,Wandsworth,22007,20
2021-04-09,Wandsworth,21987,9
2021-04-08,Wandsworth,21978,11
2021-04-07,Wandsworth,21967,12
2021-04-06,Wandsworth,21955,13
2021-04-05,Wandsworth,21942,11
2021-04-04,Wandsworth,21931,6
2021-04-03,Wandsworth,21925,8
2021-04-02,Wandsworth,21917,14
2021-04-01,Wandsworth,21903,13
2021-03-31,Wandsworth,21890,15
2021-03-30,Wandsworth,21875,16
2021-03-29,Wandsworth,21859,11
2021-03-28,Wandsworth,21848,20
2021-03-27,Wandsworth,21828,7
2021-03-26,Wandsworth,21821,23
2021-03-25,Wandsworth,21798,13
2021-03-24,Wandsworth,21785,20
2021-03-23,Wandsworth,21765,22
2021-03-22,Wandsworth,21743,17
2021-03-21,Wandsworth,21726,15
2021-03-20,Wandsworth,21711,12
2021-03-19,Wandsworth,21699,21
2021-03-18,Wandsworth,21678,12
2021-03-17,Wandsworth,21666,19
2021-03-16,Wandsworth,21647,24
2021-03-15,Wandsworth,21623,25
2021-03-14,Wandsworth,21598,15
2021-03-13,Wandsworth,21583,6
2021-03-12,Wandsworth,21577,19
2021-03-11,Wandsworth,21558,19
2021-03-10,Wandsworth,21539,15
2021-03-09,Wandsworth,21524,11
2021-03-08,Wandsworth,21513,16
2021-03-07,Wandsworth,21497,12
2021-03-06,Wandsworth,21485,18
2021-03-05,Wandsworth,21467,13
2021-03-04,Wandsworth,21454,17
2021-03-03,Wandsworth,21437,23
2021-03-02,Wandsworth,21414,27
2021-03-01,Wandsworth,21387,20
2021-02-28,Wandsworth,21367,21
2021-02-27,Wandsworth,21346,17
2021-02-26,Wandsworth,21329,15
2021-02-25,Wandsworth,21314,33
2021-02-24,Wandsworth,21281,23
2021-02-23,Wandsworth,21258,29
2021-02-22,Wandsworth,21229,45
2021-02-21,Wandsworth,21184,32
2021-02-20,Wandsworth,21152,29
2021-02-19,Wandsworth,21123,18
2021-02-18,Wandsworth,21105,18
2021-02-17,Wandsworth,21087,38
2021-02-16,Wandsworth,21049,46
2021-02-15,Wandsworth,21003,55
2021-02-14,Wandsworth,20948,19
2021-02-13,Wandsworth,20929,17
2021-02-12,Wandsworth,20912,45
2021-02-11,Wandsworth,20867,51
2021-02-10,Wandsworth,20816,52
2021-02-09,Wandsworth,20764,58
2021-02-08,Wandsworth,20706,58
2021-02-07,Wandsworth,20648,44
2021-02-06,Wandsworth,20604,48
2021-02-05,Wandsworth,20556,72
2021-02-04,Wandsworth,20484,74
2021-02-03,Wandsworth,20410,91
2021-02-02,Wandsworth,20319,99
2021-02-01,Wandsworth,20220,112
2021-01-31,Wandsworth,20108,78
2021-01-30,Wandsworth,20030,78
2021-01-29,Wandsworth,19952,104
2021-01-28,Wandsworth,19848,97
2021-01-27,Wandsworth,19751,130
2021-01-26,Wandsworth,19621,123
2021-01-25,Wandsworth,19498,170
2021-01-24,Wandsworth,19328,79
2021-01-23,Wandsworth,19249,99
2021-01-22,Wandsworth,19150,146
2021-01-21,Wandsworth,19004,156
2021-01-20,Wandsworth,18848,182
2021-01-19,Wandsworth,18666,204
2021-01-18,Wandsworth,18462,227
2021-01-17,Wandsworth,18235,146
2021-01-16,Wandsworth,18089,174
2021-01-15,Wandsworth,17915,227
2021-01-14,Wandsworth,17688,310
2021-01-13,Wandsworth,17378,260
2021-01-12,Wandsworth,17118,282
2021-01-11,Wandsworth,16836,324
2021-01-10,Wandsworth,16512,211
2021-01-09,Wandsworth,16301,257
2021-01-08,Wandsworth,16044,309
2021-01-07,Wandsworth,15735,348
2021-01-06,Wandsworth,15387,353
2021-01-05,Wandsworth,15034,419
2021-01-04,Wandsworth,14615,526
2021-01-03,Wandsworth,14089,350
2021-01-02,Wandsworth,13739,389
2021-01-01,Wandsworth,13350,145
2020-12-31,Wandsworth,13205,336
2020-12-30,Wandsworth,12869,515
2020-12-29,Wandsworth,12354,542
2020-12-28,Wandsworth,11812,360
2020-12-27,Wandsworth,11452,337
2020-12-26,Wandsworth,11115,338
2020-12-25,Wandsworth,10777,90
2020-12-24,Wandsworth,10687,311
2020-12-23,Wandsworth,10376,418
2020-12-22,Wandsworth,9958,454
2020-12-21,Wandsworth,9504,457
2020-12-20,Wandsworth,9047,298
2020-12-19,Wandsworth,8749,243
2020-12-18,Wandsworth,8506,450
2020-12-17,Wandsworth,8056,401
2020-12-16,Wandsworth,7655,323
2020-12-15,Wandsworth,7332,315
2020-12-14,Wandsworth,7017,258
2020-12-13,Wandsworth,6759,153
2020-12-12,Wandsworth,6606,141
2020-12-11,Wandsworth,6465,147
2020-12-10,Wandsworth,6318,150
2020-12-09,Wandsworth,6168,134
2020-12-08,Wandsworth,6034,114
2020-12-07,Wandsworth,5920,110
2020-12-06,Wandsworth,5810,46
2020-12-05,Wandsworth,5764,42
2020-12-04,Wandsworth,5722,76
2020-12-03,Wandsworth,5646,54
2020-12-02,Wandsworth,5592,68
2020-12-01,Wandsworth,5524,71
2020-11-30,Wandsworth,5453,69
2020-11-29,Wandsworth,5384,43
