date,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
2021-04-19,Westminster,14110,6
2021-04-18,Westminster,14104,4
2021-04-17,Westminster,14100,4
2021-04-16,Westminster,14096,8
2021-04-15,Westminster,14088,13
2021-04-14,Westminster,14075,10
2021-04-13,Westminster,14065,15
2021-04-12,Westminster,14050,7
2021-04-11,Westminster,14043,11
2021-04-10,Westminster,14032,10
2021-04-09,Westminster,14022,14
2021-04-08,Westminster,14008,10
2021-04-07,Westminster,13998,17
2021-04-06,Westminster,13981,7
2021-04-05,Westminster,13974,9
2021-04-04,Westminster,13965,8
2021-04-03,Westminster,13957,10
2021-04-02,Westminster,13947,8
2021-04-01,Westminster,13939,10
2021-03-31,Westminster,13929,9
2021-03-30,Westminster,13920,4
2021-03-29,Westminster,13916,12
2021-03-28,Westminster,13904,5
2021-03-27,Westminster,13899,5
2021-03-26,Westminster,13894,12
2021-03-25,Westminster,13882,7
2021-03-24,Westminster,13875,9
2021-03-23,Westminster,13866,12
2021-03-22,Westminster,13854,9
2021-03-21,Westminster,13845,15
2021-03-20,Westminster,13830,9
2021-03-19,Westminster,13821,12
2021-03-18,Westminster,13809,9
2021-03-17,Westminster,13800,12
2021-03-16,Westminster,13788,16
2021-03-15,Westminster,13772,12
2021-03-14,Westminster,13760,8
2021-03-13,Westminster,13752,10
2021-03-12,Westminster,13742,22
2021-03-11,Westminster,13720,9
2021-03-10,Westminster,13711,12
2021-03-09,Westminster,13699,18
2021-03-08,Westminster,13681,10
2021-03-07,Westminster,13671,2
2021-03-06,Westminster,13669,12
2021-03-05,Westminster,13657,12
2021-03-04,Westminster,13645,19
2021-03-03,Westminster,13626,16
2021-03-02,Westminster,13610,16
2021-03-01,Westminster,13594,13
2021-02-28,Westminster,13581,13
2021-02-27,Westminster,13568,15
2021-02-26,Westminster,13553,13
2021-02-25,Westminster,13540,13
2021-02-24,Westminster,13527,6
2021-02-23,Westminster,13521,25
2021-02-22,Westminster,13496,11
2021-02-21,Westminster,13485,21
2021-02-20,Westminster,13464,15
2021-02-19,Westminster,13449,17
2021-02-18,Westminster,13432,29
2021-02-17,Westminster,13403,24
2021-02-16,Westminster,13379,20
2021-02-15,Westminster,13359,23
2021-02-14,Westminster,13336,12
2021-02-13,Westminster,13324,13
2021-02-12,Westminster,13311,24
2021-02-11,Westminster,13287,28
2021-02-10,Westminster,13259,32
2021-02-09,Westminster,13227,21
2021-02-08,Westminster,13206,42
2021-02-07,Westminster,13164,30
2021-02-06,Westminster,13134,29
2021-02-05,Westminster,13105,36
2021-02-04,Westminster,13069,56
2021-02-03,Westminster,13013,50
2021-02-02,Westminster,12963,54
2021-02-01,Westminster,12909,56
2021-01-31,Westminster,12853,46
2021-01-30,Westminster,12807,48
2021-01-29,Westminster,12759,66
2021-01-28,Westminster,12693,87
2021-01-27,Westminster,12606,83
2021-01-26,Westminster,12523,82
2021-01-25,Westminster,12441,116
2021-01-24,Westminster,12325,70
2021-01-23,Westminster,12255,82
2021-01-22,Westminster,12173,122
2021-01-21,Westminster,12051,122
2021-01-20,Westminster,11929,119
2021-01-19,Westminster,11810,144
2021-01-18,Westminster,11666,153
2021-01-17,Westminster,11513,92
2021-01-16,Westminster,11421,113
2021-01-15,Westminster,11308,141
2021-01-14,Westminster,11167,193
2021-01-13,Westminster,10974,198
2021-01-12,Westminster,10776,197
2021-01-11,Westminster,10579,196
2021-01-10,Westminster,10383,139
2021-01-09,Westminster,10244,170
2021-01-08,Westminster,10074,180
2021-01-07,Westminster,9894,225
2021-01-06,Westminster,9669,237
2021-01-05,Westminster,9432,281
2021-01-04,Westminster,9151,281
2021-01-03,Westminster,8870,186
2021-01-02,Westminster,8684,209
2021-01-01,Westminster,8475,113
2020-12-31,Westminster,8362,205
2020-12-30,Westminster,8157,323
2020-12-29,Westminster,7834,302
2020-12-28,Westminster,7532,183
2020-12-27,Westminster,7349,213
2020-12-26,Westminster,7136,178
2020-12-25,Westminster,6958,81
2020-12-24,Westminster,6877,186
2020-12-23,Westminster,6691,225
2020-12-22,Westminster,6466,254
2020-12-21,Westminster,6212,247
2020-12-20,Westminster,5965,156
2020-12-19,Westminster,5809,133
2020-12-18,Westminster,5676,236
2020-12-17,Westminster,5440,182
2020-12-16,Westminster,5258,148
2020-12-15,Westminster,5110,183
2020-12-14,Westminster,4927,121
2020-12-13,Westminster,4806,82
2020-12-12,Westminster,4724,58
2020-12-11,Westminster,4666,95
2020-12-10,Westminster,4571,79
2020-12-09,Westminster,4492,65
2020-12-08,Westminster,4427,54
2020-12-07,Westminster,4373,62
2020-12-06,Westminster,4311,32
2020-12-05,Westminster,4279,20
2020-12-04,Westminster,4259,31
2020-12-03,Westminster,4228,42
2020-12-02,Westminster,4186,31
2020-12-01,Westminster,4155,43
2020-11-30,Westminster,4112,43
2020-11-29,Westminster,4069,22
2020-11-28,Westminster,4047,28
2020-11-27,Westminster,4019,29
2020-11-26,Westminster,3990,46
2020-11-25,Westminster,3944,36
2020-11-24,Westminster,3908,29
2020-11-23,Westminster,3879,46
2020-11-22,Westminster,3833,34
2020-11-21,Westminster,3799,27
2020-11-20,Westminster,3772,39
2020-11-19,Westminster,3733,44
2020-11-18,Westminster,3689,42
2020-11-17,Westminster,3647,49
2020-11-16,Westminster,3598,65
2020-11-15,Westminster,3533,39
2020-11-14,Westminster,3494,34
2020-11-13,Westminster,3460,60
2020-11-12,Westminster,3400,69
2020-11-11,Westminster,3331,69
2020-11-10,Westminster,3262,74
2020-11-09,Westminster,3188,70
2020-11-08,Westminster,3118,46
2020-11-07,Westminster,3072,38
2020-11-06,Westminster,3034,46
2020-11-05,Westminster,2988,48
2020-11-04,Westminster,2940,49
2020-11-03,Westminster,2891,71
2020-11-02,Westminster,2820,83
2020-11-01,Westminster,2737,33
2020-10-31,Westminster,2704,70
2020-10-30,Westminster,2634,75
2020-10-29,Westminster,2559,70
2020-10-28,Westminster,2489,48
2020-10-27,Westminster,2441,77
2020-10-26,Westminster,2364,62
2020-10-25,Westminster,2302,38
2020-10-24,Westminster,2264,37
2020-10-23,Westminster,2227,71
2020-10-22,Westminster,2156,64
2020-10-21,Westminster,2092,73
2020-10-20,Westminster,2019,51
2020-10-19,Westminster,1968,70
2020-10-18,Westminster,1898,38
2020-10-17,Westminster,1860,27
2020-10-16,Westminster,1833,52
2020-10-15,Westminster,1781,55
2020-10-14,Westminster,1726,30
2020-10-13,Westminster,1696,40
2020-10-12,Westminster,1656,41
2020-10-11,Westminster,1615,17
2020-10-10,Westminster,1598,18
2020-10-09,Westminster,1580,38
2020-10-08,Westminster,1542,46
2020-10-07,Westminster,1496,51
2020-10-06,Westminster,1445,40
2020-10-05,Westminster,1405,30
2020-10-04,Westminster,1375,21
2020-10-03,Westminster,1354,26
2020-10-02,Westminster,1328,31
2020-10-01,Westminster,1297,24
2020-09-30,Westminster,1273,28
2020-09-29,Westminster,1245,26
2020-09-28,Westminster,1219,19
2020-09-27,Westminster,1200,8
2020-09-26,Westminster,1192,12
2020-09-25,Westminster,1180,10
2020-09-24,Westminster,1170,11
2020-09-23,Westminster,1159,12
2020-09-22,Westminster,1147,16
2020-09-21,Westminster,1131,5
2020-09-20,Westminster,1126,7
2020-09-19,Westminster,1119,3
2020-09-18,Westminster,1116,14
2020-09-17,Westminster,1102,7
2020-09-16,Westminster,1095,10
2020-09-15,Westminster,1085,11
2020-09-14,Westminster,1074,8
2020-09-13,Westminster,1066,1
2020-09-12,Westminster,1065,2
2020-09-11,Westminster,1063,4
2020-09-10,Westminster,1059,11
2020-09-09,Westminster,1048,7
2020-09-08,Westminster,1041,7
2020-09-07,Westminster,1034,14
2020-09-06,Westminster,1020,4
2020-09-05,Westminster,1016,0
2020-09-04,Westminster,1016,16
2020-09-03,Westminster,1000,8
2020-09-02,Westminster,992,11
2020-09-01,Westminster,981,11
2020-08-31,Westminster,970,6
2020-08-30,Westminster,964,0
2020-08-29,Westminster,964,2
2020-08-28,Westminster,962,9
2020-08-27,Westminster,953,6
2020-08-26,Westminster,947,5
2020-08-25,Westminster,942,9
2020-08-24,Westminster,933,9
2020-08-23,Westminster,924,5
2020-08-22,Westminster,919,3
2020-08-21,Westminster,916,4
2020-08-20,Westminster,912,9
2020-08-19,Westminster,903,4
2020-08-18,Westminster,899,10
2020-08-17,Westminster,889,3
2020-08-16,Westminster,886,3
2020-08-15,Westminster,883,1
2020-08-14,Westminster,882,4
2020-08-13,Westminster,878,1
2020-08-12,Westminster,877,2
2020-08-11,Westminster,875,6
2020-08-10,Westminster,869,5
2020-08-09,Westminster,864,3
2020-08-08,Westminster,861,2
2020-08-07,Westminster,859,5
2020-08-06,Westminster,854,7
2020-08-05,Westminster,847,7
2020-08-04,Westminster,840,4
2020-08-03,Westminster,836,3
2020-08-02,Westminster,833,3
2020-08-01,Westminster,830,1
2020-07-31,Westminster,829,3
2020-07-30,Westminster,826,3
2020-07-29,Westminster,823,7
2020-07-28,Westminster,816,1
2020-07-27,Westminster,815,4
2020-07-26,Westminster,811,2
2020-07-25,Westminster,809,1
2020-07-24,Westminster,808,4
2020-07-23,Westminster,804,2
2020-07-22,Westminster,802,0
2020-07-21,Westminster,802,1
2020-07-20,Westminster,801,2
2020-07-19,Westminster,799,2
2020-07-18,Westminster,797,0
2020-07-17,Westminster,797,1
2020-07-16,Westminster,796,3
2020-07-15,Westminster,793,2
2020-07-14,Westminster,791,0
2020-07-13,Westminster,791,1
2020-07-12,Westminster,790,3
2020-07-11,Westminster,787,0
2020-07-10,Westminster,787,2
2020-07-09,Westminster,785,4
2020-07-08,Westminster,781,2
2020-07-07,Westminster,779,2
2020-07-06,Westminster,777,0
2020-07-05,Westminster,777,0
2020-07-04,Westminster,777,1
2020-07-03,Westminster,776,1
2020-07-02,Westminster,775,1
2020-07-01,Westminster,774,1
2020-06-30,Westminster,773,0
2020-06-29,Westminster,773,4
2020-06-28,Westminster,769,0
2020-06-27,Westminster,769,0
2020-06-26,Westminster,769,2
2020-06-25,Westminster,767,1
2020-06-24,Westminster,766,2
2020-06-23,Westminster,764,2
2020-06-22,Westminster,762,0
2020-06-21,Westminster,762,2
2020-06-20,Westminster,760,1
2020-06-19,Westminster,759,0
2020-06-18,Westminster,759,2
2020-06-17,Westminster,757,0
2020-06-16,Westminster,757,2
2020-06-15,Westminster,755,5
2020-06-14,Westminster,750,1
2020-06-13,Westminster,749,1
2020-06-12,Westminster,748,3
2020-06-11,Westminster,745,2
2020-06-10,Westminster,743,1
2020-06-09,Westminster,742,1
2020-06-08,Westminster,741,4
2020-06-07,Westminster,737,0
2020-06-06,Westminster,737,3
2020-06-05,Westminster,734,2
2020-06-04,Westminster,732,0
2020-06-03,Westminster,732,3
2020-06-02,Westminster,729,1
2020-06-01,Westminster,728,0
2020-05-31,Westminster,728,1
2020-05-30,Westminster,727,0
2020-05-29,Westminster,727,0
2020-05-28,Westminster,727,2
2020-05-27,Westminster,725,2
2020-05-26,Westminster,723,1
2020-05-25,Westminster,722,0
2020-05-24,Westminster,722,1
2020-05-23,Westminster,721,2
2020-05-22,Westminster,719,1
2020-05-21,Westminster,718,3
2020-05-20,Westminster,715,5
2020-05-19,Westminster,710,1
2020-05-18,Westminster,709,1
2020-05-17,Westminster,708,1
2020-05-16,Westminster,707,0
2020-05-15,Westminster,707,2
2020-05-14,Westminster,705,5
2020-05-13,Westminster,700,4
2020-05-12,Westminster,696,2
2020-05-11,Westminster,694,3
2020-05-10,Westminster,691,3
2020-05-09,Westminster,688,4
2020-05-08,Westminster,684,3
2020-05-07,Westminster,681,3
2020-05-06,Westminster,678,3
2020-05-05,Westminster,675,3
2020-05-04,Westminster,672,3
2020-05-03,Westminster,669,0
2020-05-02,Westminster,669,4
2020-05-01,Westminster,665,4
2020-04-30,Westminster,661,20
2020-04-29,Westminster,641,8
2020-04-28,Westminster,633,6
2020-04-27,Westminster,627,10
2020-04-26,Westminster,617,5
2020-04-25,Westminster,612,4
2020-04-24,Westminster,608,7
2020-04-23,Westminster,601,7
2020-04-22,Westminster,594,2
2020-04-21,Westminster,592,3
2020-04-20,Westminster,589,4
2020-04-19,Westminster,585,4
2020-04-18,Westminster,581,3
2020-04-17,Westminster,578,8
2020-04-16,Westminster,570,10
2020-04-15,Westminster,560,15
2020-04-14,Westminster,545,13
2020-04-13,Westminster,532,10
2020-04-12,Westminster,522,9
2020-04-11,Westminster,513,11
2020-04-10,Westminster,502,9
2020-04-09,Westminster,493,19
2020-04-08,Westminster,474,14
2020-04-07,Westminster,460,16
2020-04-06,Westminster,444,11
2020-04-05,Westminster,433,17
2020-04-04,Westminster,416,16
2020-04-03,Westminster,400,27
2020-04-02,Westminster,373,17
2020-04-01,Westminster,356,18
2020-03-31,Westminster,338,12
2020-03-30,Westminster,326,35
2020-03-29,Westminster,291,17
2020-03-28,Westminster,274,20
2020-03-27,Westminster,254,13
2020-03-26,Westminster,241,21
2020-03-25,Westminster,220,26
2020-03-24,Westminster,194,16
2020-03-23,Westminster,178,22
2020-03-22,Westminster,156,12
2020-03-21,Westminster,144,12
2020-03-20,Westminster,132,15
2020-03-19,Westminster,117,9
2020-03-18,Westminster,108,9
2020-03-17,Westminster,99,11
2020-03-16,Westminster,88,14
2020-03-15,Westminster,74,5
2020-03-14,Westminster,69,9
2020-03-13,Westminster,60,8
2020-03-12,Westminster,52,14
2020-03-11,Westminster,38,14
2020-03-10,Westminster,24,6
2020-03-09,Westminster,18,6
2020-03-08,Westminster,12,1
2020-03-07,Westminster,11,2
2020-03-06,Westminster,9,5
2020-03-05,Westminster,4,1
2020-03-04,Westminster,3,1
2020-03-03,Westminster,2,1
2020-03-02,Westminster,1,0
2020-03-01,Westminster,1,0
2020-02-29,Westminster,1,0
2020-02-28,Westminster,1,0
2020-02-27,Westminster,1,0
2020-02-26,Westminster,1,1
